x y z dx dy dz
1278.57 937.489 1800.49 -0.29967 0.303158 -0.0166522
1278.45 913.058 1802.38 -0.293067 0.320462 -0.0180628
1277.25 949.092 1801.64 -0.30289 0.295251 -0.0172149
1269.3 943.464 1795.71 -0.294014 0.299966 -0.0195176
1268.05 954.943 1797.45 -0.301478 0.293165 -0.0202746
1270.24 931.284 1795.89 -0.288031 0.30957 -0.0185986
1260.02 949.803 1790.96 -0.289708 0.298935 -0.0237335
1252.33 931.123 1786.34 -0.273899 0.311504 -0.0247965
1253.04 919.488 1788.95 -0.272193 0.317049 -0.023409
1253.77 908.542 1792.24 -0.273923 0.32362 -0.0207974
1254.58 897.715 1795.85 -0.272578 0.330302 -0.0200424
1245.54 890.874 1793.65 -0.264977 0.333291 -0.0234979
1255.27 886.549 1799.5 -0.271019 0.334309 -0.0203761
1246.14 879.489 1797.35 -0.265098 0.339238 -0.0221212
1255.74 875.187 1803.04 -0.26947 0.338691 -0.0198628
1246.8 867.949 1801.01 -0.262402 0.343273 -0.0226912
1247.5 856.469 1804.54 -0.263203 0.345166 -0.0215763
1263.56 904.505 1797.85 -0.280031 0.32577 -0.0203453
1265.28 882.142 1804.97 -0.278002 0.334916 -0.018391
1262.38 914.611 1794.65 -0.281606 0.32495 -0.0158868
1264.8 893.717 1801.44 -0.279935 0.329788 -0.0197099
1275.13 902.031 1803.46 -0.289468 0.324185 -0.019798
1279.18 925.389 1800.94 -0.296555 0.316692 -0.0149482
1251.36 943.67 1785.04 -0.275355 0.306107 -0.0243588
1260.92 937.425 1790.57 -0.282219 0.307018 -0.0229315
1261.73 925.535 1792.11 -0.280503 0.312898 -0.0210706
1271.25 919.382 1797.83 -0.288388 0.318152 -0.0197289
1270.88 910.241 1799.57 -0.285781 0.322908 -0.0181395
1279.01 849.672 1795.54 -0.264708 0.343464 -0.0222109
1268.73 846.087 1790.72 -0.255615 0.34505 -0.0252654
1271.67 857.387 1790.19 -0.259789 0.341415 -0.024152
1261.34 853.871 1785.54 -0.251032 0.343239 -0.0273042
1264.24 865.156 1785.12 -0.255068 0.339819 -0.0266197
1253.88 861.726 1780.63 -0.246257 0.342357 -0.029114
1251.03 850.382 1780.79 -0.242446 0.344784 -0.029842
1246.4 869.696 1775.9 -0.242348 0.338877 -0.0307811
1282.06 860.904 1794.69 -0.268226 0.339106 -0.021691
1319.89 894.057 1803.49 -0.29746 0.332806 -0.0111586
1323.05 905.217 1801.64 -0.299996 0.329341 -0.0107367
1312.82 901.504 1797.25 -0.291801 0.329106 -0.0139389
1315.82 912.588 1795.73 -0.294469 0.325362 -0.0134889
