x y z sxx syy szz sxy sxz syz pp
1304.54 887.794 1747.4 -881193 -1.11294e+06 -1.34608e+06 -82481.7 -166976 75803.8 0
1301.51 885.755 1746.72 -900339 -1.00582e+06 -1.24659e+06 44064.3 -226570 -18718.9 0
1302.67 886.457 1745.88 -1.25846e+06 -1.35011e+06 -1.49505e+06 10755.1 -363446 47777.6 0
1301.86 883.448 1748.56 -1.17267e+06 -1.06008e+06 -1.12985e+06 -29026.9 -99384.1 57098.2 0
1301.95 883.47 1745.78 -728023 -815124 -1.00093e+06 -175905 -292034 14268.3 0
1301.49 886.29 1746.48 -25348.2 -60716.3 -116462 9442.06 -52328.8 -31372.4 0
1301.43 885.76 1746.75 -646654 -823681 -1.53169e+06 126071 88915.2 -218198 0
1302.94 885.398 1747.74 -872307 -1.01957e+06 -1.28522e+06 -128670 -106331 25290.6 0
1303.75 883.412 1745.7 -825790 -915036 -956549 -43519.8 -207448 14770.9 0
1301.02 887.858 1748.41 -1.792e+06 -2.20616e+06 -1.54283e+06 -72918.5 12435.3 -676795 0
1300.27 884.444 1749.18 -1.33105e+06 -984659 -1.16667e+06 29236.7 -273541 31327.5 0
1301.32 882.552 1748.6 -798336 -721890 -622938 -19983.2 -197514 -320.305 0
1300.71 885.334 1748.98 -1.85362e+06 -1.23625e+06 -1.17598e+06 4042.94 -323312 -17471.1 0
1301.42 886.342 1746.45 -547578 -1.41813e+06 -1.02629e+06 171776 -61975.1 -143273 0
1301.44 884.894 1745.84 -778060 -994304 -1.16904e+06 133422 -144276 224854 0
1300.59 885.685 1749.12 -1.58734e+06 -1.02657e+06 -1.08897e+06 -30638 -365984 -26335.1 0
1302.71 883.423 1746.5 -866672 -998068 -1.12624e+06 -34157.5 -210605 6346.94 0
1302.13 882.943 1747.26 -727937 -753919 -846305 -21660.7 -129709 -17916 0
1300.58 885.686 1749.02 -1.50678e+06 -1.05928e+06 -1.08016e+06 -33045.6 -262289 -399.331 0
1301.18 885.373 1749.34 -1.29471e+06 -868824 -875304 -6968.61 -408242 -61010.1 0
1303.4 887.88 1748.87 -1.00523e+06 -1.01433e+06 -1.21807e+06 -179148 -65099 40162.5 0
1300.38 885.392 1749.14 -1.57957e+06 -1.05095e+06 -1.186e+06 11946.2 -318244 19455.4 0
1300.7 883.215 1749.3 -1.6395e+06 -1.15922e+06 -1.11133e+06 45557.5 -357963 68097.8 0
1304.99 885.271 1748.01 -1.1435e+06 -1.32746e+06 -1.67007e+06 -117963 -182880 55575.3 0
1306.56 887.297 1748.32 -1.15648e+06 -1.32475e+06 -1.64007e+06 -93036.7 -267522 73929.7 0
1301.05 882.72 1748.47 -849178 -763238 -756141 -25895.1 -95117.9 -29928.3 0
1301.95 883.33 1748.65 -1.19273e+06 -1.03568e+06 -1.13935e+06 -21053.9 -91776.8 25687.5 0
1300.66 886.044 1748.91 -1.68206e+06 -1.09931e+06 -1.08294e+06 -60421.2 -255990 -3186.62 0
1301.38 885.816 1746.68 -1.55955e+06 -2.49741e+06 -2.8776e+06 444226 -44479.6 80254.9 0
1301.61 885.709 1748.44 -1.17045e+06 -812938 -762901 -93990.6 -171368 -27437.8 0
1301.5 883.223 1746.94 -660582 -768186 -756548 -47447.2 -69722.8 -39019.6 0
1302.79 882.933 1748.69 -1.06726e+06 -1.032e+06 -1.14053e+06 -87103.5 -32551.2 11810.2 0
1301.58 887.739 1747.15 -274998 -275171 -170620 -83202.5 62883.3 48589.7 0
