sector_deg yband sum_fn_N n_contacts
0 1 62864.2 584
0 2 -128941 921
0 3 100977 977
0 4 209398 865
0 5 -234586 527
15 1 20565.4 544
15 2 -648381 889
15 3 -471962 992
15 4 -345838 908
15 5 115452 591
30 1 177878 512
30 2 819620 834
30 3 1.22638e+06 952
30 4 194130 906
30 5 -120896 682
45 1 435287 491
45 2 1.01997e+06 780
45 3 1.26343e+06 955
45 4 846865 890
45 5 46727.9 733
60 1 597371 474
60 2 1.22939e+06 697
60 3 1.53579e+06 844
60 4 1.2621e+06 862
60 5 341573 788
75 1 686429 443
75 2 1.10559e+06 577
75 3 1.48832e+06 739
75 4 1.52533e+06 783
75 5 1.03977e+06 797
90 1 732221 458
90 2 818168 484
90 3 818893 611
90 4 1.3216e+06 714
90 5 1.29609e+06 781
105 1 819593 462
105 2 554240 383
105 3 546096 450
105 4 981538 629
105 5 1.65476e+06 775
120 1 784404 452
120 2 358387 341
120 3 319945 327
120 4 490518 526
120 5 1.51961e+06 747
135 1 724515 494
135 2 137831 280
135 3 127970 219
135 4 798693 417
135 5 1.23544e+06 754
150 1 638550 537
150 2 181991 241
150 3 -31410.2 194
150 4 48275.2 374
150 5 762066 717
165 1 524768 561
165 2 165956 240
165 3 -3828.93 159
165 4 -107615 298
165 5 162955 655
180 1 321713 604
180 2 135960 252
180 3 376167 166
180 4 51230.7 292
180 5 34427.9 652
195 1 32448.8 647
195 2 67157.2 282
195 3 173199 171
195 4 200446 329
195 5 420761 733
210 1 -633048 8857
210 2 16871.5 401
210 3 -137099 236
210 4 -113482 451
210 5 285515 469
225 1 -910819 29706
225 2 95357.9 1005
225 3 -111705 422
225 4 80361.1 656
225 5 291352 103
240 1 1.93167e+06 7416
240 2 8.0422e+06 21020
240 3 287806 1485
240 4 1.84652e+06 2274
240 5 0 0
255 1 0 0
255 2 5.41983e+06 11003
255 3 1.16026e+07 18340
255 4 745753 1163
255 5 0 0
270 1 0 0
270 2 0 0
270 3 0 0
270 4 0 0
270 5 0 0
285 1 3.9772e+06 4505
285 2 0 0
285 3 0 0
285 4 0 0
285 5 211776 7
300 1 1.59669e+07 25162
300 2 143307 34
300 3 0 0
300 4 0 0
300 5 875583 134
315 1 1.12137e+07 14470
315 2 4.31557e+07 27889
315 3 1.51911e+07 10001
315 4 5.0982e+06 1529
315 5 1.73978e+06 604
330 1 140641 727
330 2 7.69297e+06 2690
330 3 9.52056e+06 7818
330 4 1.93245e+06 1555
330 5 370779 587
345 1 -286586 601
345 2 -357918 924
345 3 -74282.1 987
345 4 -114134 885
345 5 207539 536
