x y z type diam age
1300.99 888.165 1747.84 1 0.0371228 20449.1
1301.17 887.998 1747.34 1 0.0369459 20450.1
1301.17 887.89 1747.34 1 0.0369282 20452.1
1300.92 888.211 1747.89 1 0.0412803 20453.1
1301.2 887.676 1747.87 1 0.0404198 20454.1
1297.7 889.178 1750.1 1 0.0380961 20455.1
1297.83 888.921 1750.12 1 0.0392574 20455.1
1301.15 888.043 1747.26 1 0.041243 20458.1
1297.86 888.906 1750.08 1 0.0392574 20459.1
1297.66 889.166 1750.11 1 0.0370496 20459.1
1297.87 888.531 1750.17 1 0.0383134 20460.1
1297.91 888.502 1750.2 1 0.0383134 20463.1
1301.15 888.247 1747.82 1 0.0365238 20463.1
1297.96 888.634 1750.22 1 0.0365336 20464.1
1297.85 889.12 1750.21 1 0.037989 20464.1
1297.72 889.165 1750.13 1 0.0378816 20465.1
1297.93 888.535 1750.2 1 0.0383134 20466.1
1300.91 888.267 1747.96 1 0.03625 20469.1
1300.94 888.241 1747.9 1 0.0380499 20469.1
1301.14 888.276 1747.89 1 0.0365407 20470.1
1300.95 888.186 1747.81 1 0.0371228 20470.1
1297.96 888.563 1750.22 1 0.0375566 20470.1
1300.94 888.083 1747.36 1 0.040368 20471.1
1297.78 889.162 1750.15 1 0.0378816 20471.1
1301.01 888.254 1747.75 1 0.0410586 20477.1
1301.16 888.292 1747.43 1 0.0382061 20477.1
1301.01 888.292 1747.73 1 0.0363119 20480.1
1300.94 887.696 1747.6 1 0.0413468 20480.1
1301.04 887.999 1747.69 1 0.0422464 20482.1
1300.97 888.09 1747.38 1 0.0361256 20485.1
1300.94 887.618 1747.6 1 0.0366384 20486.1
1301.01 887.983 1747.79 1 0.0376857 20487.1
1301.01 888.101 1747.38 1 0.0361256 20491.1
1300.94 887.794 1747.62 1 0.0420154 20495.1
1297.75 889.192 1750.14 1 0.0371374 20499.1
1297.86 889.142 1750.18 1 0.0416721 20501.1
1300.98 887.7 1747.61 1 0.0374003 20502.1
1301 888.224 1747.88 1 0.0363684 20504.1
1297.75 889.227 1750.13 1 0.0371374 20506.1
1301.18 888.142 1747.27 1 0.0369967 20512.1
1301.16 888.319 1747.48 1 0.0376076 20529.1
1301.02 887.709 1747.61 1 0.0374003 20537.1
1300.94 887.585 1747.58 1 0.0366384 20543.1
1301.03 887.803 1747.64 1 0.0374621 20545.1
1301.15 888.315 1747.62 1 0.0408524 20552.1
1301.17 888.235 1747.39 1 0.0369503 20570.1
1301.11 888.081 1747.51 1 0.0413014 20573.1
1301.16 888.175 1747.3 1 0.0399106 20575.1
1301.03 887.961 1747.69 1 0.0375551 20581.1
1301.17 888.207 1747.32 1 0.0369503 20582.1
1301.04 888.082 1747.81 1 0.039381 20582.1
1301.01 888.172 1747.74 1 0.0393976 20588.1
1300.97 888.043 1747.77 1 0.0378771 20589.1
1301 888.214 1747.75 1 0.0408722 20591.1
1301.02 888.137 1747.72 1 0.0393976 20593.1
1300.95 888.048 1747.81 1 0.0378771 20594.1
1300.92 887.93 1747.78 1 0.0372411 20609.1
1300.97 888.217 1747.73 1 0.0408722 20643.1
1300.95 888.24 1747.7 1 0.0413515 20645.1
1300.95 888.253 1747.82 1 0.0363684 20655.1
1301.15 887.613 1747.74 1 0.0390762 20677.1
1301.06 888.132 1747.77 1 0.039381 20711.1
1301.16 888.059 1747.96 1 0.0380679 20715.1
1301.19 888.036 1747.52 1 0.0384151 20715.1
1301.16 888.001 1747.94 1 0.0380679 20719.1
1301.16 888.075 1748 1 0.0381677 20721.1
1301.14 888.055 1748.02 1 0.0381677 20723.1
1301.02 887.633 1747.59 1 0.0373278 20723.1
1301.16 888.128 1747.97 1 0.0397275 20725.1
1301.18 888.062 1747.93 1 0.0380679 20726.1
