x y z sxx syy szz sxy sxz syz pp
1301.76 885.079 1745.9 -630627 -894165 -1.16945e+06 -54937.1 -328475 58489.5 0
1302.4 884.154 1745.76 -535857 -742221 -950128 -76344.3 -237651 44151.5 251304
1300.56 885.615 1748.98 -704217 -509889 -396035 -47828.2 -4951.17 16294.4 0
1301.46 883.166 1747 -87476.2 -408991 -368715 -80295 103753 9164.57 0
1312.56 886.47 1749.35 -1.15826e+06 -1.16918e+06 -1.56095e+06 -128318 -355875 78877.1 268791
1300.54 885.604 1749.17 -1.15844e+06 -807506 -580886 -1269.42 -192817 28471.6 0
1310.39 883.416 1746.63 -1.21414e+06 -1.13917e+06 -1.75719e+06 -132940 -459897 95218.5 286221
1302.15 886.462 1747.49 -733907 -882980 -933156 -32775.2 124453 47227.8 231161
1300.37 886.497 1749.18 -860410 -638016 -673756 -26349.2 -69764.3 34311.9 0
1305.93 883.897 1748.23 -875517 -1.11657e+06 -1.52371e+06 -147120 -232382 47734.9 246179
1306.2 883.741 1748.11 -1.04173e+06 -1.23249e+06 -1.72625e+06 -158163 -336226 76453.2 248962
1314.22 887.657 1746.04 -1.27873e+06 -1.2269e+06 -1.59872e+06 -119646 -346484 84296.7 309187
1300.88 887.101 1748.83 -219811 -263561 -256182 -34779.8 25159.2 25240.2 0
1303.46 884.498 1747.7 -791426 -1.07513e+06 -1.37163e+06 -95021.6 21345.9 64123.7 237703
1300.66 885.335 1749.07 -1.05701e+06 -717482 -482570 -42188.6 -140294 8220.6 0
1303.36 884.04 1747.53 -645096 -988439 -1.19275e+06 -86978.7 19034.1 59545.1 239160
1301.37 883.653 1747.6 -644035 -865327 -577739 -71429.1 381375 10957.7 0
1303.31 887.888 1748.65 -702657 -859521 -947289 -86484.2 64375.6 80488.3 224911
1301.84 886.53 1746.51 -179049 -594476 -663010 -24087 -44670.6 60036 60394.2
1301.93 883.199 1747.81 -563959 -757743 -668421 -74546.8 161609 41031.1 57670.2
1301.81 887.394 1747.88 -811046 -827420 -551537 -3759.91 156072 64064.7 56394.4
1302.81 885.929 1747.53 -300880 -640189 -611534 -76329.3 4792.23 92340.4 234764
1301.47 882.759 1748.65 -746642 -625275 -196784 -64872.7 -25021.8 48299.1 0
1301.91 882.533 1748.13 -712280 -824022 -616636 -100828 125472 62060.1 113310
1301.79 887.513 1747.79 -780878 -805369 -521737 -32627.4 171360 71444 56394.4
1301.73 887.811 1748.44 -810243 -654731 -432301 -4086.75 104375 109471 54941.6
1301.74 882.441 1746.62 -225318 -706449 -766516 -105664 -47619.8 19731.7 60209.6
1301.52 885.645 1746.69 -566617 -1.0913e+06 -1.11612e+06 73808 -184478 131054 0
1301.74 887.948 1748.21 -967649 -767061 -527242 -30760.6 115361 86300.4 55136.6
1301.74 885.704 1748.44 -539137 -566168 -204196 -40575.1 30430.7 74802.2 55385.8
1300.96 887.762 1748.71 -587490 -505030 -389786 -64947.9 52123.6 31149.3 0
1300.2 882.499 1749.42 -1.03848e+06 -735507 -553300 63771.4 -223733 1524.69 0
1301.42 886.774 1745.63 -516330 -611863 -667451 -51799.9 -248563 4029.88 0
1300.95 882.432 1748.79 -989313 -670781 -316556 -33137.3 -3245.8 -29840.9 0
1301.59 884.563 1747.37 -521423 -754024 -647741 228.293 218510 28318.4 0
1301.59 887.631 1747.18 -314449 -639661 -585987 2192.83 159632 103983 0
1303.94 883.31 1747.92 -887664 -1.14904e+06 -1.57691e+06 -98398.6 -20031.5 70833.4 238960
1301.48 887.525 1746.16 -554780 -711796 -664669 57168.8 -261812 16672.4 0
1305.32 882.419 1746.14 -1.36475e+06 -1.35036e+06 -2.08405e+06 -84599.4 -560522 95996.3 264547
1301.83 887.862 1748.27 -993383 -817049 -548075 -13575.7 106597 91976 110078
1304.44 883.069 1749.27 -873283 -1.05926e+06 -1.28907e+06 -132214 2147.64 55205.8 228683
1301.9 882.395 1748.34 -667880 -741301 -667954 -91267.8 198592 56137 112581
1301.65 884.05 1745.95 -428898 -771991 -991372 -74945 -270869 46940.2 0
1301.79 882.725 1745.87 -371921 -669652 -924395 -65353.3 -181614 25248.9 0
1302.25 887.499 1748.25 -846191 -835965 -883118 -48849.2 108945 90511.4 223477
1300.98 882.203 1748.84 -1.15051e+06 -730289 -374950 -26436 -33529.3 52379.3 0
1302.24 882.917 1747.34 -542604 -893792 -986756 -81818.4 84517.1 81955.1 235898
1312.46 885.77 1749.02 -1.16766e+06 -1.17424e+06 -1.56532e+06 -135990 -360493 78482.2 272052
1301.04 884.915 1748.54 -304480 -339438 -105561 -56365.4 79329.4 -718.089 0
1303.51 887.83 1747.54 -822535 -1.08183e+06 -1.38902e+06 -69940.8 -46247.9 90190.2 236956
1301.78 886.736 1745.54 -494841 -709995 -831878 -92112.3 -319042 19654.4 61950.6
1301.09 885.253 1749.38 -871828 -642127 -352317 -3743.81 -155522 22292.2 0
1302.51 886.644 1747.97 -951065 -1.07993e+06 -1.22214e+06 -24902.5 86710.7 101885 228304
1301.41 887.044 1746.53 -69174 -302993 -209938 -50352.5 -12462.3 -9009.99 0
1302.46 886.857 1748.56 -785020 -820801 -744387 -57105 31704.8 84893.2 222089
1301.63 882.417 1747.33 -174517 -655007 -496427 -85913.2 117674 45174.3 0
1303.01 882.662 1749.26 -696036 -839755 -831110 -113236 96851.5 36997.8 221410
1300.94 887.105 1748.75 -920619 -662964 -485815 -92369.3 72081.8 8728.33 0
1302.45 885.985 1749.43 -787343 -779600 -771248 -76608.3 84021.1 106465 214099
1304.5 882.65 1749.19 -755364 -957099 -1.13142e+06 -157341 -4938.16 52899.1 230050
1301.7 882.022 1746.15 -411083 -874322 -953844 -51689.5 -168739 69727.3 0
1301.02 884.53 1749.17 -819267 -536542 -308905 -41857 -127282 -6142.32 0
1300.15 886.505 1749.44 -1.06761e+06 -746234 -737339 -24535.6 -235366 47288.1 0
1301.46 883.683 1745.72 -160141 -315119 -280991 -79210 -115660 17730.9 0
1301.01 882.634 1748.61 -1.18519e+06 -747463 -368336 -35813.9 104223 -7904.5 0
1301.4 884.873 1747.43 -218045 -486867 -335691 -48400.8 205694 11100.7 0
1308.29 883.638 1747.75 -1.20351e+06 -1.23473e+06 -1.66028e+06 -148433 -403297 83619.5 263740
1300.97 882.658 1748.52 -1.24115e+06 -885459 -431132 -45004.5 163061 -10382.8 0
1300.38 885.327 1749.2 -1.11225e+06 -729876 -566755 -6466.9 -154627 20338.6 0
1300.59 885.178 1749.02 -705638 -498200 -295117 -65101.5 -81169.7 -1004.55 0
1303.08 883.178 1745.91 -1.07497e+06 -1.42345e+06 -1.89843e+06 -138215 -480081 95260.9 254225
1303.52 884.261 1745.66 -1.32939e+06 -1.41917e+06 -2.10087e+06 -108641 -593456 42233 258194
1315.46 887.951 1746.26 -1.2675e+06 -1.21411e+06 -1.59595e+06 -123966 -343779 91589.7 313489
1302.5 883.167 1748.11 -630661 -853301 -850831 -93949.9 135094 63149.9 229526
1301.68 884.502 1747.28 -185704 -546251 -463463 -60620.2 137739 72294.5 0
1300.71 885.691 1749.14 -965406 -629334 -516107 -258.419 -170472 30417.8 0
1301.81 887.622 1746.17 -324235 -456571 -444042 -16938.2 -181724 33070.9 60625.1
1301.5 885.484 1745.9 -433380 -699560 -785237 -53586.9 -273489 42882.3 0
1300.96 884.454 1749.26 -819328 -527794 -316269 -32176.7 -143669 -4645.17 0
1301.92 883.237 1747.31 -269698 -720588 -587949 -35180.7 77797.9 65637.7 117662
1301.01 887.93 1748.58 -316575 -416459 -327237 -34756.8 8416.53 34547 0
1301.39 883.354 1746.45 -58400.6 -385057 -277586 -89840.6 -3015.34 28066.2 0
1300.63 885.583 1749.26 -808321 -444156 -376693 -31811.7 -124660 14378.2 0
1303.36 882.571 1748.77 -708848 -900252 -890562 -132343 105489 40430.9 228153
