sector_deg yband sum_fn_N n_contacts
0 1 -19302 584
0 2 -125268 922
0 3 258518 978
0 4 280570 863
0 5 -277444 527
15 1 -134061 544
15 2 -296479 889
15 3 -411363 992
15 4 -590090 908
15 5 183544 591
30 1 -14335 512
30 2 88894.1 835
30 3 -50539 952
30 4 -240466 906
30 5 -120703 682
45 1 56583 492
45 2 442566 779
45 3 614153 956
45 4 219485 890
45 5 -142818 733
60 1 157522 473
60 2 532456 697
60 3 1.31024e+06 843
60 4 558513 862
60 5 -91189.7 788
75 1 252361 443
75 2 965411 577
75 3 896925 739
75 4 1.23296e+06 783
75 5 565244 797
90 1 605166 458
90 2 662063 484
90 3 1.18931e+06 611
90 4 1.33935e+06 714
90 5 1.03321e+06 781
105 1 101539 462
105 2 573913 383
105 3 678186 450
105 4 1.16526e+06 629
105 5 1.54399e+06 775
120 1 438980 452
120 2 414923 341
120 3 504863 327
120 4 640534 526
120 5 1.7598e+06 747
135 1 489699 494
135 2 260128 280
135 3 211314 219
135 4 1.22881e+06 417
135 5 1.5859e+06 754
150 1 474328 537
150 2 232262 242
150 3 27232 193
150 4 239924 374
150 5 1.08292e+06 717
165 1 502761 561
165 2 80330.3 240
165 3 68391.7 159
165 4 -304324 298
165 5 196957 655
180 1 166779 604
180 2 55690.5 252
180 3 265022 164
180 4 -42035.4 292
180 5 -26283.6 652
195 1 377283 648
195 2 430369 282
195 3 218635 172
195 4 678659 329
195 5 1.92987e+06 7513
210 1 112050 1012
210 2 44641.7 401
210 3 -27880.1 235
210 4 -287899 512
210 5 3.43657e+06 9974
225 1 3.25778e+06 13892
225 2 100491 654
225 3 -121345 423
225 4 1.90233e+06 7137
225 5 596774 2525
240 1 2.42501e+06 6052
240 2 4.46993e+06 10995
240 3 441414 2005
240 4 4.55227e+06 10799
240 5 0 0
255 1 0 0
255 2 3.8427e+06 9110
255 3 7.64623e+06 18255
255 4 506859 1880
255 5 0 0
270 1 0 0
270 2 0 0
270 3 0 0
270 4 0 0
270 5 0 0
285 1 1.04254e+06 3427
285 2 0 0
285 3 0 0
285 4 0 0
285 5 560181 109
300 1 9.51793e+06 11767
300 2 7691.61 34
300 3 0 0
300 4 0 0
300 5 3.97034e+06 4027
315 1 3.27331e+06 3819
315 2 2.61931e+07 17416
315 3 1.81216e+07 9952
315 4 1.40311e+07 7811
315 5 2.11879e+07 12850
330 1 15668.6 728
330 2 827626 1063
330 3 8.99476e+06 8522
330 4 1.04083e+07 10393
330 5 694708 910
345 1 -84875.2 601
345 2 -43934 923
345 3 -270762 987
345 4 9536.88 885
345 5 202327 536
