x y z sxx syy szz sxy sxz syz pp
1304.54 887.794 1747.4 -729441 -960175 -1.2952e+06 -33755.2 -118691 102514 0
1301.51 885.755 1746.72 -424384 -627935 -771895 -2167.75 -287121 145038 0
1302.67 886.457 1745.88 -826952 -975982 -1.26041e+06 -29208.6 -311975 68572 0
1301.86 883.448 1748.56 -833314 -833018 -971941 12712.2 93288.3 71713.4 0
1301.95 883.47 1745.78 -253464 -494484 -544112 -61730.2 -225950 72929 0
1301.49 886.29 1746.48 -335254 -517092 -626792 -41969.6 -267425 47725 0
1301.43 885.76 1746.75 -233163 -417476 -381553 -49202.9 -198618 90478.9 0
1302.94 885.398 1747.74 -682461 -895827 -1.18732e+06 -19413.1 21205.2 75048.4 0
1303.75 883.412 1745.7 -805669 -958238 -1.35521e+06 -61992.6 -524552 110652 0
1301.02 887.858 1748.41 -747594 -675065 -510131 2583.47 88955 55804.9 0
1300.27 884.444 1749.18 -1.07663e+06 -760394 -507845 116621 -20518.8 178787 0
1301.32 882.552 1748.6 -622703 -539068 -411752 22360.9 8015.27 75370.9 0
1300.71 885.334 1748.98 -1.02775e+06 -796640 -626653 93806.3 54837.9 67309.1 0
1301.42 886.342 1746.45 -422972 -583085 -675420 -10171.3 -308330 78867.7 0
1301.44 884.894 1745.84 -506471 -574460 -707633 -28728 -363687 81422.3 0
1300.59 885.685 1749.12 -867894 -573211 -312577 76861.6 -24823.1 60849.6 0
1302.71 883.423 1746.5 -533685 -759114 -1.02908e+06 -24286.6 -149015 63229.3 0
1302.13 882.943 1747.26 -344238 -618363 -871809 -25868.9 -79569.1 79372.6 0
1300.58 885.686 1749.02 -1.05684e+06 -835797 -628846 74750 24284.1 112632 0
1301.18 885.373 1749.34 -904257 -719821 -535639 79890.2 -27841 93976.5 0
1303.4 887.88 1748.87 -784598 -885514 -1.10454e+06 -48532.8 56047.7 102613 0
1300.38 885.392 1749.14 -1.22186e+06 -825401 -668085 133755 27637.7 171864 0
1300.7 883.215 1749.3 -1.1636e+06 -827993 -652822 119881 -5794.06 115143 0
1304.99 885.271 1748.01 -997010 -1.19556e+06 -1.67326e+06 -46782.6 -149607 76447.6 0
1306.56 887.297 1748.32 -1.01242e+06 -1.14604e+06 -1.60572e+06 -49099.6 -251831 90099.3 0
1301.05 882.72 1748.47 -510639 -405420 -176829 10974.8 55888.6 59422.6 0
1301.95 883.33 1748.65 -865627 -845093 -994462 23541.5 104603 37904.6 0
1300.66 886.044 1748.91 -1.21136e+06 -961534 -834717 97130.8 62942.3 102294 0
1301.38 885.816 1746.68 -187989 -340789 -299921 -58094 -155786 74641.2 0
1301.61 885.709 1748.44 -621005 -548064 -413149 244.063 27491.9 59982 0
1301.5 883.223 1746.94 -300983 -470397 -506086 -48152.9 -103424 46048.9 0
1302.79 882.933 1748.69 -797282 -864922 -1.05358e+06 -31308.3 100578 52373.5 0
1301.58 887.739 1747.15 -100139 -282732 -293016 -98300.2 -19013.9 54060.5 0
1301.91 883.201 1748.6 -783271 -785387 -826493 41766.3 74464.2 103154 0
1301.75 887.689 1748.34 -679009 -732859 -675325 -10159.6 98501.6 55484.8 0
1303.66 884.148 1745.95 -559277 -820194 -1.11183e+06 -75317.4 -301768 25433.3 0
1301.51 885.824 1746.63 -55905.2 -217336 -195478 -57722.1 -79947.4 67637.1 0
1301.75 884.476 1748.73 -607738 -626948 -500883 24592.6 -903.618 83030.9 0
1300.74 885.63 1749.22 -808702 -547096 -281776 62219.2 -62865.3 68636.5 0
1303.11 885.507 1747.75 -766695 -968133 -1.28521e+06 -22348.3 13665.7 59677 0
1301.09 884.951 1748.36 -506307 -447119 -273859 8760.54 74420 52517.5 0
1303.93 882.033 1746.62 -605687 -890246 -1.35409e+06 -64696.2 -263767 49449.1 0
1304.91 887.024 1749.11 -787892 -943952 -1.21704e+06 -25501.7 -31387.6 96944.9 0
1301.42 882.906 1747.57 -151078 -193464 -142665 -35353 28318.3 37002.9 0
1301.68 886.14 1747.07 -342241 -648685 -642247 7559.1 -168172 150436 0
1304.72 887.053 1746.46 -1.0647e+06 -1.25068e+06 -1.84933e+06 -86288.3 -337352 39507.2 0
1301.42 885.852 1746.6 -250435 -463850 -473004 -38150.2 -206657 79051.2 0
1300.94 885.876 1749.05 -995874 -771742 -655338 126266 24346.3 114707 0
1305.04 885.296 1748.32 -770516 -968764 -1.31252e+06 -33867.8 -109406 101794 0
1301.03 882.34 1748.42 -879391 -826013 -732466 54019.5 50697.3 62836 0
1302.08 886.379 1748.85 -871990 -810815 -997897 15572.5 135500 91894.4 0
1300.93 882.571 1748.47 -1.00718e+06 -930266 -908203 76678.9 72620.1 66394.4 0
1301.76 884.01 1746.37 -370253 -617555 -788061 -18036.5 -289503 87959.9 0
1305.86 887.29 1748.2 -938843 -1.1227e+06 -1.58258e+06 -35690.8 -205191 127633 0
1300.44 884.016 1749.2 -1.09338e+06 -871925 -578483 152961 -14861.1 147811 0
1301.45 885.515 1745.82 -161193 -243074 -184834 -53990.8 -150944 54717 0
1302.72 885.981 1747.67 -802776 -987806 -1.29368e+06 -31383 9939.94 59060 0
1304.18 882.272 1747.49 -938867 -1.17717e+06 -1.65932e+06 -72926.3 -153384 31918.4 0
