x y z dx dy dz
1299.13 903.242 1745.6 0.00113091 -0.000933449 -0.000662837
1299.05 903.693 1745.62 0.0010588 -0.000909895 -0.000667021
1298.97 904.143 1745.64 0.00108176 -0.000905271 -0.000614746
1298.88 904.594 1745.65 0.00109718 -0.000936329 -0.000598657
1298.79 905.044 1745.67 0.00108054 -0.000919383 -0.000565471
1298.7 905.495 1745.69 0.00109231 -0.000902273 -0.000556462
1298.61 905.945 1745.7 0.00103209 -0.000918395 -0.000534759
1298.52 906.395 1745.72 0.000975882 -0.000927557 -0.000552882
1298.42 906.846 1745.74 0.00100087 -0.000932257 -0.000507371
1298.32 907.296 1745.76 0.000992064 -0.000927637 -0.000470883
1298.22 907.747 1745.77 0.000969055 -0.000922186 -0.000456366
1298.12 908.197 1745.79 0.000853102 -0.00089586 -0.000478015
1298.02 908.648 1745.81 0.000740577 -0.000875402 -0.000466679
1297.91 909.098 1745.82 0.00059885 -0.000860799 -0.00047333
1297.8 909.549 1745.84 0.000370107 -0.000805056 -0.000386068
1297.69 909.999 1745.86 -0.00051565 -0.000659855 8.36614e-05
1299.03 905.044 1745.46 0.00106257 -0.000935458 -0.000560049
1298.94 905.495 1745.48 0.00105636 -0.000927979 -0.00054049
1298.85 905.945 1745.5 0.00102956 -0.000927041 -0.000526832
1298.75 906.395 1745.51 0.000998967 -0.000930384 -0.000518435
1298.66 906.846 1745.53 0.000968003 -0.000926025 -0.000507027
1298.56 907.296 1745.55 0.000945932 -0.000923657 -0.000484564
1298.46 907.747 1745.57 0.000907201 -0.000918182 -0.000473441
1298.36 908.197 1745.58 0.000828491 -0.000888661 -0.000454828
1298.25 908.648 1745.6 0.000741419 -0.000859522 -0.000445021
1298.14 909.098 1745.62 0.000605638 -0.000802202 -0.000438058
1298.04 909.549 1745.63 0.000389962 -0.000665255 -0.000386484
1297.92 909.999 1745.65 -0.000355845 -0.000640286 2.98698e-05
1298.81 907.296 1745.33 0.000972661 -0.000957725 -0.000421032
1298.71 907.747 1745.35 0.000930194 -0.000941355 -0.000405695
1298.61 908.197 1745.36 0.000865527 -0.00091584 -0.000382406
1298.5 908.648 1745.38 0.0007865 -0.00087986 -0.000363687
1298.39 909.098 1745.4 0.000680746 -0.000812726 -0.000341734
1298.29 909.549 1745.41 0.000552391 -0.00067395 -0.000316993
1298.18 909.999 1745.43 0.0003731 -0.000649539 -0.000246519
1298.66 909.098 1745.16 0.000758736 -0.000885457 -0.000287698
1298.55 909.549 1745.18 0.000708264 -0.000818677 -0.000278694
1298.44 909.999 1745.2 0.000773509 -0.000758233 -0.000344096
1299.13 904.143 1745.64 0.000976018 -0.000873483 -0.000650421
1299.05 904.594 1745.66 0.000973484 -0.000889095 -0.000629646
1298.96 905.044 1745.67 0.000957771 -0.000901818 -0.000604099
1298.87 905.495 1745.69 0.000957547 -0.000870595 -0.000577004
1298.78 905.945 1745.71 0.00096265 -0.000859566 -0.000578064
1298.68 906.396 1745.72 0.000891203 -0.000885519 -0.000570229
1298.59 906.846 1745.74 0.000849875 -0.000874777 -0.000570063
1298.49 907.296 1745.76 0.000879014 -0.000895046 -0.000528907
1298.39 907.747 1745.77 0.000847462 -0.000920933 -0.000538647
1298.29 908.197 1745.79 0.00072287 -0.000857834 -0.000506321
1298.18 908.648 1745.81 0.000654532 -0.000884533 -0.000516883
1298.08 909.098 1745.83 0.000494999 -0.000864652 -0.000518168
1297.97 909.549 1745.84 0.000304076 -0.000823052 -0.000525355
1297.86 909.999 1745.86 -0.000636423 -0.000627171 0.000113736
1299.09 905.495 1745.51 0.00101222 -0.000918323 -0.000516203
1299 905.945 1745.53 0.000978848 -0.000916855 -0.000506065
1298.91 906.395 1745.54 0.000961674 -0.000920691 -0.000491038
1298.81 906.846 1745.56 0.000920866 -0.000916167 -0.000479628
1298.71 907.296 1745.58 0.000906011 -0.000912757 -0.000466165
1298.61 907.747 1745.59 0.000864775 -0.000908154 -0.000458735
1298.51 908.197 1745.61 0.000787945 -0.000884307 -0.000431302
1298.41 908.648 1745.63 0.000709262 -0.000858099 -0.000420479
1298.3 909.098 1745.65 0.000575533 -0.000810317 -0.000409904
1298.19 909.549 1745.66 0.000400345 -0.000674666 -0.000399808
1298.08 909.999 1745.68 -0.000196885 -0.000650546 -7.0008e-05
1298.95 907.296 1745.39 0.000927997 -0.000959463 -0.000407518
1298.85 907.747 1745.4 0.000885445 -0.000943367 -0.000392717
1298.74 908.197 1745.42 0.00082166 -0.000921809 -0.000372201
1298.64 908.648 1745.44 0.000743878 -0.000889078 -0.00035509
1298.53 909.098 1745.46 0.000638219 -0.000832623 -0.000334098
1298.42 909.549 1745.47 0.000519953 -0.000726504 -0.00032625
1298.31 909.999 1745.49 0.000520121 -0.000683392 -0.000323282
1298.78 909.098 1745.25 0.000711281 -0.000900085 -0.000290054
1298.67 909.549 1745.27 0.000647736 -0.000850612 -0.000285648
1298.56 909.999 1745.29 0.000699107 -0.000796811 -0.000322792
1299.22 904.594 1745.66 0.000968228 -0.000904663 -0.000579528
1299.13 905.044 1745.67 0.000946023 -0.00087504 -0.000564076
1299.04 905.495 1745.69 0.000947412 -0.0008512 -0.000537433
1298.95 905.945 1745.71 0.000831869 -0.000861887 -0.000532328
1298.85 906.396 1745.73 0.000879241 -0.000871506 -0.000517575
1298.76 906.846 1745.74 0.000778626 -0.000860925 -0.000517402
1298.66 907.296 1745.76 0.000816079 -0.000858323 -0.000489233
1298.56 907.747 1745.78 0.000773613 -0.000880539 -0.00049486
1298.46 908.197 1745.79 0.000683767 -0.000876079 -0.000465321
1298.35 908.648 1745.81 0.000618106 -0.000847774 -0.000454373
1298.25 909.098 1745.83 0.000459837 -0.000849936 -0.000446089
1298.14 909.549 1745.85 0.000272232 -0.000766267 -0.000492131
1298.03 909.999 1745.86 -0.000337638 -0.000675717 -6.02152e-05
1299.06 906.395 1745.57 0.000921264 -0.0009297 -0.000460386
1298.96 906.846 1745.59 0.000871176 -0.000927957 -0.000434739
1298.87 907.296 1745.61 0.000855393 -0.000921615 -0.000434564
1298.77 907.747 1745.62 0.00080859 -0.000911187 -0.000421729
1298.66 908.197 1745.64 0.00074214 -0.000895993 -0.00040355
1298.56 908.648 1745.66 0.000661746 -0.000864892 -0.000389512
1298.45 909.098 1745.68 0.000536459 -0.000824487 -0.000373969
1298.34 909.549 1745.69 0.000364691 -0.000717597 -0.000377113
1298.23 909.999 1745.71 0.000276527 -0.000674481 -0.000315966
1298.99 907.747 1745.46 0.000836263 -0.000950377 -0.000373923
1298.88 908.197 1745.48 0.000775605 -0.00093263 -0.000358467
1298.78 908.648 1745.5 0.000698228 -0.000903188 -0.00034282
1298.67 909.098 1745.51 0.000596707 -0.000854731 -0.000322222
1298.56 909.549 1745.53 0.000472917 -0.000789245 -0.000318404
1298.45 909.999 1745.55 0.000556209 -0.000744824 -0.000330829
1298.9 909.098 1745.34 0.00066145 -0.000916778 -0.000289112
1298.79 909.549 1745.36 0.000591646 -0.000882406 -0.000283514
1298.68 909.999 1745.38 0.000617017 -0.000839886 -0.000298461
1299.21 905.495 1745.69 0.000897169 -0.000889472 -0.000507193
1299.11 905.945 1745.71 0.00084486 -0.000906079 -0.000466559
1299.02 906.395 1745.73 0.000853103 -0.000906935 -0.000489102
1298.92 906.846 1745.74 0.000783149 -0.000906287 -0.000439538
1298.83 907.296 1745.76 0.00077488 -0.000894868 -0.00045811
1298.73 907.747 1745.78 0.00071623 -0.000901681 -0.000433458
1298.62 908.197 1745.8 0.000665646 -0.000875868 -0.000428092
1298.52 908.648 1745.81 0.00058339 -0.000855728 -0.000411109
1298.41 909.098 1745.83 0.000448028 -0.000840038 -0.000402358
1298.31 909.549 1745.85 0.000261692 -0.000776178 -0.000410435
1298.2 909.999 1745.86 0.000123724 -0.000676584 -0.000350507
1299.12 906.846 1745.62 0.000829147 -0.000946373 -0.00040282
1299.02 907.296 1745.64 0.000805368 -0.000941674 -0.000404118
1298.92 907.747 1745.65 0.000757751 -0.000927168 -0.000385599
1298.82 908.197 1745.67 0.000698633 -0.000911994 -0.00037748
1298.71 908.648 1745.69 0.000618351 -0.000883571 -0.000363488
1298.61 909.098 1745.71 0.000501149 -0.000842353 -0.000348708
1298.5 909.549 1745.72 0.000338289 -0.000778988 -0.000338511
1298.39 909.999 1745.74 0.000366927 -0.000757357 -0.000335128
1299.02 908.197 1745.54 0.000727551 -0.000946819 -0.000345037
1298.92 908.648 1745.56 0.000652134 -0.00092061 -0.000329677
1298.81 909.098 1745.57 0.000552723 -0.000880217 -0.000311827
1298.7 909.549 1745.59 0.000445172 -0.000842121 -0.0003005
1298.59 909.999 1745.61 0.0004067 -0.000807014 -0.000289617
1299.03 909.098 1745.43 0.000609016 -0.000935847 -0.00028633
1298.92 909.549 1745.45 0.000538419 -0.000912379 -0.00027672
1298.81 909.999 1745.47 0.000556813 -0.000877334 -0.000282243
1299.3 905.044 1745.84 0.000769367 -0.000856948 -0.00052186
1299.21 905.495 1745.86 0.00075385 -0.000887385 -0.000504787
1299.11 905.945 1745.87 0.000768381 -0.000890247 -0.000416646
1299.02 906.396 1745.89 0.000739192 -0.000884851 -0.000488556
1298.93 906.846 1745.91 0.000697018 -0.000899818 -0.000407037
1298.83 907.296 1745.93 0.000652852 -0.000851965 -0.000446415
1298.73 907.747 1745.94 0.000599795 -0.000899293 -0.000410261
1298.63 908.197 1745.96 0.000542069 -0.000865471 -0.000440574
