x y z fx fy fz
1293.84 906.786 1747.21 -4043.77 11920 12913.8
1296.28 888.854 1745.29 2621.5 5931.37 9952.77
1297.76 888.014 1750.15 17540.2 6233.51 -13818.7
1297.32 890.055 1750.05 2511.13 6013.58 4473
1297.99 886.835 1750.18 -2242.12 -2526.2 -810.609
1295.99 898.669 1749.99 2291.17 404.387 5711.86
1296.05 893.986 1749.05 -6718.07 -6225.92 -10757.8
1299.31 898.992 1750.23 -1444.59 -693.578 1245.06
1293.56 908.118 1746.07 2863.22 -10857.4 -48729.6
1295.74 899.197 1749.81 10329.8 -4887.87 10390.3
1297.58 891.094 1750.26 8561.67 2209.57 4642.84
1294.17 905.4 1745.94 1914.08 -4656.34 9290.67
1301.05 890.398 1748.51 -2912.79 772.444 14675.4
1301.28 886.841 1747.38 1895.78 -1424.26 572.527
1300.15 895.966 1749.64 5148.22 1564.46 -7633.95
1301.15 890.105 1746.91 -1590.52 10690 -12976.6
1301.25 888.284 1746.18 -542.44 12249.7 -11134
1301.16 889.592 1747.76 -975.524 -7076.66 24975.7
1300.95 892.744 1747.71 -11572.4 -9592.29 24427
1301.21 886.012 1748.41 -330.338 11222.5 -5567.42
1301.3 885.41 1747.33 672.128 694.99 1552.63
1301.2 887.528 1748.35 -2341.03 -8471.5 -136.907
1300.7 890.179 1749.34 13021.9 13765.5 -20787.7
1300.77 891.152 1749.17 5363.44 12756.3 -10762.1
1301.27 887.426 1746.64 -16860.4 10966.8 -11606
1301.24 888.077 1746.97 -14464.1 2503.52 10258.8
1300.99 891.638 1748.44 -1514.88 4587.59 -7125.26
1300.34 896.377 1749.28 -642.476 6307.43 -1163.11
1299.78 898.544 1749.8 -9200.88 -4312.19 11900.8
1300.51 892.683 1749.46 -6217.49 -6252.07 6597.23
1300.77 891.384 1749.14 354.364 -8140.72 -962.809
1301.2 889.271 1746.44 -440.069 -5511.48 -21793.9
1300.11 897.484 1749.49 1289.08 -2999.91 -9650.89
1300.7 891.922 1749.22 2568.34 4637.57 -9521.24
1300.85 891.9 1748.91 2723.17 5123.33 -9416.76
1300.52 892.451 1749.46 -3154.94 1596.17 17137.5
1301.2 889.129 1747.05 -711.918 -2792.86 27344.4
1300.95 892.133 1748.52 -1883.81 -8205.34 6745.36
1301.15 890.036 1746.64 -526.97 -6350.54 3699.36
1301.16 889.151 1748.22 -3291.35 -4635.25 32420.7
1301.18 889.273 1747.34 -807.898 3682.02 -15894.1
1301.22 888.496 1747.14 -4722.1 2041.49 1216.47
1300.59 888.638 1749.54 -12230.1 -289.092 16460.1
1301.24 887.666 1747.83 3626.04 -305.545 -2361
1301.04 886.966 1748.87 2400.01 302.532 -6235.82
1301.06 887.394 1748.82 -19448.6 -15419.5 48545.7
1300.6 890.455 1749.47 -14161.3 -1751.25 18003.1
1300.62 890.377 1749.45 -5791.64 2245.07 8033.1
1300.78 893.848 1748.66 1251.23 9536.44 -7840.98
1301.22 888.429 1747.55 1118.33 -2995.32 -3638.73
1300.65 895.302 1748.68 -7568.81 -4089.45 15743.8
1301.02 891.962 1747.36 4036.09 -9020.84 18877.7
1301.06 891.023 1748.21 -804.571 1240.43 -15637.9
1301.08 887.8 1748.73 815.095 -2597.66 -3976.19
1301.18 889.416 1747.18 -574.849 7015.59 -789.882
1300.56 895.406 1748.97 -6199.08 -8411.93 17891.2
1300.8 891.005 1749.12 3910.14 -10053.6 -8954.59
1301.12 890.508 1747.36 -3781.21 -836.434 -5706.16
1301.11 889.551 1748.42 -5714.39 -10802.4 29545.7
1300.64 887.013 1749.48 12186.1 9637.82 -12672.2
1301.21 888.533 1747.99 2371.77 -456.529 -1100.58
1301.13 890.408 1747.08 -1898.98 -1677.74 18136.3
1301.17 889.837 1746.44 -550.13 -9683.76 -2228.58
1300.1 896.937 1749.59 7727.39 2585.85 -17923.4
1301.13 888.873 1748.48 3535.18 10236.6 -18290.7
1300.92 892.847 1748.34 133.587 9549.51 -12749.9
1301.31 884.957 1747.53 -2115.68 1314.71 11616
1301.27 887.633 1746.39 -2863.9 -8705.54 36560.7
1301.07 885.823 1748.82 -10654 -390.95 21059.7
1300.59 888.052 1749.54 748.942 -3187.97 -2176.91
1300.81 885.382 1749.26 801.443 5851.27 -2040.4
1300.94 885.144 1749.06 4616.93 -4708.94 -8761.17
1301.29 886.602 1746.97 -1887.57 -7719.3 -16706.4
1301.29 886.753 1746.65 -717.115 -5859.63 6105.35
1301.05 891.499 1747.39 -14944.7 -9447.38 -15604.1
1301.3 885.789 1747.5 -518.076 -3894.82 25563.6
1301.19 889.311 1747.07 48.0748 -5855.94 -20453.2
1300.22 896.013 1749.53 8172.79 5655.84 -13919.4
1301.07 886.167 1748.82 8113.54 13668.3 -17058.2
1300.65 886.224 1749.47 5101.11 -3744.46 -6563.5
1300.88 887.983 1749.15 -936.723 71.5173 1734.37
1301.28 887.162 1746.7 183.768 -2850.86 8900.27
1300.87 887.694 1749.17 -4514.88 261.518 5934.32
1300.34 894.702 1749.51 9388.46 -541.231 -15562.4
1301.25 887.65 1747.58 17935.2 -1574.77 -132.008
1300.78 893.619 1748.74 -5761.18 -6043.71 19349.5
1300.52 893.284 1749.39 7937.65 763.23 -12802
1300.45 895.953 1749.11 -1598.19 8012.87 -4660.81
1300.93 889.999 1748.95 -4375.74 -10726.6 8764.83
1301.23 888.177 1747.4 2735.67 -9277.84 3646
1300.96 892.453 1748.21 -899.568 -7662.61 -18958.9
1300.34 894.062 1749.58 -1796.75 5023.11 856.156
1301.24 888.054 1747.27 1782.98 2810.17 303.25
1301.06 890.494 1748.44 -2078.46 -6767.66 31626.7
1301.14 890.229 1747.25 -1693.23 -532.545 -16869.1
1301.07 891.014 1748.12 -1817.24 16772.9 -11803
1301.15 889.795 1748.01 538.254 7176.05 -7675.4
1301.2 888.221 1748.21 185.919 -143.924 201.003
1301.32 885.174 1746.35 -4198.23 5777.41 -16830.9
1301.21 888.937 1746.99 -422.32 9515.07 -5902.85
1301.04 891.532 1747.76 687.535 -435.997 -1490.68
1300.91 891.149 1748.85 3158 13297.4 -10801.1
1300.95 892.685 1747.98 -19366.8 4812.17 9467.57
1300.77 894.399 1748.48 4135.7 -1844.21 9635.44
1301.22 887.693 1748.21 -623.297 -2734.94 1060.05
1301.31 885.89 1746.25 -203.918 -2625.53 17986.8
1300.66 886.061 1749.46 6609.52 12570.9 -7164.51
1301.17 889.648 1747.04 612.79 8127.91 -12976.1
1301.28 887.048 1746.5 1060.09 -9389.39 -26943.3
1301.25 887.421 1747.97 981.605 4579.41 -5404.78
1300.9 893.383 1747.83 -2335.55 5326.1 -17128.3
1301.32 885.559 1746.01 -414.462 -831.918 -1528.53
1301.09 891.021 1747.33 2802.64 -8269.58 -19015.7
1301.02 890.466 1748.63 -4177.06 -9495.01 32512.8
1301.02 890.466 1748.63 4544.23 -3816.85 -4498.67
1300.62 889.286 1749.49 12401.2 16011.6 -15849.3
1301.15 889.954 1747.6 -644.725 -8245.51 14073.3
1301.23 888.01 1747.88 12571.9 9130.46 -150.277
1301.29 886.017 1747.45 9023.65 -1794.4 4692.13
1301.11 890.508 1747.64 -2890.31 -14591.3 35282.4
1301.05 891.205 1748.2 14436.7 -2881.19 12146.9
1301.26 887.352 1747.38 570.973 132.631 -187.873
1301.19 889.305 1747 89.3975 4356.86 -16532.2
1301.17 889.461 1747.55 -900.189 -844.913 1696.19
1301.31 886.266 1745.55 220.407 7850.2 -8299.28
1301.32 886.471 1745.14 5293.23 -7502.99 39803.5
1301.32 886.282 1745.46 901.716 -5555.58 -8274.86
1301.32 885.824 1745.62 -636.414 -6184.95 -2272.77
1301.3 886.816 1745.43 -473.724 3640.4 23524
1301.28 887.222 1745.95 1241.46 471.775 15647.2
1301.26 888.033 1745.6 671.556 9992.45 -3572.65
1301.27 887.877 1745.61 -1284.32 3983.94 -13023.5
1301.32 885.867 1745.69 21.3273 -323.15 23938.5
1301.32 886.262 1745.3 2478.99 -8644.83 -10045.6
1301.34 884.827 1745.28 3424.63 17777.8 -16713.6
1301.33 885.246 1745.51 1896.7 10124.5 -27962
1301.28 887.533 1745.57 1313.02 15143.2 -15219.8
1301.29 887.235 1745.87 641.753 -11033.4 22849.7
1301.29 886.998 1745.84 416.475 -13004.7 -21752.2
1301.29 887.224 1745.79 -46.4153 -1607.94 18107.7
1301.31 886.779 1745.11 6331.37 -761.911 13773.8
1301.3 886.977 1745.22 643.081 -757.933 -16275.7
1301.33 884.91 1745.85 -415.969 6181.42 6520.13
1301.32 886.214 1745.03 -5513.27 10133.9 -8773.39
1301.32 886.081 1745.27 180.174 12023.7 -23573.5
1301.33 885.715 1745.25 1238.35 -1538.31 -24680.1
1301.31 886.722 1745.45 307.004 -2300.33 1061.09
1301.25 888.343 1745.78 -168.572 -879.372 -22090.1
1301.31 886.644 1745.32 1756.88 -7740.09 -12567.3
1301.34 885.122 1745.05 -1565 16448.4 -9206.74
1301.34 885.462 1744.99 12592.5 -8276.36 24644
1301.31 886.278 1745.96 -1156.95 -8746.3 4956.83
1301.31 886.472 1745.81 8227.36 -10624.4 45966.7
1301.28 887.572 1745.71 1078.84 989.404 6172.86
1301.33 885.101 1745.54 -766.247 6876.36 -1011.34
1301.3 887.025 1745.3 416.769 18858.2 -29132.1
1301.31 886.513 1745.43 3273.51 14579.7 -22021.9
1301.26 888.09 1745.82 -1991.21 1249.88 432.441
1301.3 887.128 1745.32 3017.88 -6488.1 -5050.09
1301.21 886.011 1744.97 2875.16 6371.93 -1300.03
1301.3 887.01 1745.61 1255.84 10927.1 -24206.2
1301.22 888.895 1745.94 1320.05 15248.1 -9697.75
