sector_deg yband sum_fn_N n_contacts
0 1 48939.9 584
0 2 97602.2 922
0 3 292997 978
0 4 210686 864
0 5 -192252 528
15 1 3655.71 543
15 2 -39941.7 889
15 3 -17035.5 992
15 4 71735.5 908
15 5 294392 591
30 1 10069.2 513
30 2 179587 834
30 3 453014 952
30 4 20164.3 906
30 5 53850.7 682
45 1 27676.6 491
45 2 89570.2 780
45 3 170557 956
45 4 64564.9 890
45 5 71800.9 733
60 1 43617.4 474
60 2 166404 697
60 3 233695 843
60 4 -133503 862
60 5 46077.4 788
75 1 56799.7 443
75 2 164346 577
75 3 74594.6 739
75 4 197400 783
75 5 61163 797
90 1 88075.9 458
90 2 137658 484
90 3 221205 610
90 4 200237 714
90 5 135872 781
105 1 92931.4 462
105 2 106388 383
105 3 161807 451
105 4 194039 629
105 5 258065 775
120 1 113720 452
120 2 87522.7 341
120 3 103832 326
120 4 19647 522
120 5 356292 746
135 1 123081 494
135 2 69250.3 281
135 3 25370.4 220
135 4 336035 420
135 5 391947 755
150 1 131092 537
150 2 52761.3 242
150 3 -104339 193
150 4 41921.7 375
150 5 284108 717
165 1 127926 561
165 2 44210.1 240
165 3 -11235.9 159
165 4 19707.3 298
165 5 51671.9 655
180 1 97627.2 604
180 2 37270.1 252
180 3 228636 164
180 4 7256.33 292
180 5 -9564.74 652
195 1 24137.9 648
195 2 20790.9 282
195 3 146212 172
195 4 4378.02 329
195 5 1.75482e+06 7513
210 1 39742 1012
210 2 9092.03 401
210 3 -86370.4 235
210 4 39094.6 514
210 5 3.29408e+06 9977
225 1 1.35874e+06 13898
225 2 -8948.54 654
225 3 -110262 423
225 4 2.59559e+06 7144
225 5 924684 2522
240 1 1.24057e+06 6046
240 2 3.07112e+06 11017
240 3 413975 2010
240 4 4.18013e+06 10798
240 5 0 0
255 1 0 0
255 2 3.04488e+06 9088
255 3 7.76814e+06 18250
255 4 792552 1872
255 5 0 0
270 1 0 0
270 2 0 0
270 3 0 0
270 4 0 0
270 5 0 0
285 1 226365 3427
285 2 0 0
285 3 0 0
285 4 0 0
285 5 24629.6 109
300 1 3.08295e+06 11770
300 2 -101167 34
300 3 0 0
300 4 0 0
300 5 1.79902e+06 4028
315 1 1.4923e+06 3816
315 2 1.44462e+07 17415
315 3 6.35794e+06 9946
315 4 4.64069e+06 7810
315 5 7.04173e+06 12848
330 1 139191 727
330 2 660902 1063
330 3 4.04613e+06 8528
330 4 5.06374e+06 10393
330 5 283067 911
345 1 8089.97 602
345 2 52932.9 923
345 3 -310364 986
345 4 -214343 887
345 5 36928.2 535
