x y z nx ny nz state
1301.13 879.73 1747.99 -0.91064 -0.175517 0.374071 1
1301.16 879.771 1747.97 -0.195981 0.959962 -0.200161 1
1301.24 882.967 1747.02 -0.924786 0.277854 -0.259938 1
1300.24 897.161 1749.14 -0.401496 -0.459072 -0.792499 1
1300.25 897.217 1749.17 -0.0922636 0.982766 0.160183 1
1300.24 897.188 1749.2 -0.427939 0.232164 0.873481 1
1300.08 899.95 1747.83 0.188484 0.752199 -0.631404 1
1295.47 860.87 1749.14 -0.909411 0.227404 -0.348222 1
1301.21 887.773 1747.31 0.09383 0.347107 -0.93312 1
1301.21 885.996 1747.95 -0.894758 0.40067 -0.19716 1
1300.91 892.56 1747.15 0.76504 -0.639935 0.0720835 1
1300.99 876.285 1747.58 0.404533 -0.400732 0.82205 1
1300.11 872 1748.79 0.4591 -0.539171 -0.70606 1
1301 891.75 1745.53 -0.619712 -0.689689 0.374548 1
1301.1 878.481 1747.68 0.910661 0.330269 -0.248234 1
1300.44 870.717 1747.65 -0.139521 -0.610827 0.779374 1
1300.46 870.78 1747.62 0.30845 0.950971 0.0226206 1
1296.15 891.703 1748.31 -0.567176 0.477928 0.670743 1
1296.2 891.703 1748.27 0.73252 0.471963 -0.490577 1
1300.98 877.474 1745.3 -0.318833 0.735256 0.598117 1
1301.29 884.802 1746.21 0.00271206 -0.653434 -0.756979 1
1299.23 904.749 1748.22 0.888333 -0.327193 -0.322196 1
1294.68 902.777 1748.38 0.153534 -0.884123 0.44131 2
1300.91 875.055 1746.38 -0.541761 -0.254845 0.800967 1
1300.24 882.032 1749.6 0.772953 -0.334257 0.539273 1
1300.22 882.078 1749.59 0.246099 0.95887 0.141432 1
1300.18 882.032 1749.59 -0.889618 -0.314802 0.330878 2
1300.23 882.059 1749.56 0.584074 0.410069 -0.700501 1
1299.67 901.869 1748.21 -0.496633 0.588641 0.637853 1
1299.76 865.876 1746.52 0.664714 -0.336551 -0.667 1
1299.76 865.865 1746.56 0.716201 -0.584588 0.381199 1
1301.19 888.053 1745.31 -0.755238 -0.364582 0.544698 1
1296.15 908.506 1751.08 -0.0480177 0.996071 0.0744087 1
1301.12 889.785 1745.74 0.497372 -0.311529 0.809673 1
1300.95 877.236 1748.12 0.536878 -0.424553 0.729052 1
1300.97 877.278 1748.09 0.803832 0.588487 0.0868121 1
1299.96 868.568 1748.22 0.439386 -0.2681 -0.857357 1
1300.99 884.894 1748.88 -0.398428 0.650094 0.647019 1
1300.98 884.889 1748.85 -0.793255 0.513179 -0.327709 1
1301.01 876.794 1747.36 0.912582 0.267009 0.309679 1
1300.72 892.049 1746.93 -0.290356 0.896211 0.335408 1
