x y z sxx syy szz sxy sxz syz pp
1300.18 884.163 1797.71 -393509 -355991 -195143 -30546.8 -179242 -470.035 122169
1299.82 882.873 1798.96 -373299 -333919 -163121 -39696.7 -171969 -4440.9 108953
1296.97 882.389 1794.2 -519304 -469568 -358117 -51374.7 -215798 -3290.16 140762
1299.09 885.448 1792.39 -512086 -481303 -371477 -62506.9 -211170 -1324.96 167455
1299.28 887.275 1792.78 -491959 -460652 -351698 -67042.4 -210470 -2704.78 163316
1297.33 885.918 1791.03 -465267 -454892 -354652 -66609.2 -213560 1616.58 171028
1297.53 887.745 1791.41 -461824 -448274 -352506 -68146.9 -214273 -241.417 166889
1298.75 883.982 1794.06 -500838 -463164 -351433 -50759.6 -211941 710.405 150407
1298.89 883.53 1782.35 -568443 -571225 -594738 -92069.9 -258915 2181 266387
1298.69 884.441 1796.49 -378220 -344427 -189396 -37181.4 -178360 -2145.27 125883
1298.83 887.963 1796.67 -375185 -346015 -182014 -33779.1 -178687 -8982.77 122152
1298.59 887.545 1780.13 -618498 -621191 -655784 -86478.7 -273496 7216.87 283449
1300.49 883.181 1792.78 -461998 -443890 -337009 -54370.9 -219104 931.862 172919
1300.19 887.602 1781.14 -605100 -606854 -639614 -86396.1 -267686 7194.41 282062
1298.87 886.209 1797.53 -358608 -304734 -170648 -46643 -178530 -4249.26 115271
1297.47 885.968 1788.8 -497739 -490213 -425513 -72685 -235365 3382.17 193635
1298.32 882.007 1798.96 -447940 -392848 -207382 -50147.7 -186900 -5370.66 101577
1300.39 886.818 1783.73 -581383 -574679 -574512 -84415.2 -257622 4938.62 258321
1300.82 884.647 1791.11 -478184 -465840 -361658 -66873.2 -217535 -403.93 189966
1297.33 883.151 1797.74 -507365 -431370 -255245 -53131.1 -200670 -6537.01 107301
1299.24 886.525 1786.45 -519243 -516596 -476555 -82227.5 -242328 4017.48 225720
1300.5 884.115 1781.3 -604383 -605062 -640968 -93017.8 -265595 1304.64 284846
1300.72 883.884 1788.45 -559304 -550272 -508076 -76394.2 -253688 4330.85 216056
1298.77 886.295 1784.68 -564235 -558925 -544480 -84110.9 -253705 6576.02 240777
1297.16 887.489 1784.01 -554643 -555448 -547480 -85687.2 -255402 8228.05 237787
1299.12 884.735 1787.5 -505538 -505804 -456573 -78200.8 -239333 1620.15 216152
1298.03 883.538 1786.09 -527645 -517718 -475054 -78701.7 -244981 -9498.41 225102
1297.78 883.828 1781.01 -609409 -609517 -640462 -91777.9 -270553 4400.84 273385
1297.58 887.757 1787.74 -501353 -491549 -433915 -76152.9 -234855 4306.59 203203
