x y z dx dy dz
1299.13 903.243 1745.6 0.000876653 -0.000355284 -0.000242365
1299.05 903.693 1745.62 0.000689012 -0.000381401 -0.000380236
1298.97 904.144 1745.64 0.000885717 -0.000351116 -0.000298619
1298.88 904.594 1745.65 0.00085181 -0.000386822 -0.000326765
1298.79 905.045 1745.67 0.000835481 -0.000363606 -0.000311254
1298.7 905.495 1745.69 0.000868665 -0.000351292 -0.000298631
1298.61 905.946 1745.7 0.000767798 -0.000357616 -0.000316265
1298.52 906.396 1745.72 0.000799806 -0.000375375 -0.000318763
1298.42 906.846 1745.74 0.000795146 -0.000368982 -0.000308215
1298.32 907.297 1745.76 0.00079594 -0.000359089 -0.000288005
1298.22 907.747 1745.77 0.000793361 -0.000360098 -0.000291506
1298.12 908.198 1745.79 0.000697933 -0.000343241 -0.000321008
1298.01 908.648 1745.81 0.000613162 -0.000332722 -0.000329479
1297.91 909.099 1745.82 0.000510729 -0.000327786 -0.000350974
1297.8 909.549 1745.84 0.000361726 -0.000327773 -0.000341737
1297.69 910 1745.86 -0.00031407 -0.000276267 -9.74447e-06
1299.03 905.045 1745.46 0.000821889 -0.000369291 -0.000297548
1298.94 905.495 1745.48 0.00083592 -0.000364677 -0.000296025
1298.85 905.946 1745.5 0.000787894 -0.000361027 -0.000297362
1298.75 906.396 1745.51 0.000805715 -0.000367691 -0.000300435
1298.66 906.846 1745.53 0.0007629 -0.000361726 -0.000306541
1298.56 907.297 1745.55 0.000758096 -0.00035513 -0.000301356
1298.46 907.747 1745.57 0.000735714 -0.00035396 -0.000307111
1298.36 908.198 1745.58 0.000675584 -0.000330439 -0.000306391
1298.25 908.648 1745.6 0.000617862 -0.000309872 -0.000315135
1298.14 909.099 1745.62 0.000516683 -0.000273896 -0.00032528
1298.04 909.549 1745.63 0.000358294 -0.000193785 -0.000318284
1297.92 910 1745.65 -0.000196339 -0.000246617 -5.08909e-05
1298.81 907.297 1745.33 0.000773965 -0.000367395 -0.000253654
1298.71 907.747 1745.35 0.000746431 -0.000354664 -0.000255139
1298.61 908.198 1745.36 0.000700819 -0.000335788 -0.000251225
1298.5 908.648 1745.38 0.000648355 -0.00030818 -0.000253832
1298.39 909.099 1745.4 0.000572164 -0.000259214 -0.00025299
1298.29 909.549 1745.41 0.000478559 -0.000162055 -0.00025956
1298.18 910 1745.43 0.000334649 -0.000157255 -0.000254132
1298.66 909.099 1745.16 0.000627054 -0.000295867 -0.00021021
1298.55 909.549 1745.18 0.000590728 -0.000243141 -0.000225395
1298.44 910 1745.2 0.000631576 -0.000195907 -0.000314153
1299.13 904.144 1745.64 0.00087787 -0.00035683 -0.000327486
1299.05 904.594 1745.66 0.000711649 -0.000374313 -0.000339274
1298.96 905.045 1745.67 0.000740847 -0.000362759 -0.000328488
1298.87 905.495 1745.69 0.000810061 -0.000344949 -0.000330418
1298.78 905.946 1745.71 0.000686719 -0.000327874 -0.000341831
