x y z dx dy dz
1278.57 937.489 1800.49 -0.408707 0.310819 -0.0243468
1278.45 913.058 1802.38 -0.394785 0.332873 -0.0240895
1277.25 949.092 1801.64 -0.417015 0.299031 -0.0274891
1269.3 943.464 1795.71 -0.40192 0.305438 -0.0267439
1268.05 954.943 1797.45 -0.416089 0.296989 -0.0302529
1270.24 931.284 1795.89 -0.391113 0.318128 -0.0241111
1260.02 949.803 1790.96 -0.395932 0.301071 -0.0319585
1252.33 931.123 1786.34 -0.370908 0.318172 -0.028109
1253.04 919.488 1788.95 -0.365482 0.326252 -0.0271738
1253.77 908.542 1792.24 -0.36489 0.334563 -0.0254896
1254.58 897.715 1795.85 -0.362259 0.342105 -0.0247631
1245.54 890.874 1793.65 -0.350603 0.343699 -0.0301406
1255.27 886.549 1799.5 -0.358921 0.346023 -0.0276661
1246.14 879.489 1797.35 -0.349352 0.350144 -0.0303077
1255.74 875.187 1803.04 -0.356258 0.351885 -0.0275305
1246.8 867.949 1801.01 -0.34575 0.355668 -0.0315212
1247.5 856.469 1804.54 -0.345428 0.358119 -0.0306843
1263.56 904.505 1797.85 -0.373097 0.337116 -0.0253334
1265.28 882.142 1804.97 -0.368197 0.348251 -0.0276082
1262.38 914.611 1794.65 -0.376004 0.336007 -0.0203781
1264.8 893.717 1801.44 -0.372433 0.342587 -0.0273506
1275.13 902.031 1803.46 -0.387747 0.337074 -0.0263439
1279.18 925.389 1800.94 -0.398752 0.32766 -0.0230202
1251.36 943.67 1785.04 -0.374977 0.310561 -0.0289688
1260.92 937.425 1790.57 -0.384019 0.312986 -0.0290933
1261.73 925.535 1792.11 -0.378899 0.321702 -0.025575
1271.25 919.382 1797.83 -0.387414 0.328759 -0.0257053
1270.88 910.241 1799.57 -0.383347 0.334894 -0.0202021
1279.01 849.672 1795.54 -0.347427 0.360061 -0.0340458
1268.73 846.087 1790.72 -0.334964 0.360594 -0.0365943
1271.67 857.387 1790.19 -0.341347 0.356489 -0.0349194
