sector_deg yband sum_fn_N n_contacts
0 1 -23642.4 584
0 2 -113048 922
0 3 313577 977
0 4 321827 864
0 5 -291534 527
15 1 -125470 544
15 2 -276015 889
15 3 -381372 992
15 4 -615954 908
15 5 222908 591
30 1 6757.3 512
30 2 127249 835
30 3 -19930.9 952
30 4 -211256 906
30 5 -115400 682
45 1 66177 492
45 2 489218 779
45 3 654359 956
45 4 257541 890
45 5 -90354.6 733
60 1 176471 473
60 2 568050 697
60 3 1.34121e+06 843
60 4 581941 862
60 5 -53291.5 788
75 1 269337 443
75 2 988870 577
75 3 911713 739
75 4 1.2413e+06 783
75 5 602563 797
90 1 630613 458
90 2 675334 484
90 3 1.19346e+06 611
90 4 1.33649e+06 714
90 5 1.0646e+06 781
105 1 107439 462
105 2 580768 383
105 3 678378 450
105 4 1.15838e+06 629
105 5 1.56501e+06 775
120 1 456495 452
120 2 418703 341
120 3 502527 327
120 4 634152 526
120 5 1.76852e+06 747
135 1 509310 494
135 2 262842 280
135 3 209152 219
135 4 1.21945e+06 417
135 5 1.59273e+06 754
150 1 486950 537
150 2 233731 242
150 3 23669.8 193
150 4 249722 374
150 5 1.08576e+06 717
165 1 511367 561
165 2 79376.3 240
165 3 66942.9 159
165 4 -303616 298
165 5 195901 655
180 1 173274 604
180 2 54983.3 252
180 3 267548 164
180 4 -42033.4 292
180 5 -21759.4 652
195 1 382876 648
195 2 428198 282
195 3 190666 172
195 4 679027 329
195 5 2.40399e+06 7513
210 1 94615.9 1012
210 2 42625.2 401
210 3 -38717.5 235
210 4 -281882 512
210 5 4.02104e+06 9975
225 1 2.77972e+06 13892
225 2 97889.7 654
225 3 -125417 423
225 4 2.10945e+06 7137
225 5 720748 2524
240 1 2.21976e+06 6052
240 2 4.19152e+06 10995
240 3 450261 2005
240 4 4.7363e+06 10799
240 5 0 0
255 1 0 0
255 2 3.69654e+06 9110
255 3 7.59175e+06 18255
255 4 539428 1880
255 5 0 0
270 1 0 0
270 2 0 0
270 3 0 0
270 4 0 0
270 5 0 0
285 1 996468 3427
285 2 0 0
285 3 0 0
285 4 0 0
285 5 551010 109
300 1 9.20102e+06 11767
300 2 6451.64 34
300 3 0 0
300 4 0 0
300 5 4.05802e+06 4027
315 1 3.16559e+06 3819
315 2 2.53394e+07 17416
315 3 1.75722e+07 9948
315 4 1.41795e+07 7812
315 5 2.14526e+07 12850
330 1 13027.4 728
330 2 795395 1063
330 3 8.51507e+06 8524
330 4 1.06114e+07 10393
330 5 696828 910
345 1 -83820.3 601
345 2 11741.1 923
345 3 -439898 987
345 4 -20196.2 885
345 5 195258 536
