sector_deg yband sum_fn_N n_contacts
0 1 24943.5 584
0 2 -19745.4 922
0 3 545908 978
0 4 224712 864
0 5 -312708 528
15 1 -28174.6 543
15 2 26226.7 889
15 3 -199878 992
15 4 -96029.4 908
15 5 266449 591
30 1 20306.3 513
30 2 112441 834
30 3 111208 951
30 4 118341 906
30 5 -26695.9 682
45 1 56232 491
45 2 321971 780
45 3 396966 956
45 4 174532 890
45 5 29949 733
60 1 93026.3 474
60 2 220353 697
60 3 789792 844
60 4 218997 862
60 5 -31594.6 788
75 1 177931 443
75 2 569179 577
75 3 247848 739
75 4 629297 783
75 5 288060 797
90 1 164703 458
90 2 292763 484
90 3 621526 610
90 4 637724 714
90 5 537314 781
105 1 171680 462
105 2 271648 383
105 3 279550 451
105 4 521561 629
105 5 757342 775
120 1 199783 452
120 2 160617 341
120 3 251504 326
120 4 72370.1 524
120 5 876371 747
135 1 229752 494
135 2 52317.6 280
135 3 62258.9 220
135 4 893241 418
135 5 783868 754
150 1 208500 537
150 2 76548.1 242
150 3 -78041.4 193
150 4 73713.3 375
150 5 566483 717
165 1 221102 561
165 2 -51345.7 240
165 3 8907.88 159
165 4 -235131 298
165 5 66262.1 655
180 1 -29186.5 604
180 2 -53397.3 252
180 3 226181 164
180 4 48429.5 292
180 5 -21293.7 652
195 1 323196 648
195 2 380313 282
195 3 166877 172
195 4 226615 329
195 5 3.22388e+06 7513
210 1 4791.88 1012
210 2 -13243.7 401
210 3 -65499.1 235
210 4 -109481 513
210 5 3.88385e+06 9977
225 1 2.76051e+06 13895
225 2 108240 654
225 3 -118317 423
225 4 2.34709e+06 7144
225 5 838351 2522
240 1 2.00074e+06 6049
240 2 3.86076e+06 11011
240 3 460216 2009
240 4 4.56228e+06 10797
240 5 0 0
255 1 0 0
255 2 3.55774e+06 9094
255 3 7.84057e+06 18251
255 4 690866 1874
255 5 0 0
270 1 0 0
270 2 0 0
270 3 0 0
270 4 0 0
270 5 0 0
285 1 217357 3427
285 2 0 0
285 3 0 0
285 4 0 0
285 5 284018 109
300 1 5.18222e+06 11767
300 2 -74268.7 34
300 3 0 0
300 4 0 0
300 5 2.49838e+06 4029
315 1 2.10767e+06 3819
315 2 1.78042e+07 17415
315 3 8.73789e+06 9947
315 4 6.66561e+06 7812
315 5 1.03625e+07 12848
330 1 -44475.6 727
330 2 720246 1063
330 3 5.22485e+06 8527
330 4 6.20687e+06 10391
330 5 262368 910
345 1 -2185.18 602
345 2 54190.6 923
345 3 -559883 986
345 4 -202600 886
345 5 183744 535
