x y z sxx syy szz sxy sxz syz pp
1298.69 883.065 1770.5 -740989 -745637 -787543 -55763.9 -266869 46309.7 0
1297.88 886.114 1777.86 -741294 -742027 -622525 -51858.3 -256926 86832.7 0
1299.22 887.416 1769.62 -730703 -748134 -772795 -60384.5 -261653 59897.6 0
1299.83 883.311 1777.8 -703138 -728787 -641646 -58782.3 -264934 87109.3 0
1298.36 884.76 1777.24 -754091 -735824 -659432 -56270.1 -254108 72267.6 0
1298.03 883.911 1774.08 -734269 -744468 -715497 -52567.3 -271746 68135 0
1300.24 885.027 1770.18 -740712 -751465 -784193 -55142.2 -256029 55322.2 0
1298.6 883.944 1778.29 -758136 -750477 -648240 -48280.7 -247580 82741.7 0
1300.12 884.774 1773.51 -722756 -732190 -713410 -53304.6 -266163 65271.4 0
1300.78 883.57 1772.87 -722795 -730281 -726007 -54956.4 -266723 62916 0
1297.84 882.698 1778.52 -747606 -742846 -630635 -43295.8 -248937 76031.1 0
1300.15 887.811 1769.59 -727300 -749619 -783927 -58837.8 -250819 65277.3 0
1299.93 883.865 1766.91 -1.0577e+06 -1.00286e+06 -829489 -15084.8 -252562 97160.4 0
1299.29 885.475 1765.25 -1.04452e+06 -995143 -874312 -19128.9 -259486 73889.1 0
1299.7 884.042 1768.06 -1.056e+06 -995125 -808672 -10689 -258815 102649 0
1300.21 887.259 1764.6 -1.04214e+06 -1.00464e+06 -881681 -24162 -247225 80574.5 0
1299.93 886.145 1765.68 -1.04211e+06 -1.00557e+06 -851445 -22966.8 -248637 93905.5 0
1298.71 883.805 1767.82 -1.05262e+06 -1.00326e+06 -829066 -14862.5 -280447 94804.2 0
1300.48 885.757 1763.94 -1.02446e+06 -967367 -868964 -23068.5 -248109 101517 0
1298.61 882.721 1761.74 -974124 -940827 -883688 -46549.9 -307416 79672 0
1299.66 885.311 1764.14 -1.02121e+06 -974952 -842881 -24243.8 -264554 83522.8 0
1299.86 884.564 1764.39 -1.01835e+06 -966339 -837512 -24170.3 -263854 103082 0
1298.25 887.793 1761.27 -912356 -915267 -824119 -57049.6 -308240 99413.7 0
1300.63 882.893 1762.24 -989645 -958942 -903994 -42580.5 -255359 72409.9 0
1298.94 883.628 1766.67 -1.05988e+06 -1.00963e+06 -845366 -17259.9 -274879 89468.7 0
1299.5 884.728 1765.5 -1.04122e+06 -984248 -871464 -18316.5 -258108 96308.3 0
1297.64 887.995 1761.57 -949732 -927033 -827732 -55707.1 -322426 110360 0
1298.84 887.527 1761.7 -953442 -935455 -808850 -41847.4 -295503 87710.6 0
1300.56 886.457 1764.87 -1.04738e+06 -1.0051e+06 -882729 -20966.1 -246664 88819 0
1300.73 886.749 1761.05 -918735 -909374 -877227 -42729.9 -237929 101280 0
1300.27 885.627 1761.65 -900621 -911921 -848497 -26302.6 -245313 98576.5 0
1300.25 883.705 1768.74 -1.08057e+06 -997524 -812828 -4325.81 -268163 101670 0
1298.7 887.804 1764.7 -1.03725e+06 -979654 -848510 -27368.6 -280841 101929 0
1299.08 882.605 1762.17 -973544 -940970 -839402 -37670.1 -294872 74961.6 0
1300.16 886.206 1763.18 -1.00271e+06 -954458 -820821 -25946 -248324 90105 0
1300.58 883.448 1762.53 -991226 -963834 -880311 -29126.6 -250904 83468.3 0
1298.22 886.748 1765.97 -1.06177e+06 -1.01876e+06 -839765 -19501 -296432 102183 0
1299.21 886.924 1766.04 -1.05405e+06 -1.00949e+06 -828125 -12755.7 -263383 109767 0
1298.71 886.994 1761.29 -949226 -915989 -815859 -42323.7 -296026 84403.9 0
1298.11 887.259 1760.86 -904735 -892014 -828001 -61438 -311859 102224 0
1299.45 887.619 1765.28 -1.04071e+06 -983076 -823563 -19337.6 -265414 95774.1 0
1299.55 883.99 1761.93 -954839 -936716 -844955 -46320.1 -266586 78839.9 0
1300.79 884.06 1764 -1.02026e+06 -991386 -875725 -28736 -237186 69621.9 0
1299.7 885.49 1761.95 -967217 -938737 -838091 -42133.8 -291235 98029.6 0
1300.3 885.829 1767.64 -1.05832e+06 -1.00858e+06 -841096 -14430 -263413 98811.8 0
1297.92 887.468 1765.21 -1.04118e+06 -991228 -829267 -31240 -293055 92714.5 0
1300.43 883.426 1763.48 -985442 -952966 -852732 -20729.1 -232102 76674.5 0
1300.05 886 1761.16 -871248 -892962 -867510 -44452.5 -245273 94314.2 0
1298.31 883.048 1768.55 -1.06945e+06 -1.01283e+06 -809347 -21266.5 -274023 94534.4 0
1299.83 883.216 1769.36 -1.09612e+06 -1.02747e+06 -816233 -8715.06 -260347 112512 0
1299.54 883.104 1762.09 -935710 -889661 -816834 -22415.4 -264976 105858 0
1297.53 884.633 1766.47 -1.04934e+06 -985422 -803950 -22414.1 -298038 97994.1 0
1297.09 884.556 1767.68 -1.0661e+06 -996019 -822558 -15297.8 -296772 107737 0
1300.04 887.066 1763.52 -1.0135e+06 -983644 -834492 -26930.1 -249347 93940.6 0
1298.77 887.257 1762.61 -992221 -967605 -888582 -39344.8 -286166 87697.4 0
1298.88 882.797 1769.41 -1.09899e+06 -1.03053e+06 -827481 -11753.7 -285599 99514.6 0
1299.86 884.348 1761.52 -949107 -946269 -857269 -32880.6 -279946 80969.7 0
1298.93 885.592 1768.84 -1.10789e+06 -1.0427e+06 -803717 -6775.92 -274116 120124 0
1297.34 885.552 1766.31 -1.0529e+06 -996007 -814153 -17087.9 -299824 96519.5 0
1298.16 885.942 1765.5 -1.0482e+06 -980363 -837398 -15897.3 -302123 96812.7 0
1299.31 883.479 1761.62 -902791 -864042 -785671 -27620.9 -257469 100815 0
1298.07 882.044 1768.23 -1.05419e+06 -984707 -808160 -14776.3 -275119 89116.7 0
1299.48 885.863 1761.47 -919880 -904611 -818206 -58287.8 -277797 89986.6 0
1300.59 885.098 1761.41 -895489 -908990 -862202 -32193.3 -237845 89845.2 0
1297.05 882.202 1763.27 -972654 -942164 -855431 -34800.9 -320863 67871.9 0
1299.78 883.615 1762.4 -1.00642e+06 -967029 -893288 -36952.6 -280410 88336.2 0
1297.94 885.12 1761.19 -896010 -892556 -824026 -69809.1 -327463 91473.6 0
1299.43 884.782 1761.72 -954200 -928884 -838365 -33551.4 -292018 97880.9 0
1298.19 887.634 1763.12 -1.00803e+06 -968819 -841281 -26015.3 -298039 92775.2 0
1299.21 884.2 1763.76 -1.01641e+06 -962120 -859712 -21762.5 -269817 94413.8 0
1300.68 887.491 1762.96 -1.00399e+06 -962373 -875794 -16893.9 -234224 108533 0
1298.98 885.419 1763.38 -1.00452e+06 -968222 -846448 -28662.9 -263017 82312.8 0
1298.92 884.656 1763.01 -994796 -944841 -843451 -29891.7 -263871 84527.8 0
1297.25 883.857 1765.12 -1.0224e+06 -967422 -843383 -26925.1 -312236 92081.1 0
1297.67 882.817 1763.12 -983304 -950674 -879016 -36266.9 -309724 74948.4 0
1300.57 885.532 1766.58 -1.0594e+06 -1.01497e+06 -857218 -14274 -252244 99288.7 0
1297.79 882.166 1765.46 -1.02902e+06 -976647 -842040 -24354.1 -278028 73408.4 0
1298.56 886.433 1761.69 -960440 -930298 -825381 -46654.9 -292088 104085 0
1300.53 882.742 1769.49 -1.07927e+06 -1.01646e+06 -805126 -12451.7 -263613 114532 0
1296.92 882.27 1765.42 -1.01179e+06 -964912 -833914 -29147.3 -319972 79898.2 0
1297.36 882.389 1762.11 -947451 -923261 -860647 -34723.2 -332671 74841.6 0
1297.77 882.803 1762.39 -963420 -934105 -846212 -42532.9 -326862 83956.1 0
1298.42 884.29 1761.72 -941381 -917449 -845727 -49946.9 -318565 89661.9 0
1297.37 883.771 1763.03 -981134 -948251 -879297 -34121.5 -310343 79408.3 0
1299.9 887.604 1761.15 -904288 -908558 -866428 -52139.7 -243993 105979 0
1299.12 884.424 1762.13 -983541 -935374 -849094 -39375.8 -277122 97045.4 0
1299.45 885.895 1762.73 -998682 -965522 -858612 -30235.8 -266829 79689.3 0
1297.66 883.503 1761.88 -950656 -915805 -839111 -47026.5 -327089 78400 0
1297.51 885.114 1761.64 -956131 -921723 -853077 -60989.5 -306667 83933.9 0
1300.6 882.985 1766.52 -1.04867e+06 -1.00313e+06 -850565 -23609.4 -242203 85339 0
1297.88 884.376 1768.26 -1.0853e+06 -1.00859e+06 -816222 -4348.32 -296134 106868 0
1299.77 886.865 1767.95 -1.09012e+06 -1.03789e+06 -842434 2089.13 -282486 116349 0
1300.02 882.857 1761.82 -895383 -895764 -841775 -36010.8 -244699 74387.5 0
1297.19 885.369 1768.3 -1.08543e+06 -1.04152e+06 -832341 -11853.6 -296710 110728 0
1296.87 887.853 1760.69 -859755 -893440 -853657 -72832.2 -340922 83410.3 0
1299.03 886.267 1761.37 -936713 -908514 -825436 -55723.4 -293241 104041 0
1298.03 884.775 1763.01 -981126 -945500 -853220 -38860.2 -311794 77046.8 0
1297.07 884.371 1764.1 -1.01398e+06 -961982 -832392 -35070.6 -310717 82458 0
1300.43 887.515 1768.44 -1.09838e+06 -1.05212e+06 -819855 -8432.91 -260196 121832 0
1297.28 885.941 1767.44 -1.06625e+06 -1.00879e+06 -817823 -15129.1 -299463 88949.2 0
1297.78 884.165 1763.56 -994832 -961258 -860960 -41213.5 -306301 82946.3 0
1299.32 887.347 1767.25 -1.07103e+06 -1.02017e+06 -835082 -12148.1 -274388 104639 0
1300.47 887.76 1761.5 -996038 -964146 -924672 -37924.6 -245347 110325 0
1299.18 886.828 1760.97 -913573 -886229 -802376 -52676 -302060 87052.8 0
1298.38 884.723 1761.29 -939583 -916903 -837834 -53802.2 -319129 84614.1 0
1300.04 882.44 1764.72 -1.01327e+06 -972415 -847287 -24492.9 -257504 75915.8 0
1298.44 882.892 1765.32 -1.03045e+06 -970382 -848041 -25296.3 -271167 83436.3 0
1298.94 883.147 1763.76 -1.01291e+06 -971083 -851505 -34389.9 -283848 62930.2 0
1298.09 885.538 1763.38 -969912 -942054 -830759 -40086.3 -313374 102684 0
1300.74 882.71 1764.2 -1.00129e+06 -955135 -878495 -14932.6 -236059 96078.2 0
1297.49 887.136 1764.54 -1.0267e+06 -984169 -856623 -24450 -299274 88736.7 0
1297.6 886.283 1764.68 -1.02723e+06 -979761 -856048 -26012.5 -298580 90687.5 0
1298.98 882.72 1766.19 -1.04713e+06 -977422 -848231 -17496.9 -276033 87124.2 0
1297.88 884.611 1762.1 -978999 -940292 -853377 -41872.2 -315606 85602.8 0
1297.17 887.537 1761.13 -920132 -924434 -856938 -49706.1 -354227 87450.9 0
1300.45 882.016 1762.01 -922139 -930339 -853761 -23363.1 -238198 75865.9 0
1297.37 884.083 1762.22 -964366 -936641 -844426 -37371.8 -322764 79240.6 0
