sector_deg yband sum_fn_N n_contacts
0 1 -18981.6 584
0 2 -122735 922
0 3 292226 978
0 4 264060 863
0 5 -268114 527
15 1 -134092 544
15 2 -295565 889
15 3 -379622 992
15 4 -581200 908
15 5 191192 591
30 1 -14554.8 512
30 2 89748.3 835
30 3 -84558.2 952
30 4 -232962 906
30 5 -99509.6 682
45 1 56895.7 492
45 2 442812 779
45 3 622170 956
45 4 224314 890
45 5 -152296 733
60 1 157042 473
60 2 531704 697
60 3 1.31326e+06 843
60 4 560865 862
60 5 -78825.1 788
75 1 251713 443
75 2 964961 577
75 3 898964 739
75 4 1.23433e+06 783
75 5 576492 797
90 1 604782 458
90 2 661813 484
90 3 1.19075e+06 611
90 4 1.34115e+06 714
90 5 1.04204e+06 781
105 1 100829 462
105 2 573972 383
105 3 679527 450
105 4 1.16765e+06 629
105 5 1.55135e+06 775
120 1 438583 452
120 2 415028 341
120 3 505649 327
120 4 636325 526
120 5 1.76605e+06 747
135 1 489325 494
135 2 260320 280
135 3 211629 219
135 4 1.23812e+06 417
135 5 1.59175e+06 754
150 1 474036 537
150 2 232440 242
150 3 27101.7 193
150 4 238412 374
150 5 1.08712e+06 717
165 1 502751 561
165 2 80391.2 240
165 3 68069.2 159
165 4 -304046 298
165 5 197532 655
180 1 166620 604
180 2 55770.3 252
180 3 263330 164
180 4 -41357.5 292
180 5 -26847.4 652
195 1 377179 648
195 2 430405 282
195 3 205359 172
195 4 678752 329
195 5 1.9177e+06 7513
210 1 112520 1012
210 2 44649.8 401
210 3 -43003.4 235
210 4 -287455 512
210 5 3.4491e+06 9974
225 1 3.28855e+06 13892
225 2 100486 654
225 3 -121772 423
225 4 1.93836e+06 7137
225 5 609001 2525
240 1 2.44713e+06 6052
240 2 4.51409e+06 10995
240 3 447480 2005
240 4 4.61871e+06 10799
240 5 0 0
255 1 0 0
255 2 3.88865e+06 9110
255 3 7.74112e+06 18255
255 4 519052 1880
255 5 0 0
270 1 0 0
270 2 0 0
270 3 0 0
270 4 0 0
270 5 0 0
285 1 1.04128e+06 3427
285 2 0 0
285 3 0 0
285 4 0 0
285 5 581158 109
300 1 9.55054e+06 11767
300 2 7928.62 34
300 3 0 0
300 4 0 0
300 5 4.09713e+06 4027
315 1 3.28328e+06 3819
315 2 2.62704e+07 17416
315 3 1.81789e+07 9952
315 4 1.40733e+07 7811
315 5 2.12606e+07 12850
330 1 14410.6 728
330 2 828180 1063
330 3 9.03441e+06 8522
330 4 1.04516e+07 10393
330 5 699083 910
345 1 -84464.9 601
345 2 -43147 923
345 3 -269057 987
345 4 9413.81 885
345 5 203177 536
