sector_deg yband sum_fn_N n_contacts
0 1 -19788.1 584
0 2 -124122 922
0 3 301475 978
0 4 264215 863
0 5 -272491 527
15 1 -134740 544
15 2 -296718 889
15 3 -382043 992
15 4 -585906 908
15 5 183866 591
30 1 -15039.3 512
30 2 87763.6 835
30 3 -78714.9 952
30 4 -238469 906
30 5 -113028 682
45 1 55783.1 492
45 2 440869 779
45 3 624096 956
45 4 218892 890
45 5 -157012 733
60 1 156736 473
60 2 530368 697
60 3 1.30937e+06 843
60 4 556897 862
60 5 -94525.1 788
75 1 251660 443
75 2 963813 577
75 3 893731 739
75 4 1.23091e+06 783
75 5 560556 797
90 1 604593 458
90 2 660968 484
90 3 1.18689e+06 611
90 4 1.33687e+06 714
90 5 1.02905e+06 781
105 1 100978 462
105 2 573426 383
105 3 677090 450
105 4 1.16279e+06 629
105 5 1.54407e+06 775
120 1 438666 452
120 2 414582 341
120 3 504289 327
120 4 637854 526
120 5 1.76367e+06 747
135 1 489487 494
135 2 260295 280
135 3 210937 219
135 4 1.22829e+06 417
135 5 1.59199e+06 754
150 1 474263 537
150 2 232401 242
150 3 26170.2 193
150 4 238117 374
150 5 1.08796e+06 717
165 1 502942 561
165 2 80206.1 240
165 3 67695.6 159
165 4 -304936 298
165 5 198126 655
180 1 166849 604
180 2 55766.2 252
180 3 263217 164
180 4 -42275.5 292
180 5 -28354.2 652
195 1 377179 648
195 2 430314 282
195 3 206977 172
195 4 678507 329
195 5 1.90332e+06 7513
210 1 111882 1012
210 2 44602.2 401
210 3 -45605.8 235
210 4 -287581 512
210 5 3.47846e+06 9974
225 1 3.25102e+06 13892
225 2 100374 654
225 3 -122667 423
225 4 1.9373e+06 7137
225 5 611674 2525
240 1 2.42623e+06 6052
240 2 4.48258e+06 10995
240 3 444977 2005
240 4 4.59979e+06 10799
240 5 0 0
255 1 0 0
255 2 3.86678e+06 9110
255 3 7.71343e+06 18255
255 4 516587 1880
255 5 0 0
270 1 0 0
270 2 0 0
270 3 0 0
270 4 0 0
270 5 0 0
285 1 1.04041e+06 3427
285 2 0 0
285 3 0 0
285 4 0 0
285 5 579564 109
300 1 9.52316e+06 11767
300 2 7817.52 34
300 3 0 0
300 4 0 0
300 5 4.05559e+06 4027
315 1 3.27672e+06 3819
315 2 2.6228e+07 17416
315 3 1.81625e+07 9952
315 4 1.40713e+07 7811
315 5 2.12512e+07 12850
330 1 15406.4 728
330 2 828317 1063
330 3 9.01677e+06 8522
330 4 1.04472e+07 10393
330 5 700537 910
345 1 -85065.3 601
345 2 -43257.4 923
345 3 -265462 987
345 4 9727.39 885
345 5 203124 536
