x y z sxx syy szz sxy sxz syz pp
1296.63 886.035 1769.89 -909226 -869847 -882985 -130846 -321750 10835.6 0
1295.45 882.462 1778.56 -902034 -861148 -696293 -125647 -284993 38855.4 0
1298.6 883.944 1778.29 -943543 -889435 -727769 -127531 -278622 42158 0
1297.84 882.698 1778.52 -930549 -882835 -710672 -120827 -280045 36353.6 0
1298.71 883.805 1767.82 -1.29538e+06 -1.14137e+06 -919403 -133729 -326806 52631 0
1295.06 882.052 1762.6 -1.2597e+06 -1.09829e+06 -1.04273e+06 -147411 -324268 26932.7 0
1296.55 887.315 1761.55 -1.24853e+06 -1.10331e+06 -1.0474e+06 -153473 -330862 26910.7 0
1298.61 882.721 1761.74 -1.24756e+06 -1.07895e+06 -1.02142e+06 -162834 -316914 33979.1 0
1296.3 882.094 1762.17 -1.20763e+06 -1.07097e+06 -1.03075e+06 -148999 -330076 28930.8 0
1295.72 882.442 1762.52 -1.24174e+06 -1.08877e+06 -1.0418e+06 -146598 -325745 28767.9 0
1298.25 887.793 1761.27 -1.18644e+06 -1.06674e+06 -988784 -165150 -308976 31199.6 0
1298.94 883.628 1766.67 -1.31451e+06 -1.15491e+06 -941915 -134892 -315391 45753.8 0
1297.64 887.995 1761.57 -1.2507e+06 -1.09828e+06 -1.01288e+06 -156480 -312012 35720.4 0
1298.84 887.527 1761.7 -1.2151e+06 -1.08026e+06 -979353 -156081 -299141 21819.5 0
1296.35 887.679 1760.7 -1.19457e+06 -1.05688e+06 -1.03332e+06 -167857 -325690 13446.6 0
1295.91 885.202 1761.63 -1.25167e+06 -1.07457e+06 -1.05607e+06 -157691 -338133 28237.2 0
1298.7 887.804 1764.7 -1.26681e+06 -1.10993e+06 -949908 -143114 -334482 46989.9 0
1296.34 886.676 1761.3 -1.23841e+06 -1.08507e+06 -1.03824e+06 -160311 -331548 17400.8 0
1295.61 887.818 1761.37 -1.25775e+06 -1.10386e+06 -1.07147e+06 -153943 -336394 38365.3 0
1295.84 883.231 1767.32 -1.3159e+06 -1.1612e+06 -969613 -134283 -341428 48769.4 0
1298.22 886.748 1765.97 -1.3203e+06 -1.17184e+06 -956294 -137541 -334838 51282.3 0
1295.44 885.133 1761.16 -1.21395e+06 -1.06756e+06 -1.08014e+06 -158414 -345921 16749.7 0
1295.11 885.561 1761.06 -1.21249e+06 -1.07094e+06 -1.07939e+06 -159459 -350313 21021.4 0
1295.65 885.813 1761.91 -1.2697e+06 -1.11137e+06 -1.0605e+06 -152787 -337080 27753.8 0
1298.71 886.994 1761.29 -1.20641e+06 -1.05295e+06 -986057 -150645 -296770 15948.9 0
1298.11 887.259 1760.86 -1.17476e+06 -1.03802e+06 -995063 -162824 -309253 30014 0
1295.17 886.061 1761.38 -1.22138e+06 -1.09261e+06 -1.07248e+06 -163414 -350011 24978.4 0
1295.74 883.144 1765.91 -1.28793e+06 -1.10905e+06 -962632 -141718 -338602 42883.5 0
1295.65 884.115 1761.71 -1.24176e+06 -1.08892e+06 -1.05353e+06 -149408 -341130 20694.7 0
1296.4 883.673 1767.92 -1.32735e+06 -1.15653e+06 -927917 -136688 -344119 52484.7 0
1295.4 885.314 1768.82 -1.36333e+06 -1.20401e+06 -925885 -127907 -344741 69395.2 0
1297.92 887.468 1765.21 -1.30313e+06 -1.14238e+06 -956928 -150603 -334499 45326 0
1295.89 886.352 1763.25 -1.25739e+06 -1.1063e+06 -1.0257e+06 -157627 -344339 35771.4 0
1295.05 882.08 1763.51 -1.23493e+06 -1.07865e+06 -1.01239e+06 -146611 -351141 27213.2 0
1296.34 886.265 1761.84 -1.24986e+06 -1.10112e+06 -1.05389e+06 -152101 -333881 32206.4 0
1298.31 883.048 1768.55 -1.32659e+06 -1.16531e+06 -915349 -143462 -316561 56638.8 0
1296.06 884.55 1762.1 -1.26778e+06 -1.10925e+06 -1.05792e+06 -156305 -334456 29713.9 0
1297.53 884.633 1766.47 -1.3058e+06 -1.13704e+06 -930020 -142720 -330846 49543.2 0
1297.09 884.556 1767.68 -1.31073e+06 -1.13772e+06 -919721 -133658 -334653 63886.7 0
1295.76 883.849 1766.49 -1.31422e+06 -1.1611e+06 -979541 -142345 -339875 36687.4 0
1298.77 887.257 1762.61 -1.23031e+06 -1.09321e+06 -1.01006e+06 -149911 -324033 29901 0
1298.88 882.797 1769.41 -1.36193e+06 -1.18416e+06 -919408 -130836 -325089 59565.5 0
1296.85 885.911 1761.52 -1.23147e+06 -1.07544e+06 -1.03488e+06 -158105 -341808 41587.3 0
1298.93 885.592 1768.84 -1.37061e+06 -1.19934e+06 -908461 -128009 -316385 74770.2 0
1296.5 885.311 1761.25 -1.22938e+06 -1.05645e+06 -1.03614e+06 -161730 -346388 28657.7 0
1297.34 885.552 1766.31 -1.31404e+06 -1.15149e+06 -945399 -134323 -333662 51747.9 0
1295.42 885.934 1762.86 -1.23898e+06 -1.08703e+06 -1.02934e+06 -153285 -357320 24393.4 0
1298.16 885.942 1765.5 -1.29532e+06 -1.11548e+06 -945953 -131629 -342117 43501.3 0
1298.07 882.044 1768.23 -1.30316e+06 -1.12589e+06 -906802 -136078 -317873 50516.7 0
1295.03 887.534 1761.03 -1.25854e+06 -1.1074e+06 -1.08809e+06 -164396 -362628 31434.4 0
1295.51 887.568 1767.05 -1.30819e+06 -1.16573e+06 -943787 -131322 -361527 63124.7 0
1295.71 882.47 1763.42 -1.24866e+06 -1.08144e+06 -1.01934e+06 -150417 -349159 29025.5 0
1295.6 885.284 1763.54 -1.2529e+06 -1.12417e+06 -1.02817e+06 -142486 -356739 34020.7 0
1297.05 882.202 1763.27 -1.25023e+06 -1.08888e+06 -1.00682e+06 -152256 -335340 28267.9 0
1297.94 885.12 1761.19 -1.20559e+06 -1.0626e+06 -1.01518e+06 -171271 -307482 31024.1 0
1298.19 887.634 1763.12 -1.23986e+06 -1.10239e+06 -979433 -134998 -330501 27596.1 0
1298.98 885.419 1763.38 -1.24373e+06 -1.11138e+06 -989894 -144544 -300493 31087.4 0
1298.92 884.656 1763.01 -1.22863e+06 -1.0738e+06 -979409 -148021 -302007 34749.1 0
1295.36 886.572 1760.91 -1.2243e+06 -1.08723e+06 -1.06862e+06 -175137 -350154 12389.9 0
1297.25 883.857 1765.12 -1.27157e+06 -1.10596e+06 -963279 -136597 -339934 46104.7 0
1297.67 882.817 1763.12 -1.23792e+06 -1.07936e+06 -1.00665e+06 -150304 -333354 29771.7 0
1297.79 882.166 1765.46 -1.27844e+06 -1.11413e+06 -964084 -145863 -312587 33892.6 0
1298.56 886.433 1761.69 -1.22303e+06 -1.07859e+06 -999825 -154946 -293032 33559.7 0
1295.98 884.51 1763.07 -1.2358e+06 -1.08478e+06 -1.03084e+06 -152706 -359637 30737.4 0
1296.59 883.187 1765.21 -1.28715e+06 -1.11339e+06 -966902 -139899 -342573 40410.5 0
1296.92 882.27 1765.42 -1.27837e+06 -1.11261e+06 -963460 -146403 -340573 38236.9 0
1297.36 882.389 1762.11 -1.22886e+06 -1.06857e+06 -1.01701e+06 -144754 -322296 23775 0
1297.77 882.803 1762.39 -1.238e+06 -1.08196e+06 -1.00864e+06 -148410 -315026 30209.7 0
1298.42 884.29 1761.72 -1.21695e+06 -1.06095e+06 -990907 -161434 -318761 39305.6 0
1297.37 883.771 1763.03 -1.23702e+06 -1.0822e+06 -1.00869e+06 -147464 -333723 32554.4 0
1295.4 886.579 1767.21 -1.3081e+06 -1.15108e+06 -932842 -134624 -361640 61842.6 0
1297.66 883.503 1761.88 -1.22689e+06 -1.0601e+06 -1.006e+06 -153273 -315495 26779.4 0
1297.51 885.114 1761.64 -1.21384e+06 -1.06875e+06 -1.01421e+06 -165213 -304852 27291.3 0
1295.19 883.102 1768.1 -1.29872e+06 -1.13989e+06 -937711 -137552 -344225 59116.8 0
1295.75 883.544 1768.7 -1.34875e+06 -1.1672e+06 -928631 -148741 -336293 56832.1 0
1296.76 884.368 1765.89 -1.28104e+06 -1.12944e+06 -964797 -135759 -340371 38664 0
1296.43 882.397 1763.77 -1.25876e+06 -1.08757e+06 -1.00702e+06 -151670 -323519 27146.9 0
1297.88 884.376 1768.26 -1.33998e+06 -1.15206e+06 -915941 -122404 -334839 60579.7 0
1296.07 885.701 1763.94 -1.2722e+06 -1.12498e+06 -1.00769e+06 -141743 -346308 43766.6 0
1295.27 887.444 1765.24 -1.29537e+06 -1.13458e+06 -987445 -135182 -356385 39830.7 0
1297.19 885.369 1768.3 -1.33844e+06 -1.19906e+06 -936633 -132717 -335685 69895.1 0
1295.28 883.804 1762.21 -1.25424e+06 -1.10753e+06 -1.08035e+06 -147332 -328185 33442 0
1296.87 887.853 1760.69 -1.18655e+06 -1.05116e+06 -1.02257e+06 -171481 -328552 13960.4 0
1296.67 883.978 1763.57 -1.25129e+06 -1.08895e+06 -1.00408e+06 -140441 -331150 29201 0
1295.45 884.019 1763.13 -1.25362e+06 -1.09576e+06 -1.03782e+06 -154953 -352680 35155.4 0
1298.03 884.775 1763.01 -1.24831e+06 -1.08085e+06 -989428 -153055 -333107 30092.3 0
1297.07 884.371 1764.1 -1.27521e+06 -1.11198e+06 -992183 -148792 -325943 32389 0
1295.25 884.528 1761.27 -1.22412e+06 -1.07563e+06 -1.08404e+06 -164698 -344590 17800.9 0
1297.28 885.941 1767.44 -1.31455e+06 -1.14885e+06 -924026 -136625 -339576 50473.8 0
1297.78 884.165 1763.56 -1.26016e+06 -1.10485e+06 -998286 -155709 -329984 35737.2 0
1295.81 882.526 1766.74 -1.30368e+06 -1.14635e+06 -970660 -131430 -339547 52992 0
1296.84 885.726 1764.86 -1.28309e+06 -1.13186e+06 -989212 -145934 -342914 34003.8 0
1296.58 885.287 1765.73 -1.29468e+06 -1.1516e+06 -990961 -134565 -345463 53480.1 0
1298.38 884.723 1761.29 -1.23652e+06 -1.06854e+06 -1.0271e+06 -167335 -311052 34755.1 0
1298.44 882.892 1765.32 -1.26304e+06 -1.10061e+06 -961477 -141944 -310451 38624 0
1298.94 883.147 1763.76 -1.26688e+06 -1.09989e+06 -978829 -155123 -310650 29859.3 0
1296.7 887.702 1764.54 -1.26568e+06 -1.116e+06 -983132 -139079 -357604 49412.8 0
1298.09 885.538 1763.38 -1.25342e+06 -1.10626e+06 -986778 -143673 -332230 43830.3 0
1297.49 887.136 1764.54 -1.26521e+06 -1.12005e+06 -983319 -137870 -341099 39423.3 0
1295.25 886.489 1766.05 -1.31103e+06 -1.16992e+06 -974919 -129696 -349173 51496.8 0
1297.6 886.283 1764.68 -1.26519e+06 -1.1153e+06 -981178 -143126 -340712 36705.7 0
1298.98 882.72 1766.19 -1.29237e+06 -1.10841e+06 -939613 -130536 -315081 42090.7 0
