sector_deg yband sum_fn_N n_contacts
0 1 51036.9 584
0 2 84771.4 922
0 3 338235 978
0 4 272854 864
0 5 -307941 528
15 1 19419.3 543
15 2 -19725.9 889
15 3 -18416.7 992
15 4 -31092.1 908
15 5 283982 591
30 1 34730 513
30 2 228705 834
30 3 453067 951
30 4 64317.5 906
30 5 -39420 682
45 1 51584.9 491
45 2 137201 780
45 3 189049 956
45 4 110585 890
45 5 -87809.6 733
60 1 67308.8 474
60 2 191660 697
60 3 247482 844
60 4 -99424.3 862
60 5 -97624.8 788
75 1 75442.5 443
75 2 169023 577
75 3 68343.2 739
75 4 220180 783
75 5 -12576.5 797
90 1 97415.7 458
90 2 130782 484
90 3 193143 610
90 4 192278 714
90 5 125329 781
105 1 97773.8 462
105 2 96130.6 383
105 3 129346 451
105 4 161079 629
105 5 328613 775
120 1 110551 452
120 2 73972.7 341
120 3 106255 325
120 4 7164.29 522
120 5 435735 747
135 1 115357 494
135 2 63484.6 281
135 3 4013.17 220
135 4 263454 420
135 5 453987 754
150 1 116999 537
150 2 42706.5 242
150 3 -121703 193
150 4 10387.9 375
150 5 384937 717
165 1 113130 561
165 2 31745.1 240
165 3 -17081.2 159
165 4 -131818 298
165 5 28148.9 655
180 1 81513.9 604
180 2 28443.7 252
180 3 223832 164
180 4 223651 292
180 5 -30509.2 652
195 1 4967.5 648
195 2 16963.2 282
195 3 127253 172
195 4 207508 329
195 5 4.78682e+06 7516
210 1 60560 1012
210 2 6059.53 401
210 3 -80470.3 235
210 4 -70042.2 514
210 5 7.99273e+06 9976
225 1 1.82537e+06 13899
225 2 -7013.25 654
225 3 -121319 423
225 4 4.7892e+06 7146
225 5 1.87616e+06 2520
240 1 1.66588e+06 6045
240 2 4.05864e+06 11021
240 3 662280 2011
240 4 7.22687e+06 10796
240 5 0 0
255 1 0 0
255 2 4.23419e+06 9084
255 3 1.11238e+07 18249
255 4 1.34466e+06 1872
255 5 0 0
270 1 0 0
270 2 0 0
270 3 0 0
270 4 0 0
270 5 0 0
285 1 -91729.7 3427
285 2 0 0
285 3 0 0
285 4 0 0
285 5 84527.6 109
300 1 2.41722e+06 11770
300 2 -111039 34
300 3 0 0
300 4 0 0
300 5 4.06649e+06 4029
315 1 1.45968e+06 3816
315 2 1.57165e+07 17415
315 3 7.90355e+06 9943
315 4 7.42174e+06 7808
315 5 1.62524e+07 12846
330 1 140121 726
330 2 660659 1063
330 3 5.40485e+06 8531
330 4 7.83751e+06 10395
330 5 361429 912
345 1 10509.1 603
345 2 48805.6 923
345 3 -290658 986
345 4 -172140 887
345 5 182665 535
