x y z fx fy fz
1297.1 883.918 1749.49 2210.57 -804.567 2458.62
1301.19 889.011 1747.76 1077.54 -980.976 2938.31
1301.02 888.122 1748.87 -1699.51 -2161.38 5552.46
1301.26 887.316 1747.5 -250.838 249.978 -1706.75
1300.43 893.877 1749.47 1499.36 845.267 -2918.68
1300.76 889.003 1749.31 -340.028 -1189.85 322
1301.29 887.347 1745.64 216.185 -1281.44 7645.95
1301.3 886.564 1745.83 304.368 -680.264 -6959.82
1296.57 893.361 1749.75 2914.59 611.178 3686.08
1296.38 901.61 1750.68 -1722.22 -634.922 -569.742
1295.79 901.506 1750.32 1908.6 1645.5 2461.69
1294.1 907.036 1745.69 693.492 685.631 -1067.37
1296.15 890.711 1748.23 -437.724 488.762 -3070.5
1296.92 885.836 1749.4 -3041.46 -29.2752 -2783.46
1297.32 893.849 1750.35 3090.98 -389.033 1455.28
1297.3 899.449 1750.76 -4202.36 -846.966 -248.871
1298.71 893.761 1750.55 3979.73 -987.539 -222.561
1300.8 890.08 1749.19 295.906 2050.79 -1315.71
1300.46 891.095 1749.61 4272.28 953.576 -5000.39
1300.07 897.012 1749.62 968.21 -1260.18 -1506.68
1301.15 890.001 1747.13 41.0851 -1211.87 811.476
1301.2 889.251 1746.14 -166.131 361.807 -3465.37
1301.31 885.4 1746.65 553.479 -755.095 6178.53
1300.72 894.72 1748.61 624.782 -1151.7 -3591.41
1301.28 887.036 1746.85 31.5536 4512.2 -6779.33
1301.32 886.079 1745.75 194.968 2595.54 -4357.33
1301.32 885.878 1745.76 63.54 -660.28 2010.24
1301.27 887.617 1745.82 477.677 -1327.04 13.6407
1301.26 887.987 1745.95 642.021 1387.25 -3857.51
1301.3 886.865 1745.51 188.389 -2417.97 850.528
1301.27 887.703 1745.91 74.6134 -839.336 2575.92
1301.33 885.337 1745.38 251.06 350.701 -2194.64
1301.33 885.486 1745.11 594.419 -2179.35 4087.78
1301.32 886.245 1745.38 673.845 1516.08 -2823.9
1301.31 886.364 1745.39 426.743 1090.13 2424.17
1301.08 885.044 1744.93 -3173.16 582.877 -732.98
1300.99 885.348 1744.94 3896.98 5077.66 -2058.45
1301.23 885.209 1744.94 7039.18 468.746 -242.99
1301.06 885.27 1744.93 6041.91 -2223.57 -1487.44
1301.09 885.829 1744.96 3113 -1381.53 -573.761
1300.98 885.102 1744.93 -13988.4 2727.08 -3588.3
1301.11 884.919 1744.92 -1414.98 -251.795 -115.337
1301.1 885.48 1744.94 -5679.95 205.194 -1075.86
1300.96 884.939 1744.92 -1913.51 1760.73 -2488
1301.09 885.399 1744.94 -1452.39 -494.527 -1673.88
1300.88 885.252 1744.93 9268.11 -3035.37 -2998.63
1301.03 884.891 1744.92 -14862.9 4119.89 -794.921
1301.24 888.783 1745.16 -1288.51 1813.19 -3453.87
1301.11 890.991 1745.83 183.142 -1269.25 -1075.9
1298.72 906.288 1749.65 -73.8212 898.388 -236.4
1300.26 883.158 1749.73 -1034.19 -224.804 2292.63
1296.29 874.468 1744.48 3011.43 1923.83 96.8587
1301.32 883.013 1746.81 102.848 368.641 -3636.28
1301.08 876.437 1746 365.539 -726.249 5518.19
1296.37 883.441 1747.95 593.198 673.666 1348.56
1296.07 871.555 1744.37 57.197 -517.829 2.0598
1297.87 904.328 1750.75 -1060.37 -545.968 410.203
1301.28 880.742 1746.24 -13.658 -389.476 -4567.04
1293.78 906.963 1748.38 51.2296 -1553.61 -175.302
1295.65 896.442 1745.45 -771.252 -1129 2926.41
1294.71 906.402 1750.4 650.477 400.102 1529.84
1297.58 886.094 1749.96 3172.61 -2232.44 2065.11
1293.82 906.939 1746.77 -457.728 784.02 1392.28
1300.41 888.607 1749.72 -1184.95 -81.0424 1294.44
1297.38 903.295 1750.91 2219.16 1959.66 -125.758
1295.88 898.976 1749.93 -2190.46 -2508.69 -2705.16
1295.17 905.31 1750.54 -1325.35 -531.722 -532.294
1294.98 902.93 1749.75 -732.089 1370.98 108.86
1295.49 897.561 1746.35 146.322 -469.892 -46.8982
1299.11 892.461 1750.44 5277.36 1665.76 -1281.52
1299.47 892.297 1750.32 2424.1 520.532 -1152.12
1296.01 892.965 1745.2 -1874.56 1396.05 1353.84
1296.05 892.969 1745.16 4079.89 -4245.4 -1655.99
1297.81 889.308 1750.25 8073.56 -868.29 -8670.56
1296.19 891.303 1748.67 -1270.44 295.29 -2507.46
1297.83 900.82 1750.81 231.014 -338.872 69.009
1294.48 903.841 1745.98 -115.827 654.425 -788.454
1293.59 907.92 1749.07 -701.874 -1244.19 -3160.95
1299.82 888.838 1750.13 7966.6 3020.23 -2559.35
1295.98 898.12 1749.87 -619.189 -756.696 -201.083
1297.21 893.146 1750.24 -3006.25 -1740.02 -1626.12
1296.63 891.427 1749.56 461.36 830.155 846.964
1295.47 897.52 1748.01 -8.03803 -1117.06 -583.633
1294.04 905.877 1747.38 -282.264 1580.43 2528.07
1295.99 892.962 1746.62 -175.232 980.304 624.631
1300.52 885.184 1749.58 2116.07 -1633.29 -2142.13
1296.4 885.201 1748.24 -69.5237 807.356 1341.4
1295.86 895.822 1749.12 -1774.66 -828.561 -3243.55
1299.95 895.658 1749.9 2612.97 2127.86 -3148.11
1298.91 885.809 1750.28 157.549 -996.529 -158.079
1296.66 890.88 1749.53 -1701.54 -124.658 -2002.74
1293.16 909.602 1749.03 -264.958 -216.64 124.48
1296.35 893.982 1749.57 -1514.52 -313.765 -2099.96
1296.34 886.727 1746.7 179.367 254.281 197.032
1294.51 903.529 1747.66 -118.177 705.014 -1039.93
