sector_deg yband sum_fn_N n_contacts
0 1 -12514 584
0 2 -108093 922
0 3 255670 977
0 4 316455 864
0 5 -279180 527
15 1 -120726 544
15 2 -281663 889
15 3 -375769 992
15 4 -603536 908
15 5 168389 591
30 1 4808.46 512
30 2 102673 835
30 3 -38356.7 952
30 4 -224318 906
30 5 -119339 682
45 1 64662.1 492
45 2 459315 779
45 3 620498 956
45 4 239760 890
45 5 -102104 733
60 1 163728 473
60 2 544425 697
60 3 1.31801e+06 843
60 4 576203 862
60 5 -65383.2 788
75 1 254453 443
75 2 970776 577
75 3 899048 739
75 4 1.24572e+06 783
75 5 578973 797
90 1 601289 458
90 2 663761 484
90 3 1.18745e+06 611
90 4 1.34587e+06 714
90 5 1.04118e+06 781
105 1 94192.2 462
105 2 572511 383
105 3 675015 450
105 4 1.16483e+06 629
105 5 1.55141e+06 775
120 1 427106 452
120 2 412074 341
120 3 501868 327
120 4 626261 526
120 5 1.76351e+06 747
135 1 475595 494
135 2 257138 280
135 3 209244 219
135 4 1.23423e+06 417
135 5 1.59489e+06 754
150 1 458979 537
150 2 229396 242
150 3 25435.3 193
150 4 236383 374
150 5 1.09029e+06 717
165 1 490310 561
165 2 77648.1 240
165 3 67780.8 159
165 4 -306473 298
165 5 197871 655
180 1 154120 604
180 2 53110.8 252
180 3 269001 164
180 4 -44014.7 292
180 5 -24823.8 652
195 1 377887 648
195 2 427990 282
195 3 183990 172
195 4 677390 329
195 5 2.02047e+06 7513
210 1 114557 1012
210 2 41983.3 401
210 3 -36505.1 235
210 4 -288986 512
210 5 3.42642e+06 9975
225 1 3.6556e+06 13892
225 2 96736.8 654
225 3 -122414 423
225 4 1.83054e+06 7137
225 5 585541 2524
240 1 2.48804e+06 6052
240 2 4.38153e+06 10996
240 3 422140 2005
240 4 4.41031e+06 10799
240 5 0 0
255 1 0 0
255 2 3.7282e+06 9109
255 3 7.37502e+06 18255
255 4 484696 1880
255 5 0 0
270 1 0 0
270 2 0 0
270 3 0 0
270 4 0 0
270 5 0 0
285 1 985839 3427
285 2 0 0
285 3 0 0
285 4 0 0
285 5 553284 109
300 1 9.19644e+06 11767
300 2 4307.44 34
300 3 0 0
300 4 0 0
300 5 4.08614e+06 4027
315 1 3.19719e+06 3819
315 2 2.57068e+07 17416
315 3 1.7838e+07 9952
315 4 1.38073e+07 7811
315 5 2.07164e+07 12850
330 1 27668.5 728
330 2 826600 1063
330 3 8.81049e+06 8522
330 4 1.0169e+07 10393
330 5 679659 910
345 1 -72469.7 601
345 2 -33100 923
345 3 -263122 987
345 4 13319.6 885
345 5 201827 536
