sector_deg yband sum_fn_N n_contacts
0 1 -22766.9 584
0 2 -129696 922
0 3 315518 978
0 4 280947 863
0 5 -278676 527
15 1 -135708 544
15 2 -301231 889
15 3 -406154 992
15 4 -601721 908
15 5 187949 591
30 1 -15465.3 512
30 2 87113.6 835
30 3 -64927.5 952
30 4 -239478 906
30 5 -124630 682
45 1 56625.4 492
45 2 443170 779
45 3 608851 956
45 4 221869 890
45 5 -131532 733
60 1 158137 473
60 2 535550 697
60 3 1.31126e+06 843
60 4 561177 862
60 5 -89507.2 788
75 1 253017 443
75 2 967960 577
75 3 897959 739
75 4 1.23466e+06 783
75 5 560659 797
90 1 605939 458
90 2 664443 484
90 3 1.19084e+06 611
90 4 1.34004e+06 714
90 5 1.03227e+06 781
105 1 102616 462
105 2 575732 383
105 3 679343 450
105 4 1.16506e+06 629
105 5 1.54849e+06 775
120 1 439667 452
120 2 416519 341
120 3 505632 327
120 4 638874 526
120 5 1.76394e+06 747
135 1 490003 494
135 2 261539 280
135 3 211955 219
135 4 1.22446e+06 417
135 5 1.59347e+06 754
150 1 474272 537
150 2 233367 242
150 3 27585.1 193
150 4 240840 374
150 5 1.08888e+06 717
165 1 501991 561
165 2 81313.5 240
165 3 69118.2 159
165 4 -303708 298
165 5 197986 655
180 1 166801 604
180 2 56637.4 252
180 3 267420 164
180 4 -41639.9 292
180 5 -26695 652
195 1 378317 648
195 2 431445 282
195 3 206764 172
195 4 679232 329
195 5 1.99192e+06 7513
210 1 112983 1012
210 2 46387.4 401
210 3 -48365.7 235
210 4 -286610 512
210 5 3.53455e+06 9975
225 1 3.19268e+06 13892
225 2 104044 654
225 3 -118921 423
225 4 1.92512e+06 7137
225 5 614724 2524
240 1 2.38119e+06 6052
240 2 4.41992e+06 10995
240 3 441708 2005
240 4 4.54387e+06 10799
240 5 0 0
255 1 0 0
255 2 3.80422e+06 9110
255 3 7.57939e+06 18255
255 4 501686 1880
255 5 0 0
270 1 0 0
270 2 0 0
270 3 0 0
270 4 0 0
270 5 0 0
285 1 1.05794e+06 3427
285 2 0 0
285 3 0 0
285 4 0 0
285 5 556652 109
300 1 9.47987e+06 11767
300 2 7312.72 34
300 3 0 0
300 4 0 0
300 5 4.02931e+06 4027
315 1 3.2599e+06 3819
315 2 2.61263e+07 17416
315 3 1.80825e+07 9952
315 4 1.39885e+07 7811
315 5 2.10479e+07 12850
330 1 12476.4 728
330 2 820421 1063
330 3 8.94478e+06 8522
330 4 1.03616e+07 10393
330 5 691806 910
345 1 -89321.4 601
345 2 -48804.3 923
345 3 -291583 987
345 4 10646.7 885
345 5 200473 536
