x y z fx fy fz
1297.1 883.918 1749.49 7519.81 -3328.92 8754.79
1301.19 889.011 1747.76 -2673.27 -7311.02 18135.8
1301.02 888.121 1748.87 -9034.87 -9866.64 22497.3
1301.26 887.316 1747.5 -5.86081 3.76448 6.88756
1300.43 893.877 1749.47 5206.75 3236.35 -10319.5
1300.76 889.002 1749.3 -1991.04 -3703.94 1436.58
1301.29 887.347 1745.64 353.237 -5141.53 36016.4
1301.3 886.563 1745.83 -1536.59 -5924.78 -26077.7
1296.57 893.361 1749.75 9140.8 1154.22 13006.9
1296.38 901.61 1750.68 -1292.39 -1339.88 1061.77
1295.79 901.505 1750.32 4956.02 3669.09 7935.78
1294.1 907.036 1745.69 -9246.26 -2959.5 -428.406
1296.15 890.711 1748.23 -3342.3 -6582.34 -30650.1
1296.92 885.836 1749.4 -13235.7 -1891.46 -11712.9
1297.32 893.849 1750.35 6761.88 -1235.95 4361.88
1297.3 899.448 1750.76 -1032.73 -531.483 1341.89
1298.71 893.761 1750.55 6649.46 -813.231 237.994
1300.8 890.08 1749.19 1688.56 9290.17 -5890.55
1300.46 891.094 1749.61 13437.1 3551.78 -16670.9
1300.07 897.012 1749.62 -4589.11 -2700.89 -10653.3
1301.15 890 1747.13 20.5171 -8908.7 7953.63
1301.2 889.25 1746.14 -2384.57 1960.92 -16781.4
1301.32 885.4 1746.65 10683.6 1485.37 11412.2
1300.72 894.72 1748.61 1321.17 -2983.97 -10705.2
1301.28 887.036 1746.85 12831.2 6724.12 -13424.2
1301.32 886.078 1745.75 70.795 12660.5 -19927.2
1301.32 885.878 1745.76 -132.842 -2170.62 9789.97
1301.27 887.616 1745.82 1849.55 -5525.27 1193.59
1301.26 887.987 1745.94 1121.63 5557.04 -14156.5
1301.3 886.865 1745.51 489.74 -10562.4 5229.53
1301.27 887.703 1745.91 -391.013 -4362.43 15025.3
1301.33 885.337 1745.38 1246.51 2667.08 -10339.8
1301.33 885.486 1745.11 3329.77 -10069.2 21946.6
1301.32 886.245 1745.38 2975.8 7623.38 -12540.6
1301.31 886.364 1745.39 1761.99 4727.55 12511
1301.08 885.043 1744.93 -14568.3 -47.1967 -2728
1301 885.348 1744.94 16170.2 17542.7 -9201.44
1301.23 885.209 1744.94 30262.6 2538.57 268.071
1301.06 885.27 1744.93 27706.6 -13175.5 -6360.76
1301.09 885.828 1744.96 13201.4 -8081.16 -1524.93
1300.98 885.102 1744.93 -66954.5 9273.58 -16391.3
1301.11 884.919 1744.92 -7175.63 -2599.73 -147.93
1301.11 885.48 1744.94 -26338 -685.235 -3554.43
1300.96 884.939 1744.92 -10991.7 3653.23 -12324.8
1301.09 885.398 1744.94 -6423.63 -5338.82 -6444.3
1300.88 885.252 1744.93 41470.7 -20486.1 -14621.1
1301.03 884.891 1744.92 -67619.5 15122.3 -3547.11
1301.24 888.782 1745.16 -4837.4 8472.31 -17867.2
1301.11 890.991 1745.83 267.456 -6549.86 -5609.55
1298.72 906.288 1749.65 -826.174 3249.31 -1088.26
1300.26 883.158 1749.73 3987.98 1616.38 8801.23
1296.29 874.468 1744.48 17327.7 9775.76 1752.77
1301.32 883.013 1746.81 -1519.03 292.936 -16831.7
1301.08 876.437 1746 1114.89 -2031.45 21788.2
1296.37 883.441 1747.95 14.1084 6534.15 10694.7
1296.07 871.555 1744.37 -1136.39 -4904.39 2935.86
1297.87 904.328 1750.75 9561.52 4539.02 -4520.38
1301.28 880.742 1746.24 -8176.04 -1923.38 -15914
1293.78 906.963 1748.38 1295.1 -10927.3 -141.452
1295.65 896.442 1745.45 -2700.03 -9209.04 21649.4
1294.71 906.402 1750.4 3619.44 1245.4 7476.53
1297.58 886.094 1749.96 9356.53 -7118.24 7015.5
1293.82 906.939 1746.77 -1409.35 3997.3 7305.35
1300.41 888.607 1749.72 -3293.06 -253.915 2841.15
1297.38 903.295 1750.91 -385.36 -2538.59 -1088.34
1295.88 898.975 1749.93 -8436.45 -8569.34 -9453.88
1295.16 905.31 1750.54 -3352.51 -934.559 -731.727
1294.98 902.93 1749.75 -4052.39 6001.5 -314.855
1295.49 897.561 1746.35 1611.26 -4577.9 -912.641
1299.11 892.461 1750.44 10029.5 2738.22 -2225.76
1299.47 892.297 1750.32 4872.88 1319.68 -2288.4
1296.01 892.965 1745.2 -8287.42 4523.85 8072.59
1296.05 892.969 1745.16 18365.4 -19301.8 -8968.61
1297.81 889.308 1750.25 15348.7 -1719 -12101.1
1296.19 891.303 1748.67 2394.77 900.147 -18506.1
1297.83 900.82 1750.81 2370.21 74.8273 178.752
1294.49 903.841 1745.98 271.938 1908.09 -3621.08
1293.59 907.92 1749.07 -3962.45 -8246.42 -23530.1
1299.82 888.838 1750.13 18285.4 6328.09 -6415.55
1295.98 898.12 1749.87 -4612.1 -4527.35 -2793.07
