zid x y z sxx syy szz sxy sxz syz
3577 1222.66 776.542 1799.51 -202331 -111890 -245478 -22239.5 -57354.4 4096.32
3657 1163.41 951.438 1743.08 -191469 -202590 -186986 -95709.9 -15374.3 25364
3733 1367.13 764.119 1860.84 -93239.5 -159704 -282196 -14447.5 -26147.1 27382.7
3806 1161.42 856.346 1746.21 -456502 -397734 -686118 -82054.9 -46840.6 80080.3
3906 1208.4 779.034 1786.88 -274396 -188016 -409591 -56609.5 -83315.5 26298.2
3986 1198.49 820.213 1784.11 -195690 -92930.2 -183720 -35176.4 -41989.9 14967.7
4061 1234.03 869.596 1790.61 -52465.6 -41655.9 -96327.4 -37207.7 -37772.4 9103.87
4136 1428.68 774.314 1880.56 -134123 -154086 -325189 -8198.36 -17720.1 12359.9
4261 1178.34 960.475 1730.36 -368035 -351642 -509590 -57703.3 -54719.3 -4703.03
4357 1272.58 871.43 1793.54 -226028 -242697 -391140 -48546 -60399.3 22204.9
4433 1301.92 793.934 1837.45 -60445.2 -85273.4 -172800 -474.556 -25432.2 17888.4
4541 1167.94 814.83 1783.19 -130800 -33656.2 -127273 -53681.7 -8109.96 4209.64
4634 1267.73 796.135 1809.43 -207333 -226996 -466201 -31752.4 -96921.6 45791.9
4716 1173.26 758.123 1789.13 -194289 -105672 -238994 -51086.7 -19419.7 10120.3
4828 1151.83 809.446 1768.78 -347685 -221648 -460904 -47940.8 -26215.4 38611.6
4891 1156.82 768.357 1794.49 -90622.9 12559.1 -72041.9 -46377.4 -3684.27 4070.09
4963 1199.08 855.283 1761.39 -310700 -270297 -494078 -51910.8 -61739.6 57108.1
5027 1164.86 847.26 1743.79 -540234 -467023 -794775 -76407.2 -48158.7 85514.9
5099 1445.8 847.503 1896.37 33858.2 67382 -32952.3 11025 8427.04 9317.44
5203 1280.36 834.645 1818.41 -85019.2 -91157.5 -151253 -6776.85 -32741.4 15202.3
5298 1268.37 862.875 1796.63 -169912 -214888 -356064 -38546.1 -70933.7 32597.8
5393 1158.13 859.372 1751.41 -391598 -327209 -548973 -63578 -35973.9 58946.6
5475 1251.38 796.255 1794.96 -339380 -330169 -607004 -43692.2 -105847 36335.5
5581 1188.66 781.638 1772.39 -382599 -313716 -579483 -52480.5 -57433.8 41866
5664 1295.11 823.459 1830.29 -37046.6 -24947.6 -74714 -16731.6 -21094.8 5846.26
5750 1321.98 783.848 1830.07 -278386 -313236 -559087 -33118.9 -68944 46768.7
5912 1163.04 888.736 1763.07 -109408 -84869.4 -107001 -64145.4 -9636.9 28711.4
5989 1194.29 890.436 1765.07 -179087 -131443 -153690 -50536.4 -33773 25176.9
6096 1244.52 770.511 1814.68 -150020 -57688.2 -198475 -9470.15 -62207.7 8122.86
6194 1209.41 815.422 1792.63 -130616 -23715.9 -98887.7 -32421.5 -51495.6 7947.5
6271 1165.24 920.061 1742.25 -312004 -281305 -380666 -81591.8 -30384.7 45619.2
6352 1214.6 812.645 1774.44 -326803 -306021 -567199 -55019.9 -80926.2 39403.2
6468 1212.39 831.849 1790.02 -121265 -46960.2 -96680.9 -36243.3 -53615.1 5368.97
6584 1162.07 908.471 1755.04 -137613 -122997 -155438 -75064.8 -10260.6 26948.2
6678 1184.46 786.737 1792.65 -121555 -9068.39 -83201.6 -47583.4 -25218.8 6821.88
6780 1197.03 852.542 1778.95 -141023 -58291 -103568 -49999.1 -38754.4 14369.6
6878 1152.23 823.854 1752.74 -487620 -415388 -734562 -74882.1 -46086.3 84409.1
6978 1199.4 869.794 1755.64 -338467 -313615 -521528 -66429.2 -46975.1 59514.7
7063 1235.22 767.941 1807.17 -208592 -108712 -259452 -16559 -65312 2870.25
7206 1272.55 830.78 1819.19 -33133.3 -31387.9 -86041 -13375.7 -29514.8 11430.5
7319 1257.69 837.529 1807.24 -87567.7 -85088.8 -165627 -15597.6 -35201.2 11976.5
7409 1222.59 815.155 1777.36 -327006 -309470 -568452 -48828.9 -80798.3 42945
7550 1262.49 846.821 1790.68 -299276 -313867 -536709 -47381 -89923.1 35978.2
7672 1292.34 778.651 1842.21 11998.5 -4063 -91383.1 13782.4 -23030 18280.4
7846 1348.84 764.437 1844.5 -267143 -298495 -542580 -31208.3 -62274.7 46835.7
7997 1254.51 778.344 1822.89 -59063.2 -3368.5 -107091 4084.2 -55277.9 13713.3
8146 1210.42 792.419 1777.48 -336412 -299961 -561640 -50667.4 -72589.4 38664
8292 1176.88 878.536 1767.54 -130417 -74374.9 -106491 -60348.9 -15616.4 24722.3
8456 1152.37 791.959 1790.25 -65056.6 15604.5 -67390.6 -43299.6 -3474.67 10043.9
