x y z type diam age
1296.42 884.264 1747.38 1 0.0389848 14716.1
1296.45 884.246 1747.35 1 0.0389848 14719.1
1296.45 884.265 1747.24 1 0.0389765 14720.1
1296.47 884.351 1747.41 1 0.0381186 14720.1
1296.45 884.234 1747.38 1 0.0361883 14721.1
1296.42 884.428 1747.37 1 0.0374875 14722.1
1296.44 884.198 1747.38 1 0.038879 14724.1
1296.45 884.451 1747.32 1 0.0374875 14725.1
1296.45 884.434 1747.28 1 0.0388881 14729.1
1296.47 884.242 1747.31 1 0.0364563 14732.1
1296.43 884.376 1747.24 1 0.0388881 14735.1
1296.41 884.369 1747.26 1 0.0388881 14740.1
1296.43 884.376 1747.48 1 0.0384817 14740.1
1296.44 884.379 1747.44 1 0.0384817 14740.1
1296.46 884.229 1747.21 1 0.040435 14741.1
1296.49 884.261 1747.37 1 0.0361883 14741.1
1296.49 884.276 1747.28 1 0.0389765 14741.1
1296.47 884.419 1747.39 1 0.043589 14741.1
1296.43 884.217 1747.32 1 0.0364563 14742.1
1296.45 884.354 1747.51 1 0.0376289 14743.1
1296.48 884.366 1747.45 1 0.0381186 14744.1
1296.43 884.333 1747.49 1 0.0384817 14744.1
1296.41 884.291 1747.24 1 0.0400791 14745.1
1296.5 884.46 1747.38 1 0.0396279 14746.1
1301.13 878.273 1745.35 1 0.0417715 14746.1
1296.44 884.231 1747.26 1 0.0364563 14747.1
1296.47 884.26 1747.43 1 0.0361883 14747.1
1296.5 884.385 1747.47 1 0.0381186 14747.1
1301.13 878.352 1745.33 1 0.038479 14747.1
1296.41 884.424 1747.3 1 0.0374875 14748.1
1296.41 884.18 1747.38 1 0.0389848 14748.1
1301.14 878.316 1745.33 1 0.0390059 14748.1
1296.43 884.295 1747.49 1 0.0382432 14749.1
1296.45 884.231 1747.42 1 0.0361883 14749.1
1296.43 884.191 1747.29 1 0.0364563 14749.1
1296.41 884.269 1747.28 1 0.041032 14750.1
1296.45 884.292 1747.43 1 0.0382432 14750.1
1296.44 884.266 1747.19 1 0.0416518 14751.1
1296.41 884.215 1747.4 1 0.0389848 14751.1
1301.11 878.12 1745.34 1 0.0411303 14751.1
1296.43 884.145 1747.31 1 0.037184 14751.1
1296.43 884.161 1747.27 1 0.037184 14753.1
1296.41 884.252 1747.34 1 0.0389848 14753.1
1301.11 878.312 1745.37 1 0.0402367 14753.1
1296.44 884.158 1747.39 1 0.038879 14754.1
1296.41 884.309 1747.29 1 0.0400791 14755.1
1296.52 884.377 1747.29 1 0.0396846 14759.1
1296.46 884.487 1747.32 1 0.0393215 14759.1
1296.47 884.278 1747.4 1 0.0361883 14759.1
1296.45 884.309 1747.46 1 0.0382432 14761.1
1296.47 884.487 1747.27 1 0.0393215 14761.1
1296.52 884.264 1747.39 1 0.0361883 14763.1
1296.44 884.111 1747.4 1 0.0419249 14763.1
1296.52 884.415 1747.44 1 0.0381186 14763.1
1296.5 884.408 1747.31 1 0.0396846 14764.1
