x z
1296.43 1745.18
1296.81 1749.14
1299.79 1749.95
1299.89 1749.82
1298.06 1750.08
1300.74 1749.08
1296.49 1746.84
1300.56 1749.08
1296.7 1745.24
1301.01 1746.54
1296.5 1745.15
1296.67 1746.98
1296.43 1745.1
1296.7 1748.39
1296.72 1748.72
1297.18 1749.58
1296.68 1748.83
1297.23 1749.32
1301.24 1747.68
1300.59 1749.16
1296.43 1746.94
1300.91 1748.91
1299.29 1750.1
1301.13 1745.51
1301.21 1745.52
1300.29 1749.53
1300.58 1749.09
1299.74 1749.92
1301.2 1747.18
1301 1747.21
1299.67 1749.77
1296.77 1748.42
1296.5 1746.31
1296.61 1748.35
1300.15 1749.48
1301 1747.53
1301.21 1746.04
1296.85 1745.09
1296.79 1744.98
1296.59 1745.24
1296.48 1747.12
1296.81 1748.91
1301.28 1746.42
1296.47 1747.38
1300.32 1749.34
1299.66 1749.77
1299.34 1750.15
1300.22 1749.77
1296.49 1746.63
1301 1747.62
1299.79 1749.89
1301.25 1747.91
1297.42 1749.73
1301.28 1745.51
1300.99 1745.08
1300.22 1749.76
1301.14 1746.3
1296.64 1746.21
1300.34 1749.54
1297.85 1749.82
1301.23 1745.26
1301.19 1747.87
1297.73 1749.72
1301.21 1747.49
1296.43 1747.98
1300.38 1749.39
1296.6 1747.6
1296.84 1748.6
1296.61 1748.45
1296.78 1744.98
1296.58 1746.9
1298.53 1750.17
1298.31 1750.13
1296.54 1747.32
1299.62 1749.79
1299.34 1749.95
1296.62 1745.32
1301.27 1747.3
1301.02 1746.27
1296.85 1745.15
1296.54 1745.71
1296.43 1745.05
1299.51 1749.88
1300.42 1749.56
1301.21 1746.74
1301.09 1747.66
1300.99 1748.26
1301.2 1745.4
1296.73 1749
1296.49 1746.51
1296.77 1745.02
1297.08 1749.29
1297.55 1749.53
1296.6 1747.68
1301.23 1745.03
1298.66 1750.13
1301.3 1745.38
1301.17 1745.23
1300.23 1749.59
1296.6 1744.92
1296.6 1747.86
1296.7 1745.44
1296.59 1748.18
1296.5 1748.01
1301.17 1746.82
1298.7 1749.98
1297.37 1749.55
1296.55 1745.36
1296.51 1745.59
1297.93 1750
1298.41 1749.98
1296.48 1746.35
1297.3 1749.55
1297.92 1749.76
1299.06 1749.91
1300.72 1749.06
1300.29 1749.5
1298.08 1750.09
1296.98 1749.26
1301.13 1748.3
