x z dx dz dmag
1300.79 1749.11 1.32542e-08 -6.55009e-08 6.68285e-08
1300.27 1749.57 1.18543e-08 -5.99508e-08 6.11115e-08
1296.55 1746.34 9.66282e-09 -1.4036e-07 1.40692e-07
1301.19 1745.09 2.61009e-09 -5.06775e-08 5.07447e-08
1297.21 1749.48 -7.11847e-09 -5.42373e-08 5.47024e-08
1301.07 1747.39 -4.12921e-09 -1.54195e-07 1.5425e-07
1297.57 1749.75 -6.62396e-09 -4.65305e-08 4.69996e-08
1298.95 1750.02 6.81508e-10 -3.42979e-08 3.43047e-08
1299.55 1749.81 1.34596e-09 -3.34032e-08 3.34303e-08
1296.62 1747.23 8.55139e-09 -1.52808e-07 1.53047e-07
1296.61 1747.81 -4.12607e-10 -1.36018e-07 1.36019e-07
1296.64 1745.77 2.76388e-09 -1.34423e-07 1.34451e-07
1300.88 1748.98 8.01555e-09 -6.80274e-08 6.8498e-08
1301.09 1745.14 2.83102e-09 -7.62917e-08 7.63442e-08
1296.48 1747.79 2.74876e-10 -1.06053e-07 1.06053e-07
1296.92 1749.12 -1.38438e-08 -7.19013e-08 7.32219e-08
1301.29 1745.93 9.43379e-09 -5.94794e-08 6.02228e-08
1296.62 1748.3 -7.48966e-09 -1.1921e-07 1.19445e-07
1296.53 1747.33 8.494e-09 -1.25295e-07 1.25583e-07
1299.44 1750.01 3.64328e-09 -4.15879e-08 4.17471e-08
1297.31 1749.5 -1.23527e-08 -5.40252e-08 5.54195e-08
1300.82 1748.68 2.13321e-08 -9.93883e-08 1.01652e-07
1296.54 1746.91 9.22779e-09 -1.32012e-07 1.32334e-07
1301.11 1745.94 -2.79319e-09 -1.28395e-07 1.28426e-07
1298.16 1749.9 -3.88181e-09 -3.55021e-08 3.57136e-08
1298.83 1749.93 2.07607e-10 -2.38292e-08 2.38301e-08
1299.32 1749.96 2.83605e-09 -3.78652e-08 3.79713e-08
1296.66 1745.19 -3.01966e-10 -8.58222e-08 8.58228e-08
1297.12 1749.17 -2.23836e-08 -6.55308e-08 6.92482e-08
1296.41 1746.94 -2.43937e-09 -6.04479e-08 6.04971e-08
1296.67 1747.42 5.67793e-09 -1.49606e-07 1.49714e-07
1297.41 1749.77 -3.21647e-09 -4.3393e-08 4.35121e-08
1296.47 1747.25 8.57323e-09 -1.12338e-07 1.12664e-07
1301.29 1745.49 -5.26817e-09 -4.97444e-08 5.00225e-08
1296.54 1746.6 5.40152e-09 -1.39429e-07 1.39534e-07
1301.22 1747.11 1.21252e-09 -1.07257e-07 1.07264e-07
1300.41 1749.52 1.12048e-08 -5.88829e-08 5.99395e-08
1299.09 1750.12 1.07687e-09 -3.48729e-08 3.48895e-08
1301.1 1745.78 -4.16029e-11 -1.28973e-07 1.28973e-07
1296.61 1744.91 -6.58942e-09 -5.10737e-08 5.1497e-08
1296.53 1745.35 -4.28048e-09 -8.93782e-08 8.94807e-08
1296.62 1745.57 3.48061e-09 -1.22932e-07 1.22981e-07
1301.2 1746.44 -7.18551e-09 -9.96909e-08 9.99496e-08
1296.46 1747.16 1.88856e-09 -9.98178e-08 9.98357e-08
1296.68 1746.38 7.12779e-09 -1.55391e-07 1.55555e-07
1296.43 1745.37 -8.04615e-09 -5.2056e-08 5.26742e-08
1301.14 1745.49 -1.8223e-10 -1.05949e-07 1.05949e-07
1296.62 1747.85 1.2098e-09 -1.33394e-07 1.334e-07
1301.23 1747.53 2.90489e-09 -1.01798e-07 1.0184e-07
1298.24 1750.14 6.37548e-10 -3.10334e-08 3.10399e-08
1299.42 1750.12 1.08378e-10 -2.70378e-08 2.7038e-08
1296.45 1746.79 3.76541e-09 -1.03709e-07 1.03777e-07
1301.05 1745.3 2.9979e-09 -9.60319e-08 9.60787e-08
1296.65 1748.88 -7.66977e-09 -4.19405e-08 4.2636e-08
1301.1 1746.22 -3.66865e-09 -1.3357e-07 1.3362e-07
1296.68 1746.07 7.4434e-09 -1.53007e-07 1.53188e-07
1297.16 1749.28 -2.04809e-08 -6.03735e-08 6.37529e-08
1298.61 1749.91 -5.10082e-10 -2.56876e-08 2.56926e-08
1297.24 1749.44 -1.40353e-08 -5.59483e-08 5.76819e-08
1298.55 1749.99 -1.48122e-09 -3.40248e-08 3.4057e-08
1301.24 1745.71 4.58032e-09 -8.86115e-08 8.87298e-08
1301.01 1746.65 -1.94902e-09 -1.55025e-07 1.55037e-07
1301.04 1746.76 -3.25097e-09 -1.48402e-07 1.48438e-07
1296.44 1746.93 -1.07584e-09 -1.07934e-07 1.0794e-07
1300.43 1749.23 1.97947e-08 -5.13629e-08 5.50453e-08
1296.55 1748.14 -1.07629e-08 -1.11335e-07 1.11854e-07
1298.22 1750.03 -2.74728e-09 -4.37466e-08 4.38328e-08
1296.67 1746.98 6.35691e-09 -1.55314e-07 1.55444e-07
1297.11 1749.49 -9.19655e-10 -3.39491e-08 3.39616e-08
1300.97 1748.06 9.50653e-09 -1.35275e-07 1.35609e-07
1301.27 1747.33 3.16964e-09 -7.38612e-08 7.39292e-08
1296.89 1749.01 -1.48007e-08 -7.48719e-08 7.63207e-08
1299.15 1750.18 1.6064e-12 -2.56936e-08 2.56936e-08
1300.72 1748.84 2.19086e-08 -8.92079e-08 9.18588e-08
1301.27 1747.29 5.56826e-09 -7.44375e-08 7.46455e-08
1296.51 1747.65 5.62611e-09 -1.16446e-07 1.16582e-07
1296.92 1749.27 -4.48224e-09 -3.90429e-08 3.92993e-08
1301.08 1746.79 -4.50483e-09 -1.4136e-07 1.41432e-07
1296.57 1748.15 -9.83497e-09 -1.07409e-07 1.07858e-07
1298.16 1749.85 -3.12124e-09 -4.06476e-08 4.07673e-08
1301.14 1746.08 -2.46525e-09 -1.27577e-07 1.27601e-07
1296.57 1747.02 4.24352e-09 -1.35881e-07 1.35948e-07
1301.23 1745.41 1.73875e-09 -8.1976e-08 8.19945e-08
1296.83 1748.57 -2.16193e-08 -9.62392e-08 9.86376e-08
1297.26 1749.53 -1.18762e-08 -5.05615e-08 5.19375e-08
1300.59 1749.44 4.28713e-09 -4.02662e-08 4.04938e-08
1300.21 1749.55 1.65921e-08 -5.2715e-08 5.52645e-08
1301.11 1745.74 2.87609e-10 -1.26037e-07 1.26038e-07
1301.14 1747.96 2.03954e-09 -1.15778e-07 1.15796e-07
1297 1749.2 -1.63828e-08 -6.42115e-08 6.62685e-08
1296.4 1747.21 2.00991e-09 -5.77487e-08 5.77837e-08
1296.61 1746.96 7.56796e-09 -1.48287e-07 1.4848e-07
1296.83 1744.91 -5.44133e-09 -5.87335e-08 5.8985e-08
1299.71 1750.03 -1.05127e-09 -3.37319e-08 3.37483e-08
1297.58 1749.57 -1.33841e-08 -4.14945e-08 4.35996e-08
1296.62 1748.64 -9.28385e-09 -8.03409e-08 8.08755e-08
1301.09 1745.88 -2.13658e-09 -1.31443e-07 1.31461e-07
1297.29 1749.68 -1.9209e-09 -3.02132e-08 3.02742e-08
1301.03 1745.49 -8.17291e-10 -1.12227e-07 1.1223e-07
1297.17 1749.56 1.13966e-09 -3.3221e-08 3.32405e-08
1300.35 1749.42 1.5751e-08 -5.79967e-08 6.00975e-08
1297.76 1749.72 -5.78019e-09 -4.02941e-08 4.07066e-08
1296.97 1749.26 -9.93794e-09 -6.23634e-08 6.31502e-08
1296.56 1748.61 -1.45956e-08 -7.99867e-08 8.13075e-08
1301.03 1745.57 -1.76208e-09 -1.21901e-07 1.21913e-07
1301 1747.29 -2.8135e-09 -1.58287e-07 1.58312e-07
1301.21 1745.84 2.5957e-09 -1.00761e-07 1.00795e-07
1297.64 1749.59 -6.77778e-09 -3.65042e-08 3.71281e-08
1301.08 1746.83 -4.08022e-09 -1.44751e-07 1.44809e-07
1299.61 1749.78 2.25494e-09 -3.55389e-08 3.56103e-08
1301.16 1746.73 -5.18283e-09 -1.23477e-07 1.23585e-07
1296.84 1749.12 -1.30247e-08 -5.61262e-08 5.76176e-08
1297.93 1749.8 -5.4354e-09 -3.84462e-08 3.88285e-08
1297.41 1749.66 -6.72892e-09 -4.62799e-08 4.67665e-08
1296.54 1746.27 5.30311e-09 -1.32711e-07 1.32817e-07
1301.29 1745.46 -8.11697e-09 -5.49047e-08 5.55015e-08
1296.68 1746.18 4.69798e-09 -1.50884e-07 1.50958e-07
1299.25 1749.94 2.62715e-09 -3.66618e-08 3.67558e-08
1300 1749.59 9.71642e-09 -3.20389e-08 3.34798e-08
1296.67 1746.58 3.70898e-09 -1.56942e-07 1.56985e-07
1301.14 1745.57 -2.03087e-11 -1.12638e-07 1.12638e-07
1296.68 1746.09 6.39775e-09 -1.49555e-07 1.49691e-07
1296.67 1747.26 8.53485e-09 -1.50356e-07 1.50598e-07
1297.19 1749.56 -3.02507e-09 -3.71126e-08 3.72357e-08
1297.5 1749.57 -1.30517e-08 -4.5514e-08 4.73484e-08
1297.74 1749.63 -6.0722e-09 -3.57641e-08 3.62759e-08
1296.44 1747.85 1.17496e-10 -9.19699e-08 9.197e-08
1300.38 1749.37 1.53623e-08 -5.80093e-08 6.0009e-08
1299.63 1749.9 5.2222e-09 -4.18083e-08 4.21332e-08
1296.9 1749.14 -1.26418e-08 -6.09028e-08 6.2201e-08
1301.2 1747.26 2.4281e-09 -1.14898e-07 1.14923e-07
1297.79 1749.97 1.4871e-09 -3.2002e-08 3.20365e-08
1296.62 1748.37 -1.2376e-08 -9.93638e-08 1.00132e-07
1296.93 1748.85 -2.35852e-08 -8.19388e-08 8.52657e-08
1296.63 1746.62 7.40772e-09 -1.44524e-07 1.44714e-07
1301.08 1748.71 1.10815e-08 -5.37112e-08 5.48424e-08
1297.37 1749.65 -6.53071e-09 -4.6766e-08 4.72198e-08
1296.66 1747.5 5.2274e-09 -1.49601e-07 1.49692e-07
1296.48 1746.28 1.75383e-09 -1.2571e-07 1.25722e-07
1296.46 1748.36 -4.74542e-10 -4.78126e-08 4.7815e-08
1301.01 1746.03 1.36457e-10 -1.4441e-07 1.4441e-07
1299.38 1750.07 2.40727e-09 -4.07415e-08 4.08126e-08
