x z sxx syy szz sxy sxz syz
1314.78 1764.83 -889491 -961201 -1.6728e+06 -156559 -333864 55489.7
1314.78 1764.84 -887760 -960506 -1.67158e+06 -156654 -333743 55341.1
1314.78 1764.84 -886210 -959855 -1.67007e+06 -156545 -333535 55180.7
1315.64 1765.81 -889727 -956786 -1.66416e+06 -153017 -333349 56716.8
1315.64 1765.81 -889096 -956845 -1.66327e+06 -152776 -333400 56632.5
1315.64 1765.81 -887853 -956170 -1.66134e+06 -152692 -333226 56477.8
1315.64 1765.81 -886581 -956057 -1.66041e+06 -152698 -333170 56253.3
1315.64 1765.81 -885146 -955670 -1.65927e+06 -152652 -332920 56063.2
1316.54 1766.83 -892685 -953895 -1.65333e+06 -147872 -334120 58141.1
1316.54 1766.83 -893902 -954173 -1.65131e+06 -146802 -334496 58181.4
1316.54 1766.83 -893656 -954167 -1.64981e+06 -146402 -334536 58043.1
1316.54 1766.83 -891280 -953301 -1.6484e+06 -146647 -333983 57738.3
1316.54 1766.83 -888131 -952451 -1.64764e+06 -147262 -333211 57333.8
1311.2 1761.82 -895917 -969118 -1.69939e+06 -169288 -336900 53370
1311.2 1761.83 -896223 -969356 -1.69591e+06 -167746 -336866 53372.3
1311.2 1761.84 -895682 -968974 -1.69141e+06 -166368 -336746 53330
1311.2 1761.84 -895709 -969691 -1.69071e+06 -165839 -336850 53255.4
1311.2 1761.85 -894926 -969738 -1.6901e+06 -165881 -336775 53119.8
1311.88 1762.65 -895932 -966840 -1.68752e+06 -164109 -335862 53977.5
1311.88 1762.66 -895829 -966491 -1.68235e+06 -162353 -335741 53932.2
1311.88 1762.66 -896291 -966791 -1.67972e+06 -161128 -335740 53899.4
1311.87 1762.67 -896255 -967410 -1.67947e+06 -160789 -335839 53828.8
1311.87 1762.67 -895110 -967700 -1.68027e+06 -161183 -335902 53675.6
1312.59 1763.52 -893934 -963431 -1.67672e+06 -160376 -334584 54407.1
1312.58 1763.53 -892959 -962978 -1.67484e+06 -160086 -334543 54289.3
1312.58 1763.53 -892191 -962804 -1.67362e+06 -159848 -334541 54160.1
1312.58 1763.54 -891238 -962720 -1.67299e+06 -159780 -334481 54032.4
1312.58 1763.54 -890122 -962822 -1.673e+06 -159926 -334457 53883.2
1313.33 1764.43 -892791 -960220 -1.66537e+06 -156207 -333424 54953.8
1313.33 1764.44 -889990 -959104 -1.66629e+06 -157343 -333286 54771.2
1313.33 1764.44 -887827 -958184 -1.66553e+06 -157777 -333118 54578.4
1313.33 1764.45 -886387 -957874 -1.66522e+06 -158060 -333092 54393.4
1313.32 1764.45 -885378 -957819 -1.66507e+06 -158189 -333097 54248
1314.11 1765.39 -888785 -955455 -1.65783e+06 -154341 -332311 55501.3
1314.11 1765.4 -886185 -954245 -1.65763e+06 -155083 -332094 55314.3
1314.11 1765.4 -884300 -953548 -1.65674e+06 -155332 -331985 55129.3
1314.11 1765.4 -882536 -952775 -1.65535e+06 -155370 -331860 54978.5
1314.11 1765.4 -881216 -952333 -1.65411e+06 -155324 -331729 54810.9
1314.93 1766.4 -881978 -946908 -1.64528e+06 -152396 -330754 56173.3
1314.93 1766.4 -880536 -946214 -1.64326e+06 -152112 -330544 55994
1314.93 1766.4 -879243 -946061 -1.64232e+06 -152084 -330527 55824.9
1314.93 1766.41 -877955 -945733 -1.64118e+06 -151917 -330321 55645
1314.93 1766.41 -877040 -945592 -1.64002e+06 -151758 -330235 55463.9
1315.79 1767.46 -879213 -941145 -1.63344e+06 -149036 -330003 57075.3
1315.79 1767.46 -878451 -940826 -1.6311e+06 -148346 -329785 56884.9
1315.79 1767.46 -877456 -940286 -1.6292e+06 -148012 -329592 56709.9
1315.79 1767.46 -876880 -940893 -1.62944e+06 -147996 -329569 56528.4
1315.79 1767.46 -875470 -940586 -1.62812e+06 -147913 -329287 56275.7
1310.12 1761.82 -893177 -963519 -1.68765e+06 -169246 -335829 52903.6
1310.12 1761.83 -893707 -964162 -1.68461e+06 -167578 -335884 52911.6
1310.12 1761.84 -893847 -964351 -1.68117e+06 -166194 -335815 52890.5
1310.12 1761.84 -893737 -965041 -1.68038e+06 -165652 -335898 52819.5
1310.12 1761.85 -892388 -964665 -1.67929e+06 -165758 -335766 52657.5
1310.74 1762.65 -896283 -962722 -1.67199e+06 -160951 -335041 53765.7
1310.74 1762.66 -900164 -964918 -1.66509e+06 -156361 -335419 54063.1
1310.74 1762.66 -904669 -967591 -1.65992e+06 -152141 -335880 54404.2
1310.73 1762.67 -904834 -967672 -1.65812e+06 -151400 -335842 54378.4
1310.73 1762.67 -900327 -966037 -1.66141e+06 -154627 -335527 53902.3
1311.38 1763.52 -894461 -959299 -1.66119e+06 -157451 -333944 54144.6
1311.38 1763.53 -899423 -962915 -1.65786e+06 -153591 -334622 54410.6
1311.38 1763.53 -903797 -965541 -1.65335e+06 -149800 -335164 54686.6
1311.38 1763.54 -903835 -965750 -1.65202e+06 -149247 -335219 54649.8
1311.37 1763.54 -898892 -963438 -1.65425e+06 -152162 -334685 54214.3
1312.06 1764.43 -887475 -952792 -1.65358e+06 -157405 -332131 54256.5
1312.06 1764.44 -887786 -953762 -1.65317e+06 -156857 -332358 54172
1312.05 1764.44 -887729 -954091 -1.65207e+06 -156294 -332384 54089.1
1312.05 1764.45 -887081 -954129 -1.65141e+06 -156156 -332436 53962.1
1312.05 1764.45 -885297 -953145 -1.64937e+06 -156296 -332225 53749.8
1312.77 1765.39 -881848 -946443 -1.64267e+06 -155519 -330340 54611.9
1312.76 1765.4 -880802 -946258 -1.6424e+06 -155724 -330348 54449.6
1312.76 1765.4 -879821 -946271 -1.6422e+06 -155823 -330368 54308.9
1312.76 1765.4 -878344 -945739 -1.64046e+06 -155671 -330287 54101.4
1312.76 1765.4 -877130 -945470 -1.63935e+06 -155478 -330208 53973.3
1313.51 1766.4 -876008 -939038 -1.63031e+06 -153401 -328685 55128.6
1313.51 1766.4 -874824 -938957 -1.6298e+06 -153473 -328626 54917.6
1313.51 1766.4 -873428 -938475 -1.62823e+06 -153303 -328502 54745.9
1313.51 1766.41 -872474 -938942 -1.62858e+06 -153217 -328493 54555.3
1313.51 1766.41 -871026 -938233 -1.62644e+06 -153060 -328355 54369
1314.29 1767.46 -869931 -931391 -1.61657e+06 -150707 -326918 55715.4
1314.29 1767.46 -868190 -930191 -1.61349e+06 -150280 -326521 55484.1
1314.29 1767.46 -867110 -930069 -1.6124e+06 -150070 -326449 55275.8
1314.29 1767.46 -866061 -929881 -1.61129e+06 -149884 -326293 55073.4
1314.29 1767.46 -865569 -930573 -1.61146e+06 -149707 -326360 54915.3
1309.05 1761.82 -888588 -956512 -1.67676e+06 -170678 -334414 52220.3
1309.05 1761.83 -888998 -957868 -1.67628e+06 -169826 -334648 52209.7
1309.04 1761.84 -888972 -958595 -1.67515e+06 -169057 -334709 52133.8
1309.04 1761.84 -888037 -958419 -1.673e+06 -168483 -334597 52028.5
1309.04 1761.85 -887053 -958362 -1.6718e+06 -168217 -334434 51854.4
1309.6 1762.65 -890727 -955612 -1.66295e+06 -163309 -333620 53007.6
1309.6 1762.66 -892661 -957057 -1.65873e+06 -160446 -333826 53156.2
1309.6 1762.66 -894541 -958711 -1.65633e+06 -158303 -334131 53296.9
1309.59 1762.67 -894783 -959498 -1.65621e+06 -157865 -334289 53259.6
1309.59 1762.67 -892314 -958819 -1.65702e+06 -159151 -334105 52977.9
1310.18 1763.52 -894715 -956150 -1.64923e+06 -155250 -333286 53901.8
1310.18 1763.53 -905271 -963618 -1.64458e+06 -147677 -334818 54666.2
1310.17 1763.53 -918820 -972952 -1.64023e+06 -138671 -336754 55703.5
1310.17 1763.54 -920025 -973861 -1.6397e+06 -137786 -336937 55789.4
1310.17 1763.54 -906581 -965515 -1.643e+06 -146002 -335175 54645.5
1310.78 1764.43 -887483 -949103 -1.64112e+06 -155631 -331448 53837.8
1310.78 1764.44 -892401 -953273 -1.64028e+06 -152439 -332327 54099.4
1310.78 1764.44 -896665 -956845 -1.63919e+06 -149622 -333146 54322.3
1310.78 1764.45 -896659 -957143 -1.6386e+06 -149303 -333194 54249.9
1310.78 1764.45 -891648 -954048 -1.63751e+06 -151348 -332482 53839.4
1311.42 1765.39 -877156 -939222 -1.62971e+06 -156354 -329062 53812.1
1311.42 1765.4 -877844 -940726 -1.63047e+06 -155767 -329407 53782.5
1311.42 1765.4 -877716 -941100 -1.62942e+06 -155246 -329427 53657.5
1311.42 1765.4 -876522 -940453 -1.62703e+06 -154914 -329266 53465.4
1311.42 1765.4 -875416 -940229 -1.62589e+06 -154888 -329138 53277.4
1312.09 1766.4 -870031 -931239 -1.61698e+06 -154590 -326943 54184.2
1312.09 1766.4 -869249 -931212 -1.61599e+06 -154428 -326921 53995.6
1312.09 1766.4 -868312 -930825 -1.61407e+06 -154217 -326795 53758.8
1312.09 1766.41 -866139 -929575 -1.61031e+06 -153665 -326429 53512.8
1312.09 1766.41 -865288 -929536 -1.60901e+06 -153384 -326370 53355.4
1312.79 1767.46 -861855 -921205 -1.59858e+06 -151717 -324320 54523.5
1312.79 1767.46 -860928 -921038 -1.59735e+06 -151539 -324224 54292.8
1312.79 1767.46 -859618 -920379 -1.5952e+06 -151239 -324038 54073.9
1312.79 1767.46 -858667 -920289 -1.59344e+06 -150911 -323934 53848.9
1312.79 1767.46 -857504 -919850 -1.59133e+06 -150588 -323869 53643.9
1307.97 1761.82 -885563 -950963 -1.66739e+06 -171846 -333534 51649.5
1307.97 1761.83 -885207 -951347 -1.66634e+06 -171469 -333534 51546.8
1307.97 1761.84 -884294 -951681 -1.66506e+06 -170986 -333450 51416.8
1307.96 1761.84 -883163 -951726 -1.66309e+06 -170530 -333315 51242.7
1307.96 1761.85 -881493 -950733 -1.65951e+06 -170099 -333120 50985
1308.46 1762.65 -884342 -947464 -1.65404e+06 -166560 -332155 52175.2
1308.46 1762.66 -883595 -947449 -1.65144e+06 -165735 -332078 52080.4
1308.46 1762.66 -882803 -947556 -1.64966e+06 -165118 -332032 51976.7
1308.45 1762.67 -882055 -947724 -1.64831e+06 -164809 -332031 51817.7
1308.45 1762.67 -880836 -947541 -1.64675e+06 -164783 -331911 51577.6
1308.97 1763.52 -882764 -943659 -1.63933e+06 -161171 -330687 52644.3
1308.97 1763.53 -884485 -945820 -1.63906e+06 -159607 -331098 52718.7
1308.97 1763.53 -885476 -947413 -1.63866e+06 -158407 -331445 52755.9
1308.97 1763.54 -884881 -947626 -1.63762e+06 -158205 -331449 52598.9
1308.97 1763.54 -882781 -946523 -1.63609e+06 -158736 -331174 52335.7
1309.51 1764.43 -880418 -940306 -1.62903e+06 -157755 -329686 53024.8
1309.51 1764.44 -883036 -942796 -1.62862e+06 -155910 -330173 53126.3
1309.51 1764.44 -884850 -944887 -1.62847e+06 -154414 -330597 53187.6
1309.51 1764.45 -884870 -945776 -1.62875e+06 -154204 -330747 53097.5
1309.51 1764.45 -881507 -943475 -1.62575e+06 -154843 -330193 52785.2
1310.08 1765.39 -872775 -931951 -1.61631e+06 -156866 -327515 53076.4
1310.08 1765.4 -873389 -932920 -1.61542e+06 -156041 -327725 52990
1310.08 1765.4 -873881 -934041 -1.61523e+06 -155372 -327938 52887.1
1310.07 1765.4 -872960 -933893 -1.61339e+06 -154859 -327883 52740.2
1310.07 1765.4 -871290 -933148 -1.61168e+06 -154917 -327696 52520.5
1310.67 1766.4 -863719 -921972 -1.60031e+06 -155397 -325066 53138.2
1310.67 1766.4 -862947 -921621 -1.59798e+06 -154894 -324894 52963.7
1310.67 1766.4 -862524 -922040 -1.59726e+06 -154470 -324885 52817.7
1310.67 1766.41 -861261 -921540 -1.59495e+06 -154054 -324752 52612.1
1310.67 1766.41 -860098 -921304 -1.59323e+06 -153780 -324681 52392.1
1311.3 1767.46 -855539 -912204 -1.58254e+06 -152837 -322483 53417.3
1311.3 1767.46 -854377 -911766 -1.58036e+06 -152494 -322256 53151.1
1311.3 1767.46 -852262 -910165 -1.57611e+06 -151901 -321866 52927.5
1311.3 1767.46 -851654 -910252 -1.57493e+06 -151608 -321820 52714.7
1311.29 1767.46 -851236 -910919 -1.57482e+06 -151427 -321930 52549.1
1306.89 1761.82 -883659 -945641 -1.65533e+06 -171592 -332650 51167.2
1306.89 1761.83 -882389 -945584 -1.65463e+06 -171708 -332593 50974.3
1306.89 1761.84 -880811 -945306 -1.65257e+06 -171600 -332514 50733.2
1306.89 1761.84 -878770 -944236 -1.64952e+06 -171408 -332242 50462.6
1306.88 1761.85 -877651 -944238 -1.64842e+06 -171244 -332193 50304.3
1307.32 1762.65 -881820 -941323 -1.64057e+06 -166300 -331191 51696.6
1307.32 1762.66 -879382 -940143 -1.63832e+06 -166461 -330820 51442.6
1307.32 1762.66 -877423 -939246 -1.63617e+06 -166512 -330571 51202.6
1307.31 1762.67 -876079 -939455 -1.63541e+06 -166711 -330620 50941.8
1307.31 1762.67 -874680 -939168 -1.63408e+06 -166687 -330358 50679.5
1307.77 1763.52 -877556 -935570 -1.62686e+06 -162592 -329237 51950.4
1307.77 1763.53 -875965 -935054 -1.62484e+06 -162548 -329079 51711.6
1307.76 1763.53 -874888 -935148 -1.62442e+06 -162686 -329081 51527.3
1307.76 1763.54 -873939 -935261 -1.62364e+06 -162628 -329013 51364.7
1307.76 1763.54 -872731 -935209 -1.6225e+06 -162640 -328899 51137.8
1308.24 1764.43 -872663 -930038 -1.61529e+06 -160268 -327614 52115.6
1308.24 1764.44 -872329 -930435 -1.6145e+06 -159875 -327657 51979.1
1308.24 1764.44 -871677 -930471 -1.61334e+06 -159578 -327611 51827
1308.23 1764.45 -870256 -929809 -1.61077e+06 -159309 -327481 51648.5
1308.23 1764.45 -868455 -929081 -1.60799e+06 -159060 -327309 51409.2
1308.73 1765.39 -865774 -921876 -1.60038e+06 -158243 -325398 52135.9
1308.73 1765.4 -865229 -922171 -1.59883e+06 -157619 -325436 52011.6
1308.73 1765.4 -865025 -922596 -1.59801e+06 -157215 -325509 51875.1
1308.73 1765.4 -864607 -922965 -1.59734e+06 -156929 -325534 51742.2
1308.73 1765.4 -862547 -921592 -1.59342e+06 -156522 -325180 51487.6
1309.25 1766.4 -857687 -912782 -1.58387e+06 -156101 -323102 52225.2
1309.25 1766.4 -856988 -912613 -1.58188e+06 -155588 -322982 52049.8
1309.25 1766.4 -856127 -912435 -1.58003e+06 -155137 -322910 51852.8
1309.25 1766.41 -855144 -912355 -1.57844e+06 -154707 -322868 51691.3
1309.25 1766.41 -853795 -911477 -1.57561e+06 -154304 -322628 51515.5
1309.8 1767.46 -848789 -902353 -1.56455e+06 -153569 -320331 52337
1309.8 1767.46 -847457 -901639 -1.56214e+06 -153147 -320122 52099.1
1309.8 1767.46 -846485 -901384 -1.56034e+06 -152717 -320008 51924.1
1309.8 1767.46 -845653 -901398 -1.55866e+06 -152299 -319932 51693.3
1309.8 1767.46 -843638 -899711 -1.55417e+06 -151823 -319543 51443
1305.45 1761.06 -876798 -942586 -1.64979e+06 -175935 -332207 49289.7
1305.81 1761.82 -881278 -940090 -1.64307e+06 -171317 -331733 50687
1305.81 1761.83 -878781 -938660 -1.64004e+06 -171519 -331370 50361.8
1305.81 1761.84 -877100 -938252 -1.63908e+06 -171783 -331122 50086.8
1305.81 1761.84 -875109 -937529 -1.63688e+06 -171735 -330843 49838.8
1305.8 1761.85 -873788 -937720 -1.63617e+06 -171710 -330788 49617.6
1306.18 1762.65 -883361 -938115 -1.6266e+06 -163368 -330778 51651.6
1306.18 1762.66 -878654 -935580 -1.62543e+06 -165374 -330222 51063.9
1306.18 1762.66 -874933 -933586 -1.62362e+06 -166541 -329761 50608
1306.17 1762.67 -872571 -933134 -1.62358e+06 -167216 -329604 50291.2
1306.17 1762.67 -870053 -932022 -1.62101e+06 -167345 -329250 49931.2
1306.56 1763.52 -882754 -934602 -1.61287e+06 -158115 -329337 52218.3
1306.56 1763.53 -876022 -930683 -1.61133e+06 -160873 -328548 51486.8
1306.56 1763.53 -871423 -928175 -1.60939e+06 -162362 -328057 50962.2
1306.56 1763.54 -868157 -926361 -1.60696e+06 -163088 -327526 50533.4
1306.56 1763.54 -866193 -925587 -1.60549e+06 -163417 -327338 50230.1
1306.96 1764.43 -872637 -925305 -1.60154e+06 -158748 -326998 51788.8
1306.96 1764.44 -869400 -923797 -1.59976e+06 -159447 -326522 51434.9
1306.96 1764.44 -866046 -921675 -1.59632e+06 -159815 -325937 51034.9
1306.96 1764.45 -863888 -920676 -1.59467e+06 -160205 -325792 50733.3
1306.96 1764.45 -862085 -919914 -1.59284e+06 -160359 -325598 50456.4
1307.39 1765.39 -861608 -914179 -1.58511e+06 -158267 -324028 51455.9
1307.39 1765.4 -860379 -913979 -1.5838e+06 -158053 -323915 51234.6
1307.39 1765.4 -859044 -913678 -1.58181e+06 -157773 -323824 51022.1
1307.39 1765.4 -856806 -912111 -1.57784e+06 -157369 -323438 50766
1307.38 1765.4 -855420 -911509 -1.57579e+06 -157202 -323265 50538.5
1307.83 1766.4 -851406 -903176 -1.56614e+06 -156329 -321280 51388.6
1307.83 1766.4 -850311 -902795 -1.56397e+06 -155883 -321123 51164.8
1307.83 1766.4 -849248 -902241 -1.56142e+06 -155463 -320894 50946.4
1307.83 1766.41 -848095 -901903 -1.55882e+06 -154959 -320782 50723.3
1307.83 1766.41 -846827 -901308 -1.55657e+06 -154541 -320604 50539.2
1308.3 1767.46 -841297 -891364 -1.5442e+06 -153817 -318036 51296.1
1308.3 1767.46 -841068 -892015 -1.54398e+06 -153475 -318071 51143.4
1308.3 1767.46 -840173 -891799 -1.5421e+06 -153043 -317928 50940.6
1308.3 1767.46 -838576 -890806 -1.5386e+06 -152424 -317633 50692.2
1308.3 1767.46 -837871 -890901 -1.53716e+06 -151984 -317592 50526.4
1304.44 1761.06 -872384 -936132 -1.63744e+06 -176313 -330911 48565
1304.73 1761.82 -875919 -932992 -1.63132e+06 -172331 -330280 49939.1
1304.73 1761.83 -873918 -932092 -1.62887e+06 -172411 -329945 49644.8
1304.73 1761.84 -872014 -931149 -1.6263e+06 -172379 -329628 49378.5
1304.73 1761.84 -870245 -930378 -1.62386e+06 -172215 -329382 49132.9
1304.73 1761.85 -868831 -930219 -1.62217e+06 -172074 -329319 48879.8
1305.04 1762.65 -877823 -930900 -1.61515e+06 -164592 -329308 50853.2
1305.04 1762.66 -873620 -928364 -1.6133e+06 -166148 -328693 50329.2
1305.04 1762.66 -870476 -926918 -1.61189e+06 -167170 -328353 49891.6
