x z szz sxx pp
1172.56 1756.7 -271975 -230775 0
1238.16 1784.97 -233825 -148585 0
1153.04 1728.26 -753668 -524177 0
1289.78 1802.25 -280568 -204253 0
1254.22 1783.33 -271829 -187036 0
1279.34 1801.57 -150088 -97845.8 0
1150.52 1745.98 -304228 -236963 0
1155.09 1741.04 -420595 -298834 0
1054.88 1702.81 -956810 -648797 0
1260.2 1788.59 -199691 -142269 0
1178.91 1741.05 -496247 -357198 0
1176.18 1750.3 -466336 -323767 0
1310.55 1817.7 -137057 -76414.4 0
1174.85 1746.59 -556188 -383107 0
1251.7 1780.9 -387194 -265565 0
1211.43 1764.78 -177903 -167810 0
1227.14 1767.83 -266858 -217179 0
960.534 1684.43 -970687 -685989 0
1250.78 1784.28 -349128 -243610 0
703.179 1676.99 -404902 -380486 0
723.117 1675.98 -450760 -424496 0
1184.1 1744.11 -505840 -360695 0
1249.37 1788.57 -146966 -74682 0
844.446 1680.74 -586144 -474615 0
678.036 1677.82 -639038 -553494 0
1160.08 1740.09 -392422 -308939 0
1105.58 1719.33 -919097 -621160 0
1095.68 1716.39 -934102 -625131 0
1170.07 1758.58 -188455 -170857 0
664.218 1678.25 -629049 -510310 0
1203.27 1768.33 -97473.4 -161377 0
648.15 1681.59 -612969 -492975 0
1083.51 1705.71 -1.0517e+06 -717220 0
984.313 1687.45 -1.01703e+06 -717328 0
1220.86 1767.56 -161281 -127779 0
870.988 1676.9 -525271 -490896 0
1164.02 1754.02 -245063 -197038 0
1171.82 1746.75 -477106 -333721 0
1226.83 1762.21 -377919 -279794 0
1226.11 1778.16 -165370 -113181 0
1253.88 1778.97 -388781 -284579 0
1013.47 1697.88 -1.09282e+06 -755431 0
843.116 1672.02 -563147 -473584 0
709.686 1674.75 -565169 -502617 0
1226.08 1771.18 -165703 -140894 0
1304.54 1817.75 -144122 -84057.5 0
1180.25 1758.51 -173790 -163207 0
922.49 1683.66 -796117 -584907 0
973.862 1681.17 -983582 -697142 0
989.625 1692.5 -1.0399e+06 -728466 0
1066.36 1704.32 -1.08702e+06 -736329 0
1087.83 1702.33 -988896 -667600 0
990.169 1686.36 -923397 -648433 0
1105.45 1718.43 -1.0034e+06 -680127 0
848.388 1675.34 -590403 -484636 0
1049.35 1698.04 -1.05598e+06 -727242 0
1232.63 1767.41 -381334 -287969 0
1117.74 1718.32 -1.00333e+06 -685044 0
624.673 1698.04 -460022 -393481 0
724.378 1674.29 -514212 -472890 0
1169.43 1741.58 -569997 -398535 0
1173.51 1755.19 -174689 -172031 0
884.446 1688.43 -607183 -469372 0
1020.3 1689.51 -1.06165e+06 -733399 0
678.267 1673.8 -620712 -524345 0
1199.66 1756.95 -268587 -171772 0
891.273 1690.92 -634484 -486628 0
1172.28 1750.66 -260078 -229662 0
617.295 1694.14 -438450 -373072 0
834.702 1670.34 -444565 -415555 0
1225.77 1765.56 -299225 -231840 0
1217.6 1766.6 -266915 -187624 0
858.225 1669.98 -620154 -513886 0
1174.99 1742.95 -537599 -376865 0
1290.44 1810.88 -145036 -83079.1 0
1249.9 1782.19 -136743 -99821 0
1276.24 1794.99 -153524 -108336 0
1081.54 1707.25 -1.06743e+06 -728671 0
692.345 1676.43 -604940 -504213 0
869.241 1674.08 -690797 -544670 0
897.235 1686.59 -748472 -557853 0
638.249 1684.25 -598981 -489426 0
1284.96 1802.49 -146394 -102566 0
1221.91 1774.45 -163012 -117412 0
1244.77 1786.51 -154958 -97560.9 0
1266.24 1793.17 -93792.2 -88911.4 0
1215.77 1761.03 -258377 -178629 0
954.126 1690.99 -958301 -678586 0
1309.27 1820.1 -149630 -94522.3 0
966.35 1687.26 -980698 -689684 0
1217.31 1772.56 -163744 -129020 0
1260.38 1793.51 -79526.2 -47239.3 0
913.862 1680.26 -861859 -634422 0
1157.31 1742.39 -623550 -435893 0
820.399 1677.97 -417776 -388713 0
1160.71 1748.05 -412251 -321200 0
1268.27 1797.71 -88587.5 -78271.3 0
964.645 1680.43 -962812 -686880 0
1213.22 1768.92 -168041 -142132 0
1102.09 1710.31 -1.00677e+06 -682257 0
1072.73 1707.18 -1.09016e+06 -737649 0
1090.52 1709.04 -951660 -636231 0
1291.58 1808.17 -157150 -105472 0
831.045 1680.71 -458287 -413008 0
696.976 1673.85 -597029 -509160 0
719.369 1671.13 -447076 -424193 0
1242.66 1782.56 -155983 -102291 0
1239.08 1773.94 -296552 -244542 0
1233.94 1776.75 -165362 -117556 0
1155.74 1762.49 -180009 -152372 0
1338.91 1838.53 -59314.5 15492.7 0
1233.93 1770.93 -264637 -177205 0
1200.55 1766.28 -76255.9 -130120 0
1048.1 1701.64 -1.09552e+06 -756187 0
937.227 1679.97 -803040 -596402 0
650.848 1680.24 -517128 -416017 0
1126.32 1720.56 -968792 -656554 0
1056.17 1695.77 -1.05085e+06 -727543 0
1156.46 1745.52 -413148 -307018 0
1214.51 1761.97 -267206 -197085 0
726.056 1671 -511310 -467144 0
1224.24 1767.04 -395322 -274921 0
1062.54 1705.93 -996083 -686388 0
1274.07 1799.53 -153841 -104631 0
1023.55 1698.69 -1.08775e+06 -755587 0
1110.89 1712.44 -982274 -663524 0
876.5 1675.62 -628415 -505886 0
633.511 1693.19 -508885 -423692 0
888.646 1683.02 -710933 -542178 0
1199.25 1761.99 -105505 -125416 0
1086.41 1703.57 -1.01349e+06 -684759 0
1182.89 1745.42 -515018 -361197 0
1244.81 1780.62 -262961 -171688 0
1149.38 1738.2 -661889 -435750 0
1220.84 1766.05 -263870 -170898 0
1300.6 1814.01 -140699 -88435.1 0
1148.43 1735.56 -750075 -498245 0
643.991 1686.47 -529823 -417777 0
1115.05 1719.49 -1.0225e+06 -698455 0
1283.8 1805.15 -150160 -94447.3 0
655.201 1675.84 -600474 -486942 0
1065.25 1695.62 -1.02832e+06 -704069 0
1348.73 1845.48 -64358.2 -11088.8 0
1079.12 1707.83 -962465 -648969 0
1216.82 1761.62 -381287 -253237 0
661.902 1682.71 -560976 -462699 0
1259.51 1779.85 -399727 -293424 0
616.241 1690.19 -449128 -384144 0
1222.6 1771.6 -160353 -121378 0
1025.93 1692.24 -1.07357e+06 -745249 0
862.788 1683.55 -522391 -443494 0
892.204 1695.33 -653549 -493963 0
1244.11 1775.83 -383283 -259806 0
705.332 1683.16 -495749 -439341 0
734.907 1673.53 -411649 -424634 0
1238.92 1771.24 -375887 -264950 0
1152.59 1759.7 -179280 -144525 0
734.675 1670.55 -393349 -401081 0
1115.18 1716.99 -815906 -550088 0
1170.16 1763.93 -151599 -136286 0
1131.62 1738.21 -450274 -311632 0
1145.99 1734.43 -677565 -444040 0
1243.14 1776.72 -253131 -156113 0
1162.32 1742.43 -597182 -401394 0
1151.38 1724.76 -738052 -518320 0
1147.46 1729.27 -699303 -452008 0
709.751 1672.39 -482824 -443178 0
1344.39 1838.81 -134343 -63559.1 0
1295.09 1803.47 -144639 -101500 0
1068.32 1702.75 -960730 -651677 0
1093.62 1712.69 -1.08852e+06 -731382 0
1136.18 1719.98 -861944 -587784 0
1247.58 1779.83 -281031 -212178 0
1218.85 1758.22 -366387 -253914 0
710.791 1678.48 -501051 -465422 0
1240.47 1779.24 -168081 -126740 0
941.756 1693.1 -717067 -516688 0
941.116 1690.17 -916519 -658059 0
628.331 1686.39 -560711 -458220 0
1161.18 1738.06 -707495 -486000 0
1082.63 1711.03 -882948 -595339 0
1117.08 1715.61 -982941 -664209 0
667.257 1684.5 -475369 -395483 0
