x y z state
1296.33 891.974 1748.08 1
1296.33 892.006 1748.02 1
1296.35 892.009 1748.09 1
1300.18 869.66 1745.7 1
1295.1 867.13 1746.4 1
1295.8 872.209 1745.56 1
1295.77 872.179 1745.56 1
1295.79 872.236 1745.59 1
1297.06 892.776 1750.02 1
1295.83 871.322 1746.22 1
1300.93 879.228 1745.37 1
1296 874.303 1747.61 1
1295.95 871.445 1746.03 1
1296.39 886.99 1746.62 1
1296.4 886.966 1746.59 1
1299.01 861.9 1745.76 1
1295.52 868.977 1747.92 1
1295.5 869.012 1747.93 1
1300.92 888.185 1747.51 1
1295.46 869.654 1746.03 1
1301.16 878.827 1745.63 1
1298.48 881.651 1749.98 1
1298.45 881.628 1749.97 1
1300.92 877.235 1745.36 1
1300.92 877.175 1745.33 1
1300.88 877.182 1745.35 1
1295.33 868.812 1745.67 1
1301.1 878.81 1746.07 1
1301.14 878.79 1746.07 1
1301.1 878.742 1746.07 1
1296.22 875.02 1745.47 1
1300.02 867.401 1746.24 1
1295.24 868.134 1746.56 1
1299.97 867.094 1745.75 1
1297.86 895.064 1750.5 1
1295.64 871.003 1746.08 1
1295.63 871.016 1746.12 1
1299.41 863.927 1745.63 1
1298.98 861.799 1746.42 1
1299.03 861.824 1746.38 1
1298.58 881.298 1750.02 1
1298.13 901.138 1750.71 1
1301.19 880.084 1745.54 1
1296.41 884.433 1747.24 1
1300.28 896.676 1747.33 1
1300.33 869.628 1745.72 1
1298.95 862.243 1745.85 1
1296.17 873.449 1745.61 1
1296.19 873.515 1745.62 1
1296.17 874.558 1745.69 1
1296.15 874.539 1745.76 1
1296.27 875.562 1745.76 1
1296.33 875.544 1745.76 1
1296.4 886.675 1746.61 1
1298.38 885.808 1749.98 1
1300.82 877.239 1745.38 1
1300.85 877.303 1745.35 1
1296.29 892.103 1748.11 1
1295.72 871.847 1746.1 1
1296.07 892.219 1748.11 1
1296.08 892.219 1748.16 1
1296.1 892.235 1748.13 1
1296.07 892.26 1748.17 1
1296.15 891.604 1748.19 1
1296.42 886.221 1746.59 1
1296.4 886.203 1746.53 1
1296.36 875.881 1747.17 1
1294.87 865.899 1745.85 1
1295.75 871.349 1745.32 1
1300.94 878.784 1745.67 1
1296.53 880.673 1747.26 1
1299.99 867.216 1746.21 1
1300.01 867.224 1746.27 1
1300.02 867.272 1746.24 1
1296.21 876.275 1747.11 1
1296.16 876.236 1747.14 1
1296.19 876.263 1747.17 2
1297.59 908.139 1750.54 1
1295.8 872.296 1746.47 1
1296.05 872.323 1745.56 1
1300.65 895.036 1748.38 1
1300.96 879.256 1745.34 1
1295.88 872.621 1745.34 1
1295.88 872.588 1745.38 1
1295.52 868.308 1746.36 1
1300.98 878.571 1745.34 1
1295.83 872.507 1747.42 1
1296.02 872.894 1746.84 1
1296.38 876.304 1746.15 1
1296.4 876.348 1746.11 1
1295.21 867.999 1746.3 1
1295.2 867.985 1746.38 1
1301.09 879.035 1745.85 1
1299.84 867.343 1746.03 1
1296.39 888.771 1745.7 1
1296.36 888.77 1745.74 1
1299.38 904.069 1746.64 1
1299.38 904.11 1746.65 1
