x y z state theta
1300.98 887.842 1747.51 1 0.153296
1300.92 888.185 1747.51 1 0.184891
1301.03 888.399 1748.23 1 10.2231
1301.02 888.388 1748.26 1 10.771
1296.36 877.715 1745.67 1 250.685
1296.3 877.629 1745.75 1 248.187
1296.34 877.657 1745.7 1 249.904
1296.39 886.969 1747.16 1 208.928
1300.94 888.001 1747.94 1 6.39108
1301.16 887.88 1747.79 1 3.95251
1296.24 877.482 1745.97 1 243.49
1301 887.77 1747.84 1 4.92388
1301.06 888.031 1747.63 1 1.82119
1296.27 877.549 1745.9 1 245.39
1296.26 877.577 1745.93 1 244.935
1301.06 887.895 1747.63 1 1.88072
1300.78 887.861 1749.18 1 23.9518
1301.12 887.979 1747.57 1 1.00538
1300.81 876.741 1748.02 1 7.72535
1300.78 876.683 1748.03 1 7.90991
1300.86 892.037 1747.76 1 3.86795
1300.84 891.956 1747.75 1 3.7804
1300.85 891.996 1747.71 1 3.17831
1301.11 888.044 1747.53 1 0.413507
1300.74 891.957 1747.8 1 4.64782
1300.8 891.929 1747.78 1 4.14856
1300.79 876.582 1747.96 1 6.98175
1299.6 902.401 1748.5 1 20.9462
1299.56 902.376 1748.46 1 20.6442
1296.29 877.59 1745.81 1 247.261
1296.3 877.525 1745.86 1 246.988
1299.67 902.261 1748.55 1 21.4505
1300.95 887.977 1747.63 1 1.8603
1300.96 887.762 1747.87 1 5.39019
1300.77 876.586 1748.01 1 7.67779
1296.27 877.586 1745.84 1 246.169
1296.39 887.054 1747.09 1 213.487
1299.64 902.417 1748.4 1 18.8874
1300.94 887.794 1747.62 1 1.81496
1297.82 888.78 1750.11 1 72.4963
1297.85 888.72 1750.13 1 72.211
1297.86 888.745 1750.16 1 72.1329
1297.81 888.757 1750.14 1 73.009
1300.59 890.623 1748.94 1 21.8142
1301.01 887.786 1747.71 1 2.9383
1294.79 905.973 1750.31 1 128.216
1301.07 888.161 1747.72 1 3.09399
1301.13 887.871 1747.74 1 3.34251
1301.12 887.88 1747.82 1 4.38814
1301.09 887.862 1747.8 1 4.13998
1301.05 887.989 1747.94 1 6.21067
1301.01 888.266 1747.71 1 2.93266
1301.06 887.869 1747.72 1 3.16568
1298.83 903.504 1749.8 1 51.527
1301.01 887.945 1747.99 1 6.93889
1296.25 877.323 1745.64 1 248.138
1296.28 877.301 1745.67 1 248.397
1301.11 887.943 1747.62 1 1.64935
1301.14 887.952 1747.66 1 2.18784
1301.17 887.931 1747.62 1 1.63615
1300.68 890.53 1748.95 1 21.457
1299.62 902.296 1748.44 1 19.7036
1299.68 902.312 1748.45 2 19.4916
1300.97 892.021 1747.69 1 2.7561
1300.94 891.972 1747.71 2 3.01356
1300.95 892.035 1747.66 1 2.24836
1300.66 887.965 1749.27 1 25.8337
1300.95 887.971 1747.82 1 4.61354
1296.27 877.685 1745.72 1 247.619
1296.29 877.415 1745.96 1 245.146
1296.25 877.283 1745.94 1 244.364
1301.02 887.896 1747.65 1 2.07374
1301.02 887.839 1747.63 1 1.84452
1301.06 887.897 1747.92 1 5.90871
1296.47 877.525 1745.89 1 251.653
1297.41 878.945 1749.5 1 78.4909
1297.44 878.779 1749.5 1 77.4759
1299.57 902.474 1748.44 1 20.0708
1299.66 902.199 1748.53 1 21.1339
1301.15 887.878 1747.86 1 4.92825
1295.91 895.062 1748.57 1 135.344
1300.84 891.913 1747.72 1 3.25956
1300.97 887.695 1747.75 1 3.53362
1299.66 902.388 1748.44 1 19.4326
1299.64 902.356 1748.42 1 19.1358
1299.61 902.336 1748.44 1 19.7103
1296.42 877.463 1745.56 1 253.456
1299.65 902.495 1748.39 1 18.6668
1301.04 888.065 1747.7 1 2.88966
1301.03 888.101 1747.7 1 2.88025
1301.04 888.076 1747.74 1 3.42094
1300.97 887.8 1747.57 1 0.989173
1300.64 890.545 1748.95 1 21.7116
