x y z state theta
1296.32 891.569 1748.43 1 126.175
1293.68 860.043 1745.85 1 206.38
1296.62 909.935 1750.9 1 96.318
1301.27 884.251 1747.6 1 1.36894
1300.49 894.967 1748.29 1 12.7411
1301.12 877.979 1745.34 1 332.374
1293.85 906.977 1746.81 1 192.43
1296.18 891.721 1748.3 1 135.685
1296.18 891.672 1748.25 1 137.557
1296.15 891.703 1748.31 1 136.373
1296.2 891.671 1748.3 1 134.719
1296.2 891.703 1748.27 1 136.237
1296.15 908.506 1751.08 1 103.329
1298.85 862.188 1746.18 1 324.376
1295.68 868.872 1747.85 1 165.18
1295.67 868.821 1747.83 1 166.141
1295.62 868.873 1747.84 1 166.051
1299.02 862.378 1745.96 1 322.653
1293.86 860.284 1747.62 1 177.89
1300.49 894.495 1748.22 1 11.5963
1300.48 894.51 1748.27 1 12.4064
1300.52 894.62 1748.34 1 13.4758
1300.53 894.623 1748.3 1 12.7182
1301.22 881.076 1747.78 1 3.76
1301.23 881.109 1747.74 1 3.30291
1295.74 909.771 1751.13 1 109.156
1298.77 860.69 1745.89 1 317.66
1299.03 861.96 1746.19 1 327.165
1295.47 900.779 1745.52 1 232.306
1300.18 868.571 1746.77 1 347.062
1299.75 865.744 1745.39 1 322.444
1298.81 861.724 1745.97 1 319.699
1293.52 909.026 1745.84 1 205.444
1300.1 868.06 1746.96 1 350.141
1300.09 868.011 1746.96 1 350.137
1300.15 868.112 1746.11 1 336.196
1296.36 891.966 1747.74 1 159.39
1300.65 894.698 1748.58 1 16.5611
1296.12 891.956 1747.93 1 153.955
1296.56 884.208 1747.38 1 194.858
1296.2 891.812 1747.85 1 156.584
1296.22 891.788 1747.87 1 154.566
1293.15 909.86 1748.32 1 168.023
1296.12 891.622 1748.22 1 140.572
1299.22 862.791 1746.03 1 326.491
1293.25 909.638 1746.78 1 190.871
1297.35 882.614 1749.29 1 79.0718
1301.29 882.907 1745.55 1 335.59
1300.62 894.361 1748.28 1 12.1697
1300.47 894.614 1748.06 1 9.16419
1296.44 884.2 1747.11 1 214.991
1297.36 882.736 1749.54 1 80.0192
1293.13 909.829 1748.17 1 170.167
1299.1 862.372 1746.93 1 344.753
1298.96 862.377 1745.93 1 321.354
1300.52 894.554 1748.34 1 13.3987
1296.22 891.8 1748.2 1 138.344
1299.96 866.93 1745.97 1 332.636
1300.61 871.769 1746.96 1 351.509
1295.71 896.883 1745.35 1 239.168
1298.84 861.473 1747.62 1 3.86322
1295.43 869.359 1747.5 1 180.018
1299 862.029 1745.8 1 319.694
1300.98 887.842 1747.51 1 0.150634
1299.8 866.077 1745.36 1 322.644
1296.58 884.233 1747.43 1 189.221
1299.62 865.086 1745.56 1 323.433
1301.13 878.377 1745.43 1 333.34
1301.15 878.86 1746.74 1 349.588
1298.96 861.658 1747.03 1 346.579
1301 880.578 1747.49 1 359.822
1300.97 880.576 1747.42 1 358.902
1296.64 884.846 1747.42 1 192.062
1301.11 890.069 1746.81 1 350.433
1299.77 865.746 1745.65 1 326.276
1299.78 865.763 1745.57 1 325.14
1299.12 862.422 1745.94 1 323.648
1300.03 868.054 1747.81 1 5.773
1295.37 868.919 1747.35 1 185.259
1298.7 860.487 1747.02 1 344.358
1293.3 909.854 1748.49 1 164.955
1300.52 895.086 1748.3 1 12.7475
1297.38 882.569 1749.48 1 78.9736
1296.18 891.797 1747.92 1 153.169
1296.22 891.826 1747.88 1 154.169
1296.35 891.968 1748.02 1 141.124
1296.33 891.974 1748.09 1 139.046
1296.3 891.991 1748.04 1 142.074
1296.33 892.006 1748.02 1 142.461
1296.35 892.009 1748.09 1 137.668
1298.82 861.003 1746.56 1 332.669
1299.33 863.733 1747.34 1 356.16
1299.01 861.901 1745.76 1 319.078
1295.5 869.013 1747.93 1 164.14
1296.13 909.221 1751.09 1 103.629
1296.1 909.243 1751.07 1 104.15
1300.92 888.185 1747.51 1 0.182232
1296.28 892.039 1747.92 1 149.545
1296.29 892.113 1747.95 1 147.644
1299.93 866.924 1745.47 1 325.314
1299.45 864.124 1746.68 1 341.496
1300.89 874.611 1746.78 1 349.478
1293.19 909.861 1748.35 1 167.372
1297.32 882.81 1749.47 1 80.6911
1299.97 867.094 1745.75 1 329.449
1300.26 869.075 1746.4 1 341.281
1298.99 861.709 1746.54 1 334.267
1299.41 863.928 1745.63 1 322.252
1299.01 861.755 1746.41 1 331.507
1298.98 861.8 1746.42 1 331.478
1299.03 861.825 1746.38 1 331.025
1299.73 865.741 1746.05 1 332.019
1299.09 862.266 1746.79 1 341.099
1299.11 862.231 1746.75 1 340.406
1296.31 892 1748.25 1 132.303
1296.27 892.031 1748.23 1 134.986
1296.26 892.006 1748.29 1 133.109
1296.25 891.978 1748.26 1 134.592
1296.27 892.13 1748.09 1 141.238
1296.29 892.103 1748.11 1 139.421
1295.68 868.999 1747.68 1 172.323
1295.7 869.035 1747.74 1 169.509
1295.69 868.956 1747.72 1 170.452
1296.07 892.219 1748.11 1 146.721
1296.08 892.219 1748.16 1 144.255
1296.1 892.235 1748.13 1 144.934
1296.07 892.26 1748.17 1 144.531
1296.12 891.655 1748.2 1 141.599
1296.15 891.604 1748.19 1 140.933
1294.2 905.693 1745.68 1 213.024
1299.22 862.756 1746.1 1 327.751
1299.2 862.814 1746.09 1 327.384
1300.14 868.046 1745.48 1 327.28
1300.98 875.893 1745.65 1 335.099
1300.65 895.036 1748.38 1 13.5084
1298.81 903.877 1749.98 1 53.8441
1300.99 880.416 1747.42 1 358.868
1294.12 907.33 1745.77 1 211.061
1296.51 884.058 1747.24 1 208.131
1296.42 884.411 1747.46 1 184.43
1296.43 884.376 1747.48 1 181.975
1298.86 862.127 1745.69 1 315.88
1298.82 862.091 1745.66 1 314.624
1298.83 860.851 1746.32 1 327.112
1295.57 898.519 1745.43 1 235.405
1300.3 869.554 1747.6 1 1.72184
1301.03 888.399 1748.23 1 10.2212
1301.02 888.388 1748.26 1 10.7691
1296.53 884.239 1747.57 1 171.298
1295.72 868.986 1747.81 1 166.442
1295.71 868.923 1747.82 1 165.887
1295.69 868.933 1747.76 1 168.936
1299.66 865.289 1747.38 1 357.449
1298.74 860.611 1745.67 1 313.576
1296.16 891.509 1748.15 1 142.333
1298.75 860.577 1747.01 1 344.417
1298.72 860.585 1747.03 1 344.741
1300.82 873.828 1746.33 1 343.027
1300.68 872.269 1745.44 1 330.787
1300.5 894.392 1748.26 1 12.2804
1293.31 909.141 1747.92 1 173.572
1300.7 894.685 1748.5 1 15.1228
1300.65 894.673 1748.55 1 16.0806
1300.78 873.592 1745.48 1 331.857
1299.25 863.055 1745.44 1 317.56
1296.36 877.715 1745.67 1 250.695
1297.81 909.772 1749.86 1 71.0558
1293.54 908.847 1746.82 1 191.196
1293.53 908.911 1746.86 1 190.488
1300.07 867.778 1746.22 1 337.448
1296.3 877.629 1745.75 1 248.198
1296.34 877.657 1745.7 1 249.915
1300.11 868.071 1746.14 1 336.389
1301.22 888.014 1745.92 1 339.461
1298.16 909.836 1745.91 1 306.193
1295.4 869.245 1747.42 1 182.937
1295.44 869.259 1747.43 1 182.629
1297.38 882.616 1749.32 1 78.328
1297.4 882.553 1749.3 1 77.598
1300.55 894.567 1748.53 1 16.187
1300.32 869.464 1747.14 1 353.804
1299.76 865.717 1746.21 1 335.048
1300.62 894.377 1748.12 1 9.79093
1300.62 894.412 1748.2 1 10.8869
1300.65 894.428 1748.17 1 10.3699
1296.89 909.281 1750.83 1 91.8874
1299.65 865.053 1745.91 1 329.142
1299.5 864.3 1746.22 1 332.9
1297.54 909.71 1750.23 1 78.7146
1299.19 863.07 1747.42 1 357.987
1301.2 887.783 1747.77 1 3.62668
1296.9 907.912 1750.89 1 91.627
1301.27 882.907 1745.49 1 334.809
1299.47 864.054 1746.8 1 344.189
1300.58 894.335 1748.32 1 12.991
1300.59 894.416 1748.3 1 12.5971
1300.57 894.367 1748.35 1 13.4169
1296.39 886.969 1747.16 1 208.938
1300.79 873.56 1747.22 1 355.784
1300.78 873.504 1747.21 1 355.558
1300.45 896.483 1747.44 1 358.993
1300.51 896.499 1747.45 1 359.254
1298.93 862.266 1745.91 1 320.598
1299.15 862.457 1746.77 1 341.283
1300.63 872.517 1747.81 1 4.80207
1296.44 884.688 1747.36 1 194.35
1299.75 865.766 1746.4 1 338.121
1301.22 886.176 1747.31 1 357.391
1298.95 861.928 1745.87 1 320.162
1298.9 861.959 1745.85 1 319.017
1298.96 861.952 1745.9 1 320.89
1297.48 882.759 1749.38 1 75.7159
1297.42 882.744 1749.38 1 77.4252
1299.68 865.452 1746.86 1 346.517
1296.29 892.068 1748.06 1 141.794
1296.25 892.047 1748 1 145.973
1300.94 888.001 1747.94 1 6.38877
1300.58 894.55 1748.02 1 8.24108
1300.58 894.608 1748.02 1 8.23182
1300.54 894.558 1748.06 1 9.0317
1294.82 902.263 1745.66 1 220.251
1300.74 874.473 1748.06 1 8.43718
1300.45 894.85 1748.47 1 15.7775
1300.44 894.823 1748.5 1 16.2547
1299 862.122 1745.65 1 317.204
1298.99 862.139 1745.71 1 318.075
1300.12 868.103 1746.28 1 338.648
1298.92 861.351 1745.69 1 316.793
1301.16 887.88 1747.79 1 3.95045
1301.14 880.715 1747.51 1 0.0974965
1301.1 880.732 1747.51 1 0.160519
1296.24 877.482 1745.97 1 243.501
1296.16 892.033 1748.04 1 147.249
1296.1 892.047 1748.05 1 148.39
1301 887.77 1747.84 1 4.92148
1301.17 878.419 1745.32 1 332.384
1299.19 862.607 1745.61 1 319.306
1299.16 862.621 1745.59 1 318.599
1299 861.798 1747.04 1 346.976
1298.73 860.424 1746.33 1 325.976
1301.06 888.031 1747.63 1 1.81882
1296.27 877.549 1745.9 1 245.401
1296.26 877.577 1745.93 1 244.946
