x y z state theta
1293.25 909.639 1746.78 1 190.874
1300.98 887.842 1747.51 1 0.153067
1300.92 888.185 1747.51 1 0.184666
1301.03 888.399 1748.23 1 10.223
1301.02 888.388 1748.26 1 10.7709
1296.36 877.715 1745.67 1 250.686
1296.3 877.629 1745.75 1 248.188
1296.34 877.657 1745.7 1 249.905
1297.54 909.711 1750.23 1 78.7083
1296.39 886.969 1747.16 1 208.929
1300.94 888.001 1747.94 1 6.3909
1301.16 887.88 1747.79 1 3.95233
1296.24 877.482 1745.97 1 243.491
1301 887.77 1747.84 1 4.92369
1301.06 888.031 1747.63 1 1.82099
1296.27 877.549 1745.9 1 245.391
1296.26 877.577 1745.93 1 244.936
1301.06 887.895 1747.63 1 1.88051
1300.78 887.861 1749.18 1 23.9518
1301.12 887.979 1747.57 1 1.00518
1300.81 876.741 1748.02 1 7.7251
1300.78 876.683 1748.03 1 7.90966
1300.86 892.037 1747.76 1 3.86782
1300.84 891.956 1747.75 1 3.78026
1300.85 891.996 1747.71 1 3.17818
1293.61 908.542 1745.81 1 206.473
1301.11 888.044 1747.53 1 0.413302
1300.74 891.957 1747.8 1 4.64768
1300.8 891.929 1747.78 1 4.14843
1298.3 860.265 1748.08 1 24.1514
1300.79 876.582 1747.96 1 6.98149
1299.6 902.401 1748.5 1 20.9464
1299.56 902.376 1748.46 1 20.6444
1296.29 877.59 1745.81 1 247.263
1296.3 877.525 1745.86 1 246.989
1299.67 902.261 1748.55 1 21.4508
1300.95 887.977 1747.63 1 1.86009
1293.9 906.878 1745.85 1 207.976
1300.96 887.762 1747.87 1 5.39001
1300.77 876.586 1748.01 1 7.67754
1296.27 877.586 1745.84 1 246.17
1296.39 887.054 1747.09 1 213.49
1299.64 902.417 1748.4 1 18.8876
1300.94 887.794 1747.62 1 1.81475
1297.82 888.78 1750.11 1 72.4962
1297.85 888.72 1750.13 1 72.211
1297.86 888.745 1750.16 1 72.1329
1297.81 888.757 1750.14 1 73.0089
1300.59 890.623 1748.94 1 21.8142
1301.01 887.786 1747.71 1 2.93809
1294.79 905.972 1750.31 1 128.216
1297.25 860.365 1749.04 1 80.787
1298.69 860.419 1746.49 1 329.297
1301.07 888.161 1747.72 1 3.0938
1298.64 860.368 1747.34 1 354.588
1301.13 887.871 1747.74 1 3.34232
1301.12 887.88 1747.82 1 4.38797
1301.09 887.862 1747.8 1 4.13979
1301.05 887.989 1747.94 1 6.2105
1301.01 888.266 1747.71 1 2.93246
1293.71 860.185 1745.81 1 207.168
1296.59 909.822 1750.91 1 96.8039
1301.06 887.869 1747.72 1 3.16548
1298.83 903.504 1749.8 1 51.5276
1301.01 887.945 1747.99 1 6.93872
1296.25 877.323 1745.64 1 248.139
1296.28 877.301 1745.67 1 248.398
1297.2 860.227 1749.04 1 82.6818
1298.92 861.371 1745.4 1 312.432
1293.2 909.609 1747.59 1 178.677
1301.11 887.943 1747.62 1 1.64915
1301.14 887.952 1747.66 1 2.18764
1301.17 887.931 1747.62 1 1.63596
1300.68 890.53 1748.95 1 21.4569
1297.34 908.235 1750.68 1 83.973
1298.33 860.131 1748.03 1 21.6597
1298.62 860.113 1745.71 1 312.15
1299.62 902.296 1748.44 1 19.7039
1299.68 902.312 1748.45 2 19.4924
1298.68 860.349 1746.02 1 318.643
1300.97 892.021 1747.69 1 2.75597
1300.94 891.972 1747.71 2 3.01344
1300.95 892.035 1747.66 1 2.2482
1300.66 887.965 1749.27 1 25.8337
1297.52 909.598 1750.34 1 79.5672
1300.95 887.971 1747.82 1 4.61335
1296.27 877.685 1745.72 1 247.62
1296.29 877.415 1745.96 1 245.147
1296.25 877.283 1745.94 1 244.366
1301.02 887.896 1747.65 1 2.07353
1301.02 887.839 1747.63 1 1.84431
1301.06 887.897 1747.92 1 5.90854
1296.47 877.525 1745.89 1 251.654
1297.41 878.945 1749.5 1 78.4907
1297.44 878.779 1749.5 1 77.4757
1293.76 860.368 1745.94 1 205.693
1299.57 902.474 1748.44 1 20.0711
1299.66 902.199 1748.53 1 21.1342
1301.15 887.878 1747.86 1 4.92808
1298.66 860.261 1746.48 1 328.315
1295.91 895.062 1748.57 1 135.343
1300.84 891.913 1747.72 1 3.25942
1297.72 907.792 1750.49 1 76.4504
1300.97 887.695 1747.75 1 3.53342
1299.66 902.388 1748.44 1 19.4328
1299.64 902.356 1748.42 1 19.136
1299.61 902.336 1748.44 1 19.7105
1296.42 877.463 1745.56 1 253.457
1299.65 902.495 1748.39 1 18.667
1301.04 888.065 1747.7 1 2.88947
1301.03 888.101 1747.7 1 2.88006
