x y z state theta
1300.74 882.532 1749.16 1 23.9256
1300.17 869.046 1747.75 1 4.47692
1293.21 909.719 1747.51 1 179.862
1300.65 894.698 1748.58 1 16.5591
1296.12 891.956 1747.93 1 153.942
1300.12 867.959 1745.88 1 332.57
1301.23 887.073 1746.86 1 351.407
1300.39 869.945 1746.73 1 347.142
1300.35 869.912 1746.76 1 347.503
1295.96 872.652 1748.15 1 147.869
1295.98 872.697 1748.14 1 147.728
1300.04 867.389 1745.86 1 331.629
1300.59 871.837 1746.97 1 351.606
1298.57 904.295 1750.21 1 59.8573
1294.21 905.553 1746.09 1 206.775
1301.25 881.038 1746.47 1 346.408
1301.05 877.246 1746.31 1 343.547
1294.48 904.955 1749.44 1 142.436
1296.56 884.208 1747.38 1 194.873
1299.06 862.45 1745.32 1 313.404
1300.69 895.416 1746.08 1 338.951
1300.99 877.249 1747.99 1 7.06444
1298.11 861.228 1748.64 1 45.7679
1301.1 877.416 1745.96 1 339.452
1299.43 864.099 1747.12 1 351.136
1296.03 872.246 1748.33 1 139.336
1300.69 895.467 1746.13 1 339.662
1300.87 893.579 1745.4 1 331.492
1299.07 862.032 1746.53 1 334.97
1298.78 860.784 1747.18 1 349.921
1296.2 891.812 1747.85 1 156.569
1296.22 891.788 1747.87 1 154.55
1295.26 868.259 1746.55 1 208.571
1295.95 895.479 1745.34 1 244.118
1299.35 863.696 1747.33 1 355.94
1293.62 908.235 1745.85 1 206.025
1299.97 867.371 1746.26 1 337.32
1301.3 883.101 1745.52 1 335.28
1299.96 867.095 1745.79 1 329.995
1300.93 875.881 1747.78 1 4.09491
1299.55 902.869 1745.64 1 323.849
1299.54 864.668 1747.19 1 352.972
1301.27 883.205 1746.38 1 345.324
1300.3 870.281 1747.89 1 6.67073
1296.12 891.622 1748.22 1 140.559
1299.22 862.791 1746.03 1 326.482
1300.84 874.103 1746.26 1 342.113
1295.2 867.962 1746.32 1 213.201
1300.85 874.153 1746.28 1 342.429
1293.77 908.108 1749.56 1 147.536
1295.02 902.801 1745.61 1 223.659
1293.24 909.532 1748.41 1 166.462
1298.74 860.492 1746.35 1 326.489
1300.99 891.628 1746.71 1 348.791
1298.75 904.33 1749.64 1 50.8627
1301.01 876.588 1746.55 1 346.692
1293.25 909.637 1746.78 1 190.868
1299.79 867.406 1746.24 1 335.762
1301.23 883.825 1747.75 1 3.32581
1297.35 882.614 1749.29 1 79.0702
1293.71 909.184 1745.85 1 206.631
1300.9 874.766 1745.34 1 330.976
1300.22 868.795 1746.53 1 343.188
1300.15 868.318 1746.5 1 342.467
1300.61 894.362 1748.28 1 12.1648
1301.2 880.024 1746.03 1 340.657
1300.87 874.28 1746.15 1 340.756
1299.94 867.523 1746.19 1 335.967
1301.23 886.713 1745.98 1 340.216
1294.97 901.589 1745.71 1 221.399
1300.4 870.345 1745.31 1 327.138
1301.15 878.96 1745.82 1 337.96
1300.47 894.614 1748.06 1 9.16201
1293.22 909.623 1746.81 1 190.287
1299.63 865.167 1746.61 1 341.255
1300.84 874.54 1747.57 1 0.988477
1300.79 873.382 1746.01 1 338.559
1299.73 866.877 1746.25 1 335.424
1301.06 878.633 1748.09 1 8.22843
1301.01 891.234 1748.18 1 9.67487
1293.2 909.757 1747.23 1 183.993
1299.43 864.215 1747.52 1 0.376213
1296.44 884.2 1747.11 1 215.013
1297.36 882.736 1749.54 1 80.0194
1293.13 909.828 1748.17 1 170.161
1299.9 867.091 1747.59 1 1.74922
1300.97 876.113 1746.24 1 342.435
1301.18 879.519 1746.57 1 347.476
1299.58 864.662 1745.6 1 323.657
1300.87 875.065 1747.57 1 1.0798
1293.18 909.631 1748.07 1 171.497
1299.1 862.373 1746.93 1 344.739
1301.09 877.967 1745.38 1 332.594
1300.2 870.393 1745.83 1 332.355
1295.64 868.876 1747.81 1 167.067
1298.96 862.378 1745.93 1 321.344
1300.52 894.553 1748.34 1 13.4006
1300.29 869.283 1746.15 1 337.755
1300 867.73 1746.18 1 336.275
1295.92 897.598 1745.38 1 243.096
1300.04 867.36 1745.34 1 324.529
1299.43 863.864 1746.95 1 347.173
1300.13 867.998 1745.89 1 332.798
1300.89 874.916 1746.66 1 347.824
1300.46 870.474 1746.3 1 340.893
1294.09 905.91 1747.48 1 180.321
1296.22 891.8 1748.2 1 138.329
1299.96 866.987 1745.96 1 332.471
1299.96 866.931 1745.9 1 331.656
1295.42 868.5 1746.39 1 214.991
1300.5 896.877 1745.5 1 330.237
1300.5 896.878 1745.55 1 330.832
1301.26 881.783 1745.88 1 339.102
1300.81 893.931 1745.84 1 336.469
1300.61 871.77 1746.96 1 351.503
1295.5 869.361 1747.85 1 166.947
1295.5 869.324 1747.87 1 166.15
1299.94 867.035 1747.1 1 352.344
1299.58 865.097 1747.53 1 0.683726
1298.67 907.749 1745.9 1 316.245
1301.22 886.557 1747.02 1 353.488
1299.41 863.722 1745.91 1 326.636
1299.37 863.7 1745.91 1 326.096
1299.39 863.651 1745.92 1 326.563
1300.27 870.712 1748.18 1 11.8322
1301.24 881.255 1745.77 1 337.763
1301.26 881.208 1745.81 1 338.349
1301.26 881.244 1745.84 1 338.731
1298.84 861.474 1747.62 1 3.85327
1298.82 861.505 1747.56 1 1.98204
1300.95 880.488 1747.5 1 0.0207881
1300.43 870.342 1746.87 1 349.516
1295.44 869.359 1747.5 1 180.021
1301.19 879.836 1746.46 1 345.997
1301.14 878.908 1746.88 1 351.456
1299.34 863.608 1746.29 1 332.684
1299.35 863.575 1746.27 1 332.275
1299.53 864.849 1745.61 1 323.204
1295.65 897.763 1745.41 1 237.21
1295.6 897.765 1745.41 1 236.089
1300.76 894.255 1746.78 1 349.147
1301.22 887.997 1745.35 1 333.035
1300.54 871.183 1745.75 1 333.688
1301.27 886.099 1745.79 1 338.156
1301.24 886.097 1745.73 1 337.368
1301.27 886.12 1745.75 1 337.703
1300.47 870.835 1745.88 1 334.95
1300.5 870.766 1745.85 1 334.777
1298.71 904.524 1749.64 1 51.4625
1300.26 869.084 1746.77 1 347.294
1299.48 864.278 1745.79 1 325.378
1299 862.029 1745.8 1 319.678
1300.97 887.842 1747.51 1 0.14592
1295.93 895.153 1745.35 1 243.429
1298.69 861.286 1747.84 1 11.4085
1298.77 860.614 1746.73 1 336.488
1298.77 860.616 1746.66 1 334.606
1298.77 860.658 1746.68 1 335.251
1300.2 870.195 1746.14 1 336.953
1301.27 882.853 1746.88 1 351.758
1295.32 900.282 1745.51 1 229.809
1295.34 900.252 1745.49 1 230.442
1299.8 866.077 1745.36 1 322.636
1296.58 884.233 1747.43 1 189.231
1300.54 871.54 1747.41 1 358.52
1299.62 865.086 1745.56 1 323.423
1301.26 885.803 1745.53 1 335.148
1301.15 878.86 1746.74 1 349.582
1299.74 867.074 1746.3 1 336.295
1299.29 864.918 1748.24 1 17.8232
1301.27 884.165 1747.14 1 355.227
1301.2 879.597 1746.06 1 341.013
1301.17 879.573 1746 1 340.217
1298.96 861.659 1747.03 1 346.567
1295.54 868.547 1746.25 1 220.706
1298.17 900.93 1750.66 1 69.6537
1301 880.579 1747.49 1 359.808
1300.96 880.576 1747.42 1 358.884
1299.89 867.349 1746.32 1 337.802
1301.15 878.287 1745.49 1 334.199
1300.1 868.277 1746.24 1 337.843
1301.1 890.406 1745.79 1 337.422
1300.9 874.652 1745.69 1 335.147
1300.87 874.659 1745.77 1 335.953
1300.06 867.838 1746.79 1 347.029
1299.27 863.312 1747.26 1 353.988
1301.06 877.199 1747.05 1 353.707
1299.01 861.742 1746.07 1 324.52
1301.14 889.069 1746.36 1 344.657
1299.98 867.255 1746.76 1 346.064
1300 867.212 1746.74 1 345.873
1299.95 867.502 1747.1 1 352.299
1300.75 894.471 1746.19 1 340.76
1296.64 884.846 1747.42 1 192.07
1300.31 869.493 1746.09 1 336.924
1296.06 907.417 1751.01 1 104.986
1300.46 870.758 1747.05 1 352.562
1300.6 871.849 1745.64 1 332.727
1295.1 867.213 1746.23 1 213.733
1300.97 878.138 1748.3 1 11.442
1299.77 865.747 1745.65 1 326.268
1299.78 865.764 1745.57 1 325.131
1300.45 870.388 1745.8 1 333.695
1300.45 870.397 1745.73 1 332.891
1300.45 870.33 1745.76 1 333.263
1299.44 864.05 1747.11 1 350.896
1299.47 864.084 1747.09 1 350.58
1300.66 882.687 1749.18 1 24.5897
1295.4 898.408 1747.16 1 191.978
1300.54 871.487 1747.06 1 352.914
1301.04 889.41 1748.43 1 12.9797
1299.12 862.422 1745.94 1 323.635
1300.03 868.055 1747.81 1 5.76578
1299.37 903.258 1745.66 1 322.116
1299.33 903.246 1745.64 1 321.465
1299.11 862.576 1746.56 1 336.007
1295.37 868.919 1747.35 1 185.262
1298.7 860.488 1747.02 1 344.349
1299.83 867.415 1746.47 1 339.955
1301.22 880.777 1745.53 1 334.99
1296.03 872.298 1748.33 1 139.251
1300.53 870.976 1745.43 1 329.561
1301.25 885.131 1747.56 1 0.848277
1295.13 901.633 1749.41 1 134.328
1301.13 878.244 1747.51 1 0.207573
1301.1 878.264 1747.46 1 359.411
1301.1 878.227 1747.47 1 359.582
1301.11 878.282 1747.49 1 359.901
1300.45 895.068 1748.33 1 13.4851
1300.52 895.085 1748.3 1 12.7449
1299.08 862.06 1746.6 1 336.479
1299.9 866.893 1747.62 1 2.35158
1297.38 882.569 1749.48 1 78.9736
1296.18 891.797 1747.92 1 153.154
1296.22 891.826 1747.88 1 154.154
1299.22 863.266 1747.66 1 4.0684
1294.96 901.549 1745.79 1 219.967
1296.35 891.968 1748.02 1 141.101
1296.33 891.974 1748.09 1 139.026
1296.3 891.991 1748.04 1 142.051
1296.33 892.005 1748.02 1 142.438
1296.35 892.009 1748.09 1 137.644
1300.18 869.66 1745.7 1 330.453
