x z r
1297.19 1749.56 2.06441
1297.5 1749.57 2.13543
1297.74 1749.63 2.25666
1296.44 1747.85 0.653759
1300.38 1749.37 3.86354
1299.63 1749.9 3.56123
1296.9 1749.14 1.63997
1301.2 1747.26 4.20623
1297.79 1749.97 2.59228
1296.62 1748.37 0.949742
1296.93 1748.85 1.35155
1296.63 1746.62 0.956794
1301.08 1748.71 4.2525
1297.37 1749.65 2.18434
1296.66 1747.5 0.338685
1296.48 1746.28 1.32971
1296.46 1748.36 1.01859
1301.01 1746.03 4.27071
1299.38 1750.07 3.50289
1301.06 1745.7 4.44259
1301.02 1745.77 4.37833
1296.45 1746.72 0.956656
1296.46 1745.03 2.52625
1296.55 1744.98 2.56116
1296.47 1747.95 0.693637
1299.48 1749.83 3.40969
1301.21 1747.37 4.21145
1296.64 1747.52 0.360111
1296.68 1746.56 0.994238
1296.59 1745.17 2.36981
1301.06 1747.06 4.08276
1297.89 1749.92 2.57441
1301.14 1745.37 4.65383
1298.64 1750.21 3.16583
1301.02 1746.07 4.26748
1300.52 1749.14 3.8853
1301.16 1747.51 4.16438
1300.92 1748.68 4.0966
1296.85 1748.84 1.35012
1299.66 1749.99 3.64204
1300.52 1749.13 3.87604
1296.4 1746.67 1.02351
1296.53 1746.45 1.14992
1301.01 1746.4 4.16256
1296.52 1746.38 1.22098
1300.97 1748.29 4.05101
1298.95 1749.95 3.13599
1296.62 1747.81 0.488834
1301.02 1746.55 4.12992
1301.1 1745.71 4.47751
1301.1 1746.35 4.25693
1296.61 1748.11 0.720729
1296.99 1748.91 1.40599
1297.64 1749.68 2.27615
1301.02 1745.64 4.42951
1301.19 1747.11 4.20543
1300.5 1749.54 4.04858
1300.73 1748.97 4.00515
1296.89 1749.07 1.57126
1296.41 1746.89 0.849943
1300.52 1749.3 3.95578
1298.46 1750.18 3.04935
1296.47 1747.61 0.544912
1296.71 1748.78 1.31754
1296.43 1746.43 1.21667
1296.62 1747.42 0.386793
1301.01 1746.83 4.06718
1297.26 1749.6 2.11164
1297.18 1749.45 1.95797
1301.02 1745.85 4.34624
1296.67 1745.22 2.30523
1300.21 1749.68 3.8771
1298.31 1749.99 2.81789
1301.25 1747.95 4.27726
1301.14 1746.16 4.35204
1296.61 1746.58 1.00243
1299.39 1749.87 3.3604
1299.77 1749.91 3.6761
1300.76 1749.21 4.13146
1301.19 1746.17 4.39233
1296.55 1747.92 0.614743
1300.54 1749.37 4.00335
1300.29 1749.52 3.86263
1297.49 1749.76 2.31249
1296.5 1746.28 1.31894
1301.12 1747.51 4.11988
1296.41 1746.69 1.00088
1300.27 1749.73 3.95955
1298.36 1750.02 2.86309
1301.1 1745.51 4.55816
1300.42 1749.41 3.91708
1299.46 1750.05 3.54343
1296.69 1746.13 1.40748
1296.89 1748.86 1.36417
1299.71 1750.04 3.71763
1300.4 1749.45 3.91614
1298.69 1750.01 3.02808
1301.09 1746.58 4.19472
1296.64 1745.27 2.2628
1301.08 1746.92 4.12569
1296.52 1746.02 1.55826
1298.76 1749.99 3.05397
1296.63 1746.03 1.51582
1296.59 1746.73 0.873956
1301.16 1746.59 4.25797
1301.28 1746.72 4.35184
1297.27 1749.58 2.09477
1296.43 1745.18 2.39226
1296.81 1749.14 1.65459
1299.79 1749.95 3.71477
1299.89 1749.82 3.70142
1298.06 1750.08 2.78551
1300.74 1749.08 4.05857
1296.49 1746.84 0.839131
1300.56 1749.08 3.89534
1296.7 1745.24 2.2764
1301.01 1746.54 4.1238
1296.5 1745.15 2.39738
1296.67 1746.98 0.622188
1296.43 1745.1 2.4618
1296.7 1748.39 0.941777
1296.72 1748.72 1.24675
1297.18 1749.58 2.08626
1296.68 1748.83 1.36832
1297.23 1749.32 1.8307
1301.24 1747.68 4.24466
1300.59 1749.16 3.95205
1296.43 1746.94 0.801952
1300.91 1748.91 4.15076
1299.29 1750.1 3.46599
1301.13 1745.51 4.58644
1301.21 1745.52 4.65647
1300.29 1749.53 3.8666
1300.58 1749.09 3.91832
1299.74 1749.92 3.6544
1301.2 1747.18 4.20791
1301 1747.21 4.01358
1299.67 1749.77 3.49977
1296.77 1748.42 0.952445
1296.5 1746.31 1.28574
1296.61 1748.35 0.932843
1300.15 1749.48 3.72025
1301 1747.53 4.00091
1301.21 1746.04 4.45411
1296.85 1745.09 2.41416
1296.79 1744.98 2.52926
1296.59 1745.24 2.29739
1296.48 1747.12 0.643887
1296.81 1748.91 1.42684
1301.28 1746.42 4.41272
1296.47 1747.38 0.54205
1300.32 1749.34 3.8016
1299.66 1749.77 3.5007
1299.34 1750.15 3.53213
1300.22 1749.77 3.93649
1296.49 1746.63 1.00542
1301 1747.62 4.00242
1299.79 1749.89 3.67442
1301.25 1747.91 4.26997
1297.42 1749.73 2.26647
1301.28 1745.51 4.7211
1300.99 1745.08 4.66838
1300.22 1749.76 3.93679
1301.14 1746.3 4.31412
1296.64 1746.21 1.33741
1300.34 1749.54 3.91141
1297.85 1749.82 2.46804
1301.23 1745.26 4.78729
1301.19 1747.87 4.20403
1297.73 1749.72 2.33415
1301.21 1747.49 4.20544
1296.43 1747.98 0.744123
1300.38 1749.39 3.87187
1296.6 1747.6 0.407913
1296.84 1748.6 1.10681
1296.61 1748.45 1.02313
1296.78 1744.98 2.53173
1296.58 1746.9 0.729964
1298.53 1750.17 3.07277
1298.31 1750.13 2.93968
