x y z type diam age
1298.72 860.375 1746.38 1 0.0366819 4655.1
1296.61 909.88 1750.91 1 0.0399313 4656.1
1295.99 909.762 1751.08 1 0.0420979 4656.1
1295.52 909.61 1751.09 1 0.0365187 4656.1
1297.8 860.253 1748.72 1 0.0376894 4656.1
1293.14 909.765 1748.91 1 0.0396833 4656.1
1298.3 860.266 1748.09 1 0.0365853 4657.1
1297.66 860.42 1748.82 1 0.0364085 4657.1
1296.29 909.877 1751.04 1 0.0421337 4657.1
1298.66 860.262 1746.48 1 0.0413677 4657.1
1293.54 909.738 1745.85 1 0.0396194 4657.1
1298.05 909.581 1749.36 1 0.0372945 4657.1
1297.66 909.7 1750.12 1 0.0365219 4657.1
1297.67 909.655 1750.1 1 0.0365219 4657.1
1296.94 860.403 1749.15 1 0.037869 4658.1
1293.25 909.639 1746.78 1 0.0377779 4658.1
1296.47 909.745 1750.99 1 0.0420743 4658.1
1294.28 909.728 1750.73 1 0.0366098 4658.1
1293.25 909.617 1746.75 1 0.0370007 4659.1
1297.22 860.393 1749.05 1 0.0386813 4659.1
1298.7 860.295 1746 1 0.0369728 4659.1
1298.7 860.443 1746.53 1 0.0410805 4659.1
1297.19 860.188 1749.04 1 0.0376441 4659.1
1293.83 860.268 1747.61 1 0.037428 4660.1
1298.68 860.23 1745.49 1 0.0362374 4660.1
1298.68 860.209 1746.88 1 0.0367299 4660.1
1296.14 909.835 1751.08 1 0.0390584 4661.1
1293.2 909.629 1747.76 1 0.0361598 4661.1
1295.53 909.636 1751.11 1 0.0365187 4661.1
1297.87 909.616 1749.82 1 0.0434998 4661.1
1298.69 860.422 1746.33 1 0.0394332 4661.1
1297.54 909.71 1750.23 1 0.0436289 4662.1
1295.82 909.806 1751.08 1 0.0379138 4662.1
1296.62 909.762 1750.91 1 0.0384766 4663.1
1298.14 909.819 1748.42 1 0.0380601 4663.1
1293.68 860.2 1746.3 1 0.0381285 4663.1
1298.65 860.429 1747.33 1 0.0407 4663.1
1295.97 909.856 1751.07 1 0.0361556 4664.1
1297.4 860.252 1748.98 1 0.0424854 4664.1
1295.51 909.752 1751.11 1 0.0378176 4664.1
1293.84 860.243 1747.64 1 0.037428 4664.1
1296.91 860.386 1749.2 1 0.037869 4664.1
