x z sxx syy szz sxy sxz syz
1313.18 1763.03 -869279 -1.03844e+06 -1.77132e+06 -182487 -336810 61725.9
1313.97 1763.9 -865351 -1.02333e+06 -1.75476e+06 -179009 -332621 62754.3
1313.96 1763.9 -865199 -1.02705e+06 -1.75955e+06 -178906 -333616 62625.9
1313.96 1763.91 -864639 -1.02903e+06 -1.75993e+06 -178750 -334215 62420.8
1313.96 1763.91 -864436 -1.02991e+06 -1.7602e+06 -179029 -334620 62226.6
1313.96 1763.92 -864265 -1.03087e+06 -1.76066e+06 -179351 -335053 62030.4
1314.78 1764.83 -864355 -1.02097e+06 -1.75208e+06 -177469 -331690 63096.7
1314.78 1764.83 -863846 -1.02579e+06 -1.75704e+06 -176878 -332858 62961.6
1314.78 1764.83 -863573 -1.02642e+06 -1.75682e+06 -177018 -333155 62775
1314.78 1764.84 -863328 -1.02712e+06 -1.75676e+06 -177194 -333477 62586
1314.78 1764.84 -862257 -1.02817e+06 -1.75749e+06 -176738 -333993 62436.6
1315.64 1765.81 -862344 -1.02313e+06 -1.75521e+06 -174380 -331733 63560.7
1315.64 1765.81 -859948 -1.02246e+06 -1.75229e+06 -173752 -331789 63347.6
1315.64 1765.81 -859666 -1.02293e+06 -1.75179e+06 -173819 -332013 63163.5
1315.64 1765.81 -859410 -1.02346e+06 -1.75142e+06 -173917 -332257 62977.1
1315.64 1765.81 -859178 -1.02405e+06 -1.7512e+06 -174046 -332521 62788.9
1316.54 1766.83 -853304 -1.01142e+06 -1.73563e+06 -169708 -327754 63894.2
1316.54 1766.83 -852923 -1.01164e+06 -1.73471e+06 -169673 -327884 63716.6
1316.54 1766.83 -850166 -1.01042e+06 -1.7314e+06 -170091 -327897 63186.7
1316.54 1766.83 -849876 -1.01078e+06 -1.73076e+06 -170098 -328065 63009.5
1316.54 1766.83 -849610 -1.01119e+06 -1.73024e+06 -170131 -328251 62831
1311.2 1761.82 -869419 -1.02775e+06 -1.75485e+06 -182470 -333638 61649.5
1311.2 1761.83 -869243 -1.02898e+06 -1.75567e+06 -182893 -334176 61466.4
1311.2 1761.84 -871232 -1.03532e+06 -1.76417e+06 -184126 -335953 61431
1311.2 1761.84 -871101 -1.03669e+06 -1.76532e+06 -184650 -336549 61239.9
1311.2 1761.85 -869577 -1.0363e+06 -1.76154e+06 -184884 -336892 60890.1
1311.88 1762.65 -869022 -1.02739e+06 -1.75572e+06 -181737 -333581 61978.3
1311.88 1762.66 -868814 -1.02846e+06 -1.75625e+06 -182082 -334053 61793.7
1311.88 1762.66 -868642 -1.02963e+06 -1.75699e+06 -182481 -334561 61606.3
1311.87 1762.67 -868505 -1.03088e+06 -1.75794e+06 -182932 -335103 61416.6
1311.87 1762.67 -869262 -1.03608e+06 -1.76273e+06 -183345 -336417 61244.2
