x z pbsig pbstate
1301.05 1748.48 -603.29 3
1301.02 1746.52 128.369 3
1301.03 1746.53 84.632 3
1301.02 1746.57 25.526 3
1301.1 1746.87 -209.997 3
1301.14 1746.9 -80.137 3
1301.18 1746.85 -360.381 3
1301.18 1746.88 849.589 3
1301.14 1746.82 3.46554 3
1296.56 1744.93 -256.403 3
1296.54 1744.94 -400.915 3
1299.04 1750.09 81.419 3
1301.19 1747.68 257.496 3
1301.17 1747.63 394.462 3
1301.22 1747.69 3106.11 3
1301.22 1747.65 -78.0072 3
1296.45 1746.1 2215.52 3
1296.48 1746.05 345.154 3
1301.08 1746.49 438.09 3
1297.74 1749.64 307.213 3
1297.71 1749.63 124.221 3
1297.36 1749.71 528.023 3
1296.55 1746.86 457.033 3
1296.59 1746.88 216.609 3
1296.63 1746.85 208.11 3
1296.58 1746.84 -38.3986 3
1296.59 1746.83 186.658 3
1296.58 1746.88 399.776 3
1296.42 1747.77 1839.67 3
1296.45 1747.8 -105.658 3
1296.48 1745.79 -313.639 3
1296.44 1745.74 -989.676 3
1296.48 1745.8 -578.914 3
1301.14 1745.69 -264.562 3
1301.19 1745.67 576.517 3
1301.17 1745.63 -542.547 3
1301.1 1745.35 -117.94 3
1301.13 1745.35 -117.84 3
1301.1 1745.38 -195.204 3
1301.11 1745.41 -536.752 3
1301.13 1745.38 81.844 3
1297.75 1749.78 15.3324 3
1297.69 1749.79 17.793 3
1301.1 1748.34 825.029 3
1301.12 1748.31 -259.357 3
1301.1 1748.34 971.915 3
1301.06 1748.28 417.772 3
1301.1 1748.28 -172.717 3
1296.65 1746.3 235.619 3
1296.68 1746.31 -157.644 3
1296.68 1746.32 -86.2397 3
1297.77 1749.67 211.367 3
1297.83 1749.71 79.0766 3
1297.79 1749.73 -188.216 3
1297.8 1749.7 187.074 3
1301.23 1747.62 2115.12 3
1301.27 1747.62 -191.291 3
1301.27 1747.59 -185.434 3
1299.09 1750.1 79.4724 3
1299.07 1750.1 117.862 3
1299.12 1750.13 9.70868 3
1299.08 1750.16 131.542 3
1299.43 1749.86 39.2847 3
1301.09 1747.07 605.061 3
1301.09 1747.03 -162.49 3
1297.81 1749.73 27.8418 3
1297.84 1749.71 130.876 3
1297.86 1749.75 -186.161 3
1297.83 1749.7 107.039 3
1301.25 1746.64 2161.67 3
1301.25 1746.63 3466.53 3
1296.46 1745.11 -43.0707 3
1296.51 1746.24 994.71 3
1296.45 1746.22 -724.336 3
1296.48 1746.23 308.721 3
1300.93 1748.86 366.223 3
1300.93 1748.8 812.801 3
1297.83 1749.79 -41.4013 3
1301.01 1746.67 234.101 3
1296.52 1746.31 -164.664 3
1296.49 1746.28 99.9773 3
1296.64 1748.47 6.20614 3
1300.25 1749.55 -82.5147 3
1301.06 1747.37 -3.98085 3
1298.93 1750.05 -81.7742 3
1300.85 1748.96 216.222 3
1297.34 1749.53 141.393 3
1300.84 1748.69 -26.5331 3
1301.1 1745.91 255.734 3
1301.1 1745.96 -142.388 3
1299.29 1749.95 211.434 3
1297.45 1749.77 -111.241 3
1300.37 1749.53 -12.26 3
1301.06 1745.78 213.323 3
1301.24 1746.41 -825.694 3
1301.18 1745.47 -208.094 3
1301.24 1747.83 1273.29 3
1299.44 1750.08 854.642 3
1296.65 1746.06 160.114 3
1300.45 1749.26 -294.534 3
1301.27 1747.3 274.177 3
1296.49 1747.63 132.227 3
1296.52 1747.61 748.772 3
1296.59 1746.99 1090.57 3
1297.26 1749.55 256.42 3
1297.29 1749.52 58.1798 3
1297.54 1749.57 33.781 3
1300.34 1749.38 -264.714 3
1300.36 1749.4 150.509 3
1296.98 1749.26 134.385 3
1301.02 1745.61 -249.756 3
1301.1 1746.83 91.2154 3
1296.86 1749.1 671.938 3
1297.38 1749.64 59.754 3
1297.51 1749.61 121.186 3
1297.77 1749.96 131.731 3
1296.43 1746.69 -42.0723 3
1296.62 1747.56 626.45 3
1299.7 1749.97 220.2 3
1296.52 1746.42 -220.319 3
1296.6 1748.14 404.367 3
1300.46 1749.55 -80.9828 3
1300.52 1749.51 384.794 3
1296.42 1746.92 -508.954 3
1300.51 1749.33 191.717 3
1300.5 1749.33 184.69 3
1296.46 1746.42 1737.74 3
1296.68 1745.23 -9.31036 3
1298.33 1750.01 30.6073 3
1300.74 1749.17 514.859 3
1296.58 1747.9 735.056 3
1299.18 1749.99 31.2303 3
1300.25 1749.74 6.22179 3
1296.6 1746.73 30.0828 3
1301.17 1746.6 1.94029 3
1297.23 1749.58 262.004 3
1297.29 1749.55 169.277 3
1300.73 1749.11 454.781 3
1296.46 1746.84 154.688 3
1300.57 1749.09 27.6162 3
1296.49 1746.33 596.325 3
1301 1747.57 193.943 3
1296.85 1745.12 -201.055 3
1296.57 1745.26 591.525 3
1300.35 1749.37 -201.015 3
1297.38 1749.72 154.079 3
1297.72 1749.76 -370.18 3
1296.82 1745 -289.061 3
1298.52 1750.17 51.9873 3
1296.46 1745.04 481.635 3
1301.2 1746.72 659.439 3
1301 1748.26 34.2307 3
1297.04 1749.28 -104.632 3
1296.53 1745.35 160.438 3
1300.29 1749.54 350.73 3
1296.8 1748.95 663.434 3
1298.83 1750.07 64.1339 3
1296.57 1747.6 -166.169 3
1301.04 1747.61 71.2956 3
1300.89 1749.07 698.819 3
1296.51 1747.03 -216.419 3
1301.13 1747.48 682.453 3
1300.97 1748.25 -114.05 3
1300.85 1748.93 -339.101 3
1299.86 1749.81 83.6234 3
1296.85 1748.9 -175.668 3
1296.62 1746.1 -221.66 3
1298.28 1750.04 71.3948 3
1296.84 1748.68 122.874 3
1297.13 1749.22 7.82711 3
1300.9 1748.53 -34.9873 3
1296.58 1748.19 722.307 3
1299.98 1749.89 159.1 3
1296.61 1746.1 187.959 3
1301.02 1748.5 -105.704 3
1300.98 1748.02 445.967 3
1301.02 1747.87 -112.293 3
1298.88 1750.04 30.6725 3
1301.2 1746.39 486.735 3
1296.66 1747.2 247.813 3
1296.9 1748.82 1.4426 3
1296.52 1748.31 40.9753 3
1299.44 1749.93 63.635 3
1296.62 1748.06 558.417 3
1300.19 1749.47 206.351 3
1301.1 1748.54 588.818 3
1297.63 1749.7 26.7864 3
1301.28 1745.1 107.001 3
1298.77 1750.16 83.9226 3
1301.04 1746.72 158.522 3
1301.06 1748.44 660.283 3
1296.59 1744.94 -1113.23 3
1301.18 1745.64 -605.218 3
1297.81 1749.74 -242.32 3
1301.06 1747.03 172.796 3
1300.92 1748.82 670.156 3
1301.03 1746.73 170.358 3
1301.05 1746.68 118.349 3
1296.52 1746.31 -107.412 3
1296.48 1746.32 244.286 3
1296.46 1746.29 2728.46 3
1296.48 1746.25 -2.1082 3
1296.67 1748.46 418.277 3
1296.66 1748.5 119.978 3
1296.64 1746.7 -11.74 3
1296.65 1746.74 339.143 3
1296.5 1748.44 343.381 3
1296.51 1748.49 444.89 3
1296.52 1748.5 99.7214 3
1296.55 1748.47 -336.699 3
1296.69 1745.84 38.5769 3
1296.66 1745.83 -288.976 3
1296.65 1745.86 251.845 3
1296.5 1747.73 609.539 3
1296.48 1747.7 604.461 3
1296.44 1745.21 1930.84 3
1296.49 1745.17 244.028 3
1296.44 1745.14 -308.052 3
1300.81 1749.08 596.857 3
1300.78 1749.08 497.624 3
1300.83 1749.11 574.088 3
1300.76 1749.12 52.8206 3
1300.81 1749.14 480.04 3
1300.27 1749.59 146.675 3
1300.25 1749.61 133.558 3
1300.3 1749.6 195.186 3
1296.54 1746.34 72.3791 3
1296.55 1746.38 69.6738 3
1296.57 1744.94 259.42 3
1301.16 1745.1 -25.7027 3
1301.18 1745.06 -348.516 3
1301.21 1745.12 -205.27 3
1297.21 1749.48 120.607 3
1297.23 1749.46 149.106 3
1297.25 1749.5 -38.01 3
1297.19 1749.5 -18.2741 3
1297.19 1749.46 148.898 3
1301.06 1747.43 -8.19669 3
1301.07 1747.41 277.689 3
1301.1 1747.41 974.972 3
1297.57 1749.72 92.1596 3
1297.57 1749.77 164.424 3
1297.56 1749.79 995.301 3
1297.6 1749.75 -29.2353 3
1297.57 1749.72 159.343 3
1298.99 1750.04 52.8588 3
1299.53 1749.81 151.292 3
1296.65 1747.22 22.0373 3
1296.64 1747.22 -17.5321 3
1296.64 1747.26 -247.09 3
